首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
  新晃侗族自治县,244322,131267,113055,116.11,259609,87.90,13.92,61916,182406,69183,240093,3.47,9111,16481,32488,18937,1277
  芷江侗族自治县,339161,174104,165057,105.48,371463,63.28,14.04,86352,252809,97841,327583,3.35,10924,24534,48230,24121,956
  靖州苗族侗族自治县,245116,127674,117442,108.71,267611,74.72,14.26,97753,147363,65402,239546,3.66,5500,12177,34794,17763,668
  通道侗族自治县,206651,107082,99569,107.55,228417,86.55,11.82,49585,157066,55333,202207,3.65,4974,10775,26941,16879,738
  洪江市,477996,242745,235251,103.19,506632,9.71,25.63,197753,280243,152504,458342,3.01,22277,48289,73796,29316,1103
娄底市,3784634,1950231,1834403,106.31,4323502,0.22,20.14,1323373,2461261,1091845,3630715,3.33,141114,311954,544060,225675,10156
  娄星区,496744,253303,243441,104.05,466178,0.75,50.76,425037,71707,154935,443599,2.86,23748,55541,80338,18386,670
  双峰县,854069,441065,413004,106.79,941792,0.15,11.20,170637,683432,233068,825273,3.54,24997,54913,112271,62923,2961
  新化县,1111160,572688,538472,106.35,1387718,0.06,10.85,244064,867096,308142,1081725,3.51,36758,77903,151091,75615,3533
  冷水江市,327146,168033,159113,105.61,364886,0.34,43.48,238275,88871,104345,315287,3.02,14313,34123,55552,14280,390
  涟源市,995515,515142,480373,107.24,1162928,0.16,15.12,245360,750155,291355,964831,3.31,41298,89474,144808,54471,2602
湘西土家族苗族自治州,2549558,1307797,1241761,105.32,2845811,77.15,18.40,885316,1664242,658248,2448835,3.72,71121,145649,331462,173038,8099
  吉首市,302065,151835,150230,101.07,289299,72.96,45.41,212328,89737,86317,266923,3.09,12197,26841,43577,15414,485
  泸溪县,275370,140357,135013,103.96,306308,59.92,19.71,94191,181179,69073,269312,3.90,7521,14266,34293,19500,1014
