首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
  崇礼县,2353,3707,17876,19473,21920,17700,6694,4808,2303,1847,873,671,8.23,8.56,7.87,5478,2118,3360,6.08,4.53,7.77
承德市,42563,97875,467655,547546,767736,618147,233951,185246,85772,78731,41417,36815,8.80,9.16,8.44,125661,35927,89734,4.38,2.46,6.37
  双桥区,2613,5623,35027,37800,75063,65524,41551,43076,29320,31697,16620,17146,10.86,10.91,10.81,6570,1868,4702,1.77,1.01,2.51
  双滦区,1321,2964,15523,17162,32492,28827,14057,11791,4629,3984,2363,1611,9.47,9.75,9.17,3884,1107,2777,3.12,1.73,4.59
  鹰手营子矿区,762,1993,6553,6951,15169,13493,5038,4436,2001,1637,893,655,9.19,9.52,8.85,2388,595,1793,4.35,2.12,6.67
  承德县,6694,15828,50415,57057,95866,72947,24551,17488,6761,5523,3091,2448,8.38,8.82,7.90,20892,5941,14951,6.42,3.50,9.60
  兴隆县,5006,10508,44634,50632,72713,59216,18908,14632,5468,4915,2261,1882,8.41,8.76,8.05,14263,4456,9807,5.46,3.33,7.69
  平泉县,4143,10049,59193,72706,109655,88702,25620,19744,8840,7519,3290,2722,8.66,9.04,8.28,12794,3534,9260,3.51,1.91,5.16
  滦平县,5111,11732,40634,45984,65513,51904,17295,13640,4349,3777,2509,2198,8.33,8.74,7.89,15093,4407,10686,6.43,3.68,9.31
  隆化县,5766,14368,59244,65216,77631,61656,22667,16094,5908,4893,2673,2280,8.21,8.67,7.73,18685,5206,13479,6.26,3.43,9.18
  丰宁满族自治县,4193,9394,54253,63674,77575,61394,24498,18174,6875,5921,2130,1803,8.52,8.90,8.13,12178,3516,8662,4.17,2.35,6.08
  宽城满族自治县,3076,6843,33995,41384,57247,42623,16643,10948,5510,4290,2388,1726,8.61,9.06,8.12,8618,2433,6185,4.21,2.28,6.31
  围场满族蒙古族自治县,3878,8573,68184,88980,88812,71861,23123,15223,6111,4575,3199,2344,8.30,8.76,7.85,10296,2864,7432,3.05,1.71,4.38
沧州市,64423,165658,859741,1050190,1768588,1496881,407963,319132,132406,126231,52705,43907,8.73,9.08,8.38,203574,52632,150942,3.48,1.79,5.17
  新华区,913,2357,18793,22447,40809,40049,30151,26794,11918,10871,4339,3588,10.47,10.73,10.20,2524,588,1936,1.32,0.61,2.01
  运河区,1285,3218,23711,26902,50343,47891,32401,31187,25367,27752,10318,8896,11.12,11.26,10.99,3608,898,2710,1.37,0.69,2.02
  沧县,4601,11176,101887,123514,169593,140217,25137,16087,3624,3329,1083,965,8.11,8.44,7.78,13599,3591,10008,2.51,1.32,3.72
  青县,3049,7116,50839,66253,104116,85971,20477,14867,6115,5911,2082,1895,8.58,8.91,8.24,8771,2417,6354,2.62,1.44,3.82
  东光县,5321,11419,45308,55786,91123,77049,16793,13054,4820,4439,1602,1302,8.32,8.68,7.96,15023,4524,10499,5.03,3.03,7.04
  海兴县,2439,5652,25325,32830,51665,42478,9567,6028,2582,2063,936,723,8.36,8.83,7.89,7002,1876,5126,4.37,2.34,6.39
  盐山县,5769,12789,60403,74354,109037,85312,21240,14870,4985,4438,1664,1439,8.24,8.65,7.82,16631,4847,11784,4.68,2.70,6.72
  肃宁县,1667,6189,36237,42640,90978,79441,19123,15034,5158,4682,1805,1701,8.82,9.12,8.52,7054,1351,5703,2.52,0.95,4.11
  南皮县,5739,13722,48625,61597,87249,68855,21400,14114,4328,3436,1216,985,8.17,8.69,7.65,18057,5045,13012,6.07,3.38,8.79
  吴桥县,1988,5256,32626,42125,73114,64894,17214,12995,5580,5298,1399,1303,8.82,9.13,8.51,5519,1266,4253,2.31,1.06,3.55
  献县,5507,13458,65949,79930,154934,136960,26256,20482,6316,5776,1666,1413,8.52,8.84,8.20,16360,4355,12005,3.52,1.88,5.14
  孟村回族自治县,1510,3871,26488,31870,53340,43667,8888,6484,2442,2158,888,735,8.49,8.83,8.14,4765,1259,3506,2.95,1.54,4.39
  泊头巿,4311,11266,63028,77582,150837,136251,37515,28134,8013,8102,2023,1673,8.79,9.10,8.48,14039,3614,10425,2.94,1.52,4.35
  任丘市,6808,20561,89738,107621,205483,175706,45318,40673,19066,18357,11982,9647,8.99,9.33,8.66,25585,6042,19543,3.72,1.76,5.69
  黄骅市,5952,14734,66673,76465,130947,106782,40254,28562,12104,9295,6504,4772,8.90,9.35,8.43,18858,4980,13878,4.23,2.18,6.38
  河间市,7564,22874,104111,128274,205020,165358,36229,29767,9988,10324,3198,2870,8.38,8.76,8.00,26179,5979,20200,3.99,1.83,6.16
廊坊市,26628,73756,483553,574066,1060444,896038,278756,234666,123972,119028,88384,78676,9.31,9.57,9.04,86424,21046,65378,2.33,1.12,3.59
  安次区,2047,4661,38385,42240,78708,71599,30195,25544,13474,11540,12945,13986,9.89,10.06,9.72,5214,1421,3793,1.63,0.87,2.40
  广阳区,1577,4352,36585,41112,83328,82274,49787,48875,38818,36616,26662,22785,11.18,11.39,10.98,5042,1221,3821,1.15,0.56,1.74
  固安县,3214,9806,45571,56357,111113,92786,25323,20560,7719,8699,2156,1819,8.79,9.09,8.49,11553,2657,8896,3.24,1.48,5.03
  永清县,2522,5762,45300,54816,95239,81578,17647,13493,3984,3754,1549,1434,8.52,8.78,8.26,6967,2000,4967,2.32,1.32,3.35
  香河县,1190,4318,37241,44953,97940,78018,23075,18301,6848,6915,2045,2017,9.00,9.22,8.77,5040,1017,4023,1.68,0.65,2.80
  大城县,4174,11047,59552,71636,127754,104668,21616,16818,5134,5188,1505,1654,8.47,8.80,8.13,13541,3458,10083,3.52,1.79,5.26
  文安县,3922,10660,66940,85622,138409,107162,23266,15539,5228,4344,1458,1276,8.36,8.76,7.94,12774,3176,9598,3.07,1.50,4.70
  大厂回族自治县,231,949,9242,11303,32548,29315,10250,9043,3194,3262,1039,1143,9.60,9.75,9.45,897,132,765,0.86,0.25,1.49
  霸州市,4406,10903,87627,101330,157423,131805,29247,22613,8536,7903,3217,2919,8.50,8.77,8.22,12880,3410,9470,2.50,1.31,3.74
  三河市,3345,11298,57110,64697,137982,116833,48350,43880,31037,30807,35808,29643,10.37,10.61,10.11,12516,2554,9962,2.21,0.88,3.62
衡水市,26642,73212,497845,571939,1136812,1026718,263389,231759,60598,62421,29379,29141,8.87,9.09,8.66,82604,19214,63390,2.27,1.06,3.48
  桃城区,2293,6864,43613,48157,99900,93541,61571,60532,19644,21738,14634,15042,10.35,10.48,10.23,7604,1646,5958,1.71,0.75,2.64
  枣强县,2446,8148,47351,54746,103842,93894,20396,16826,3686,3770,1420,1415,8.59,8.87,8.31,8948,1763,7185,2.77,1.10,4.43
  武邑县,2491,6340,35853,44574,83544,75310,19830,15169,3036,2730,1520,1304,8.68,9.00,8.37,7073,1680,5393,2.71,1.29,4.12
  武强县,1458,3683,25018,28155,61198,55785,8784,7825,2494,2375,781,777,8.64,8.84,8.44,4256,1088,3168,2.37,1.21,3.53
  饶阳县,1251,2870,33469,36353,81325,74072,11788,12130,2760,3088,1124,1141,8.69,8.78,8.59,3037,760,2277,1.25,0.62,1.88
  安平县,2087,4536,39982,41609,86177,77305,20594,18830,4440,5303,1431,1624,8.88,8.99,8.77,5024,1407,3617,1.80,1.00,2.63
  故城县,3084,10214,56286,70487,131202,114902,24354,18443,5495,4923,1874,1765,8.61,8.97,8.25,11392,2353,9039,2.88,1.20,4.53
  景县,3567,8981,59545,70654,148326,134482,24595,20198,4818,4261,1559,1330,8.61,8.85,8.36,10999,2882,8117,2.54,1.33,3.75
  阜城县,3264,7651,42409,50091,92956,82845,14362,11351,3073,2778,884,771,8.45,8.73,8.16,9075,2424,6651,3.28,1.75,4.81
  冀州市,1946,7061,42481,49335,90575,82814,27826,24068,5590,5576,2265,2086,8.90,9.16,8.64,7527,1350,6177,2.38,0.86,3.90
  深州市,2755,6864,71838,77778,157767,141768,29289,26387,5562,5879,1887,1886,8.66,8.81,8.52,7669,1861,5808,1.56,0.75,2.40
,,,,,,,,,,,,,,,,,,,,,
山西省,269688,598535,3663138,4141698,8594820,7520463,3045500,2573118,1029742,969450,586248,528949,9.52,9.74,9.28,762030,224158,537872,2.57,1.48,3.72
太原市,23942,53389,312005,320731,763375,658405,435985,428131,260635,267518,243739,216660,11.10,11.19,11.02,67519,19789,47730,1.86,1.06,2.69
  小店区,2691,6515,45778,46421,129333,105532,85194,84185,67892,69588,58713,62369,11.92,11.88,11.97,7488,1949,5539,1.06,0.54,1.59
  迎泽区,1684,4790,29565,33156,82483,77721,69117,72023,46964,52326,45054,50332,12.12,12.14,12.10,5473,1311,4162,1.05,0.52,1.55
  杏花岭区,2250,7567,37719,43272,106713,95135,80269,80161,48418,47249,34151,29889,11.44,11.61,11.27,8496,1784,6712,1.51,0.63,2.41
  尖草坪区,1865,5059,29630,31557,75181,66220,40237,42506,22679,23785,35874,20746,11.18,11.43,10.91,5997,1488,4509,1.65,0.79,2.59
  万柏林区,3478,7463,49272,49592,134230,114844,82662,76145,45890,48321,58378,41130,11.37,11.49,11.24,9192,2713,6479,1.40,0.79,2.09
  晋源区,1967,4132,22885,22035,43666,37229,21447,21397,11441,10646,5281,6046,10.14,10.20,10.07,5588,1731,3857,2.97,1.79,4.21
  清徐县,2475,5489,43016,40793,90855,78666,22357,23541,5007,5229,2380,2629,9.03,9.08,8.97,7200,2122,5078,2.55,1.46,3.72
  阳曲县,1750,3492,16793,16957,30280,23993,8068,6510,2373,1885,852,871,8.66,8.91,8.37,4838,1567,3271,4.80,2.93,6.91
  娄烦县,3267,4794,17886,17026,20572,16537,6669,5395,2279,1904,1019,829,8.22,8.49,7.92,7582,3045,4537,9.10,6.92,11.55
  古交市,2515,4088,19461,19922,50062,42528,19965,16268,7692,6585,2037,1819,9.63,9.82,9.42,5665,2079,3586,3.34,2.33,4.46
大同市,31426,68801,362151,422467,746536,669723,309659,255404,95180,80570,44561,37969,9.37,9.67,9.07,88979,26541,62438,3.23,1.89,4.61
  城区,2732,7882,41819,47602,114675,118911,118160,112813,45438,41736,20053,16351,11.15,11.39,10.92,8550,1870,6680,1.38,0.61,2.14
  矿区,4587,9930,40960,48250,105804,102723,66663,51856,18121,13872,8929,5369,9.89,10.26,9.51,12249,3726,8523,2.86,1.69,4.09
  南郊区,2109,5276,44298,51832,110316,94110,23399,18519,4660,3981,7984,10698,9.18,9.34,9.01,6773,1838,4935,2.04,1.09,3.04
  新荣区,2017,4256,16234,17720,26991,21573,5427,3816,1505,1091,633,394,8.11,8.52,7.67,5951,1875,4076,6.71,4.05,9.62
  阳高县,3906,8848,36360,44576,68920,58447,15473,10806,3967,2787,1162,814,8.36,8.78,7.92,11505,3382,8123,5.11,2.96,7.33
  天镇县,3034,6824,26249,31847,53217,48456,10606,7429,2742,1939,620,460,8.32,8.73,7.92,8925,2643,6282,5.27,3.14,7.36
  广灵县,1992,3501,30722,31379,41792,36442,10126,8579,3005,2390,868,731,8.48,8.69,8.27,4583,1557,3026,3.15,2.08,4.29
  灵丘县,4017,7522,33431,37576,55217,44389,15846,10485,4121,2823,912,636,8.40,8.80,7.95,10627,3586,7041,5.69,3.66,7.91
  浑源县,3221,6870,48657,60267,87706,74655,16506,11527,4843,5005,1604,1208,8.44,8.74,8.14,9043,2732,6311,3.21,1.91,4.53
  左云县,1969,4162,19663,23996,33732,30022,13745,10556,3915,3185,1097,885,8.90,9.28,8.51,5948,1858,4090,4.63,2.87,6.41
  大同县,1842,3730,23758,27422,48166,39995,13708,9018,2863,1761,699,423,8.69,9.04,8.30,4825,1474,3351,3.18,1.85,4.66
阳泉市,11429,25155,143529,152234,338134,289238,115087,101354,42702,36223,17870,15047,9.44,9.65,9.21,32754,9776,22978,2.84,1.63,4.14
  城区,478,1890,12191,14272,35130,33128,26904,26242,11373,10543,6306,5442,10.99,11.19,10.78,2003,341,1662,1.21,0.41,2.01
  矿区,1139,2929,20640,22702,54837,49721,26849,24270,10251,8575,4437,3611,10.08,10.28,9.87,3502,898,2604,1.69,0.84,2.58
  郊区,2917,5652,30716,28585,74699,59744,23247,20261,10460,8009,3730,3064,9.43,9.60,9.24,7874,2625,5249,3.21,1.99,4.64
  平定县,3078,8099,43100,47158,86704,72835,20550,16771,5354,4508,1822,1548,8.68,8.98,8.37,10202,2630,7572,3.71,1.86,5.65
  盂县,3817,6585,36882,39517,86764,73810,17537,13810,5264,4588,1575,1382,8.73,8.94,8.50,9173,3282,5891,3.53,2.42,4.72
长治市,20054,47743,351140,410245,838071,725068,263574,218937,86958,79436,41915,38840,9.37,9.60,9.13,59250,16486,42764,2.15,1.17,3.19
  城区,1005,3106,28946,34160,79145,77489,63460,62591,32294,32259,22735,22611,11.41,11.55,11.28,3459,749,2710,0.83,0.37,1.29
  郊区,1226,4108,25361,30896,69377,59959,27002,23070,8729,7769,3468,2571,9.63,9.90,9.34,4623,920,3703,1.96,0.76,3.22
  长治县,1666,5797,38058,50538,90373,78889,23404,17685,4328,3643,1532,1246,8.79,9.14,8.44,6549,1308,5241,2.33,0.93,3.74
  襄垣县,1377,2646,29296,31387,68277,59502,23081,17691,7245,6411,3467,2867,9.46,9.64,9.26,3498,1145,2353,1.56,0.98,2.21
  屯留县,1652,4002,27846,32798,73081,63220,18115,13377,4684,3790,1716,1359,9.02,9.30,8.72,5070,1381,3689,2.36,1.24,3.55
  平顺县,991,2205,18985,24027,40618,33769,9619,6398,2404,1824,830,702,8.72,9.05,8.37,2783,827,1956,2.22,1.28,3.23
  黎城县,1024,1894,19366,22595,42628,35935,9727,7337,2676,2144,811,697,8.88,9.12,8.63,2346,785,1561,1.87,1.20,2.59
  壶关县,1493,4002,32481,41521,83009,75753,15464,11167,3380,2631,994,840,8.76,9.06,8.46,4693,1169,3524,2.01,1.00,3.02
  长子县,2892,8038,36755,44732,99402,84667,22800,17348,5716,4660,1859,1502,8.82,9.16,8.47,9633,2393,7240,3.30,1.60,5.09
  武乡县,2060,3248,26925,26813,47930,38780,8872,6899,3535,2878,1069,977,8.62,8.80,8.42,4590,1727,2863,3.12,2.20,4.17
  沁县,1967,3272,22631,22318,44624,37241,11245,9652,2999,3924,672,811,8.88,8.96,8.79,4721,1759,2962,3.36,2.41,4.41
  沁源县,1489,2545,18807,18822,43271,30809,11773,10310,4045,3616,892,996,9.12,9.23,8.99,3767,1355,2412,2.87,1.89,4.07
  潞城市,1212,2880,25683,29638,56336,49055,19012,15412,4923,3887,1870,1661,9.21,9.46,8.94,3518,968,2550,1.91,1.02,2.85
晋城市,10639,31888,224421,291540,570740,512538,205238,159730,59643,50608,24761,19647,9.41,9.73,9.08,34692,7736,26956,1.83,0.80,2.90
  城区,985,3087,30661,36341,91607,89591,62620,58129,27417,25961,14110,11337,10.95,11.15,10.75,3299,664,2635,0.83,0.33,1.33
  沁水县,1106,2816,19584,25931,57914,47091,20470,13444,6252,4272,2149,1454,9.39,9.74,8.98,3334,867,2467,1.85,0.90,2.95
  阳城县,1480,4317,38093,53064,102228,94140,34246,25774,8122,6547,2833,2182,9.26,9.59,8.92,4505,972,3533,1.38,0.59,2.17
  陵川县,1754,4594,28162,33577,61999,54209,14875,10515,2904,2250,885,782,8.67,9.00,8.34,5562,1452,4110,2.95,1.51,4.46
  泽州县,2459,6696,54228,68771,138853,120664,32179,21391,5832,4190,1810,1396,8.80,9.12,8.46,6629,1621,5008,1.65,0.79,2.57
  高平市,2855,10378,53693,73856,118139,106843,40848,30477,9116,7388,2974,2496,8.97,9.39,8.54,11363,2160,9203,2.86,1.09,4.62
朔州市,23515,48205,194039,221318,409492,351837,157068,109921,40640,33438,13306,8924,9.02,9.40,8.60,65213,20360,44853,4.64,2.80,6.61
  朔城区,5597,11376,50041,55572,114800,101917,48531,37598,17943,17425,7174,4889,9.62,9.92,9.31,15206,4710,10496,3.70,2.23,5.25
  平鲁区,3854,7023,25655,29484,48391,39024,16913,11324,4473,3309,1405,923,8.70,9.13,8.23,9898,3366,6532,5.95,3.85,8.28
  山阴县,2525,5930,26508,31771,60903,51489,19484,13545,5830,4091,1254,790,8.97,9.39,8.51,7868,2229,5639,4.00,2.19,5.94
  应县,4958,10050,41178,48890,80980,70247,29152,18503,3208,2174,804,527,8.49,8.92,8.04,13450,4253,9197,4.93,3.05,6.90
  右玉县,3032,5751,15272,16612,25186,18765,10276,6083,2527,1426,633,337,8.35,8.93,7.68,8067,2677,5390,8.68,5.33,12.62
  怀仁县,3549,8075,35385,38989,79232,70395,32712,22868,6659,5013,2036,1458,9.08,9.45,8.68,10724,3125,7599,4.01,2.26,5.89
晋中市,29476,57804,354456,350140,811216,692964,245058,220734,82017,75223,51670,48816,9.36,9.50,9.21,78942,25709,53233,2.93,1.83,4.12
  榆次区,4887,10733,58729,59763,127571,114109,60248,63733,28466,27591,21676,21715,10.26,10.35,10.16,13730,4082,9648,2.53,1.49,3.57
  榆社县,2289,3002,17917,16339,32671,27426,8730,7503,3223,3064,987,911,8.91,8.99,8.82,4962,2140,2822,4.57,3.71,5.55
  左权县,1675,2684,19830,20631,43143,33635,10877,8009,3601,2700,1169,913,8.90,9.11,8.65,3932,1483,2449,2.93,2.05,3.98
  和顺县,1647,2470,17864,18960,35701,29651,11555,8180,3565,2909,993,916,8.97,9.18,8.73,3839,1497,2342,3.15,2.31,4.11
  昔阳县,2271,4017,25569,26125,62433,52803,16348,11958,4007,3305,1519,1399,8.94,9.14,8.72,5646,1971,3675,2.97,1.95,4.12
  寿阳县,3102,4648,31471,28687,56767,40977,12877,10237,3939,3544,1592,1648,8.63,8.75,8.48,7196,2819,4377,3.97,2.81,5.42
  太谷县,3277,6182,30272,29901,73699,66279,20083,18906,5122,5102,12472,10927,9.60,9.75,9.44,8518,2827,5691,3.39,2.19,4.65
  祁县,2155,4269,29428,27510,73777,65950,15272,13935,5960,4732,1875,1639,9.09,9.22,8.94,5868,1901,3967,2.70,1.68,3.82
  平遥县,3894,9435,53552,52638,135947,119997,35758,31139,7088,6277,3155,3065,9.04,9.23,8.84,11998,3331,8667,2.96,1.60,4.39
  灵石县,1727,4031,27084,25986,71456,54449,20576,17023,5780,5073,1943,1962,9.30,9.44,9.13,5135,1457,3678,2.45,1.28,3.84
  介休市,2552,6333,42740,43600,98051,87688,32734,30111,11266,10926,4289,3721,9.45,9.61,9.28,8118,2201,5917,2.45,1.31,3.64
运城市,20938,63922,460781,590290,1334066,1207225,492098,381814,108243,99689,43917,37394,9.42,9.72,9.11,69281,14705,54576,1.62,0.68,2.58
  盐湖区,2507,6987,52260,62747,143900,137908,76532,74113,25282,27680,16535,14777,10.27,10.45,10.10,7636,1783,5853,1.33,0.63,2.00
  临猗县,1653,4286,52130,67509,159523,146952,51920,39257,7586,6975,2531,2488,9.23,9.47,8.98,3984,824,3160,0.83,0.34,1.33
  万荣县,1384,5454,44904,61303,116508,103003,38014,26357,6590,5538,1821,1435,9.06,9.44,8.67,5611,943,4668,1.55,0.52,2.60
  闻喜县,1456,4941,37681,48273,108430,98304,37022,26567,7339,5831,2256,2057,9.26,9.60,8.92,5370,1035,4335,1.61,0.61,2.63
  稷山县,1512,4961,34314,47633,91679,80174,30084,19916,5403,5989,1629,1327,9.10,9.48,8.72,5076,967,4109,1.80,0.68,2.91
  新绛县,1080,3732,33694,45317,89403,78841,27849,19096,5027,4462,1843,1499,9.09,9.45,8.73,4057,776,3281,1.49,0.56,2.43
  绛县,1596,4315,25211,30019,75170,68943,24942,21404,5736,4929,1318,1191,9.30,9.55,9.05,5271,1330,3941,2.24,1.12,3.38
  垣曲县,1072,2682,17446,19802,62861,57389,23360,17883,6242,5382,2065,1589,9.72,9.95,9.47,2888,712,2176,1.52,0.72,2.38
  夏县,1626,5251,31589,40790,102269,88069,29375,20917,4999,4083,1531,1262,9.06,9.40,8.71,5693,1184,4509,1.92,0.78,3.12
  平陆县,1761,4137,21387,25666,73141,66974,22107,16840,5099,4526,1563,1521,9.30,9.56,9.04,4043,1010,3033,1.87,0.92,2.86
  芮城县,1383,4470,34136,44045,105594,98935,39797,29993,7009,5937,2596,1824,9.39,9.71,9.07,5130,1082,4048,1.56,0.65,2.48
  永济市,1869,5530,41188,54413,113230,101491,42699,34107,10297,8827,4095,3246,9.39,9.70,9.07,6157,1354,4803,1.64,0.71,2.58
  河津市,2039,7176,34841,42773,92358,80242,48397,35364,11634,9530,4134,3178,9.69,10.11,9.25,8365,1705,6660,2.59,1.03,4.23
忻州市,38846,81782,385975,431591,718993,602818,230223,179433,75224,69181,30395,26731,8.93,9.23,8.61,107877,33205,74672,4.28,2.55,6.11
  忻府区,3148,9714,52245,62349,121176,106900,46623,42493,17813,23420,12274,13340,9.86,10.01,9.72,10969,2456,8513,2.43,1.10,3.73
  定襄县,1572,5080,23675,27829,58383,51764,12804,10427,4073,3737,1447,1313,8.88,9.18,8.57,5977,1276,4701,3.35,1.42,5.32
  五台县,2852,6550,36647,43210,76387,64534,19965,15815,5783,5019,2003,1605,8.80,9.10,8.47,8445,2403,6042,3.41,1.89,4.99
  代县,2595,5310,26255,28800,55550,46278,13892,11078,4226,3408,1428,1113,8.74,9.01,8.43,6914,2159,4755,3.88,2.32,5.57
  繁峙县,2547,4459,45009,48618,59410,49714,15324,12151,4046,3266,1097,848,8.41,8.66,8.16,6279,2209,4070,2.95,2.01,3.95
  宁武县,3230,5525,21428,22046,37757,29355,11906,8487,4535,3191,1343,969,8.71,9.05,8.31,8036,2901,5135,6.12,4.10,8.48
  静乐县,4439,7473,27016,27109,32271,24399,9980,6986,2836,2101,1043,772,8.00,8.40,7.55,11106,4043,7063,8.76,6.01,11.87
  神池县,1867,2881,14581,15534,22733,19158,11336,6992,2977,1977,678,521,8.85,9.22,8.43,4395,1689,2706,4.89,3.50,6.49
  五寨县,1118,2333,13425,15578,24802,20557,8435,6958,3083,3937,852,640,9.13,9.33,8.92,3060,934,2126,3.40,2.05,4.80
  岢岚县,1673,2654,12597,12961,19869,15630,6273,4592,1807,1432,477,403,8.53,8.81,8.20,3893,1449,2444,5.54,3.87,7.45
  河曲县,3225,6418,18288,20454,31106,24178,12885,8483,4947,3298,1758,1039,8.76,9.31,8.15,8953,2926,6027,7.48,4.62,10.69
  保德县,2538,4504,21771,24778,36390,28813,12623,8074,4158,2718,1182,625,8.74,9.17,8.24,4841,1583,3258,3.81,2.34,5.49
  偏关县,3200,5743,15268,18184,23349,18950,8968,6073,2467,1707,1143,721,8.29,8.85,7.70,8522,2989,5533,9.38,6.42,12.50
  原平市,4842,13138,57770,64141,119810,102588,39209,30824,12473,9970,3670,2822,8.99,9.33,8.63,16487,4188,12299,4.05,1.99,6.26
临汾市,20789,51054,402005,470294,1132285,1008379,350264,306642,105125,99391,44882,49936,9.49,9.68,9.31,60340,15915,44425,1.70,0.89,2.54
  尧都区,2688,6827,67974,79218,206770,188728,104585,101104,39067,40770,23922,31493,10.52,10.57,10.46,7604,1834,5770,0.96,0.47,1.44
  曲沃县,1492,4577,21002,23952,67500,61699,17384,14495,4569,3851,1520,1288,9.13,9.40,8.86,5175,1169,4006,2.58,1.15,4.04
  翼城县,1736,4888,27945,33842,85833,78729,23778,20514,6218,5743,1662,1741,9.25,9.49,9.01,5636,1370,4266,2.19,1.06,3.32
  襄汾县,1879,6372,44099,57260,123190,110997,30906,24952,6067,5348,1963,1842,8.96,9.26,8.66,7251,1468,5783,1.98,0.81,3.15
  洪洞县,3103,7387,80584,94439,206662,189756,40994,34624,8626,7735,2640,2422,8.89,9.09,8.69,9005,2432,6573,1.53,0.83,2.24
  古县,717,1499,10213,12045,24982,18546,6807,5596,2174,1830,781,729,9.13,9.37,8.85,1911,573,1338,2.54,1.43,3.82
  安泽县,474,838,8998,10689,23009,17223,5914,4396,1847,1495,782,635,9.16,9.39,8.90,1095,360,735,1.63,0.99,2.39
  浮山县,557,1139,11466,12516,37625,33356,8888,7711,2609,2476,824,801,9.37,9.49,9.23,1411,427,984,1.34,0.79,1.94
  吉县,675,1095,12979,15991,27387,23072,7701,6282,1899,1509,579,461,8.98,9.23,8.72,1343,493,850,1.56,1.11,2.04
  乡宁县,1450,3783,26029,31147,61867,48722,18461,13444,4654,3985,1361,1245,9.12,9.45,8.76,4284,1102,3182,2.34,1.15,3.65
  大宁县,537,932,7068,7886,17028,14838,4723,3919,1547,1358,353,311,9.22,9.42,9.01,1159,397,762,2.24,1.49,3.04
  隰县,1130,1945,12414,12383,27144,23506,7000,6188,2102,2015,572,533,9.00,9.15,8.84,2681,958,1723,3.20,2.21,4.25
  永和县,580,1076,8746,9845,15889,13232,4358,3370,1188,1196,339,322,8.82,9.04,8.57,1376,471,905,2.65,1.76,3.59
  蒲县,994,1779,10839,11984,29960,20996,9611,6699,3039,2442,707,521,9.33,9.57,9.04,2320,804,1516,2.68,1.66,3.97
  汾西县,728,1405,13103,13960,42064,37560,9697,8663,2096,2274,272,287,9.27,9.37,9.16,1746,542,1204,1.56,0.95,2.21
  侯马市,947,2998,18497,21079,54863,52480,26410,23904,10046,8830,3959,3248,10.10,10.33,9.86,3364,704,2660,1.65,0.69,2.63
  霍州市,1102,2514,20049,22058,80512,74939,23047,20781,7377,6534,2646,2057,9.72,9.89,9.55,2979,811,2168,1.30,0.70,1.92
吕梁市,38634,68792,472636,480848,931912,802268,241246,211018,73375,78173,29232,28985,8.99,9.13,8.84,97183,33936,63247,3.26,2.21,4.37
  离石区,2248,3542,31266,30120,65673,59298,29835,27802,12484,18457,6992,7638,10.34,10.25,10.43,5008,1832,3176,1.97,1.45,2.49
  文水县,3019,7384,48943,50052,116049,103705,23512,23679,5200,5755,2034,2422,8.91,9.03,8.78,9160,2465,6695,2.72,1.45,4.02
  交城县,1726,3607,21425,22459,64916,58203,15517,14876,4013,4117,1494,1520,9.23,9.36,9.10,4716,1445,3271,2.54,1.53,3.58
  兴县,5259,7766,39367,41665,67077,57754,17492,13103,5649,3865,1532,1002,8.50,8.78,8.19,11381,4501,6880,4.98,3.78,6.30
  临县,6908,11518,90126,91416,149380,128742,23797,20788,6148,5930,1739,1497,8.33,8.49,8.15,17336,6351,10985,3.76,2.67,4.91
  柳林县,3658,5943,45586,45803,77550,59120,22595,18006,7103,5793,2195,1967,8.88,9.09,8.64,8666,3252,5414,3.45,2.41,4.66
  石楼县,993,1524,19133,20662,25866,21141,5781,4486,1502,1330,627,561,8.47,8.69,8.24,2155,810,1345,2.49,1.81,3.24
  岚县,3772,6612,24303,26532,41828,34821,9252,7046,2719,2176,1021,738,8.26,8.61,7.88,9904,3542,6362,7.14,4.98,9.41
  方山县,2608,4077,23319,22529,34061,26928,7603,5689,2714,2372,702,553,8.35,8.57,8.09,6500,2510,3990,5.64,4.08,7.42
  中阳县,1483,2601,18527,19738,32133,25220,12248,9208,3610,3003,1312,1157,9.09,9.36,8.80,3820,1378,2442,3.42,2.33,4.66
  交口县,1608,2770,14446,14023,29569,24316,8733,7697,2460,2422,864,819,9.06,9.22,8.88,3787,1323,2464,4.03,2.69,5.49
