首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,6岁及以上各种受教育程度人口,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,,文盲人口占15岁及以上人口比重（%）,,
,未上过学,,小学,小学,初中,初中,高中,高中,大学专科,大学专科,大学本科及以上,大学本科及以上,,,,,,,,,
,男,女,男,女,男,女,男,女,男,女,男,女,合计,男,女,合计,男,女,合计,男,女
  巨鹿县,3045,9101,39660,51299,101545,90624,20020,14186,4589,4254,1233,1167,8.63,9.01,8.25,9764,2055,7709,3.17,1.35,4.96
  新河县,791,2576,14526,18553,48577,46701,11489,9344,1950,1863,721,638,9.04,9.31,8.78,2765,520,2245,1.94,0.74,3.11
  广宗县,3613,10033,36690,47129,67419,58282,13860,9411,2919,2693,1161,999,8.23,8.73,7.76,12269,2990,9279,5.50,2.74,8.13
  平乡县,4142,11070,39668,46013,73707,62940,16378,11253,3566,2831,1313,997,8.33,8.81,7.85,14011,3674,10337,5.93,3.10,8.77
  威县,5548,14633,68772,85604,150431,130476,20967,14741,4524,3677,2179,1604,8.28,8.67,7.91,18567,4730,13837,4.10,2.10,6.06
  清河县,3409,11759,36113,46315,107211,92389,21904,14606,4521,3790,2114,1788,8.63,9.09,8.17,13512,2727,10785,4.26,1.72,6.79
  临西县,3491,9712,45650,57994,90526,73886,13350,7816,2615,1872,801,591,8.16,8.63,7.68,12101,2940,9161,4.48,2.18,6.77
  南宫市,2222,6299,40652,50978,141601,131130,27105,21622,5175,4612,1938,1640,8.91,9.15,8.66,7010,1609,5401,1.74,0.80,2.69
  沙河市,3848,13981,51883,64665,131564,114112,32341,25303,7938,6598,2378,2066,8.80,9.23,8.38,16380,3325,13055,4.09,1.66,6.51
保定市,88372,202129,1344328,1552945,2721214,2436694,665891,579285,208326,212940,138191,133227,8.98,9.20,8.75,241246,66875,174371,2.60,1.44,3.76
  新市区,1540,4212,29167,35830,76618,78395,55633,55967,32362,30108,19152,16343,11.13,11.38,10.90,4316,927,3389,1.08,0.47,1.67
  北市区,1258,2705,21855,24084,48651,47186,40104,40118,26874,29718,43840,42077,12.26,12.34,12.18,2928,811,2117,0.85,0.48,1.22
  南市区,851,2673,18947,22406,47745,45158,26609,25572,14467,16263,24427,26689,11.45,11.52,11.38,2809,574,2235,1.11,0.47,1.73
  满城县,3574,7668,49145,53900,107287,92781,22628,18203,5500,5173,2314,2139,8.73,8.95,8.50,9496,2830,6666,2.84,1.65,4.11
  清苑县,4903,11493,73622,83357,174967,156590,28821,25165,5274,5695,2195,2605,8.58,8.78,8.38,14080,3859,10221,2.69,1.47,3.91
  涞水县,1627,3192,37788,46765,88927,78233,23942,19213,6843,6680,2145,1817,9.06,9.26,8.85,3958,1247,2711,1.36,0.84,1.90
  阜平县,3247,5938,25036,29341,50638,43985,10712,8522,3117,2782,837,719,8.52,8.81,8.22,8024,2712,5312,4.96,3.31,6.66
  徐水县,3469,9209,69199,86616,140315,119968,35883,30218,8425,8818,3179,3240,8.78,9.04,8.51,11391,2955,8436,2.41,1.25,3.57
  定兴县,3239,9025,73626,87865,127300,117104,25152,20699,5180,5285,1714,1605,8.43,8.70,8.17,9245,2011,7234,2.14,0.95,3.27
  唐县,4606,10290,66077,83305,133900,126667,24139,18934,4541,4283,1613,1472,8.50,8.81,8.21,12069,3288,8781,2.89,1.62,4.08
  高阳县,2444,5539,42936,45925,89487,84894,16200,14248,3976,4443,1650,1743,8.70,8.86,8.55,5937,1532,4405,2.10,1.09,3.10
  容城县,2743,7430,40663,45916,60474,50731,12284,9466,2725,2844,1198,1049,8.19,8.53,7.84,9164,2278,6886,4.24,2.11,6.37
  涞源县,6678,10847,43515,42097,53491,40731,16178,13454,4227,3882,1086,970,8.13,8.39,7.83,14859,5391,9468,7.08,4.86,9.56
  望都县,1748,4585,27021,32725,64447,57214,17869,14519,4440,4212,1586,1366,8.96,9.25,8.68,5433,1390,4043,2.58,1.31,3.86
  安新县,6189,14151,65604,77978,111139,88303,13738,9938,3198,3398,1046,1016,7.94,8.31,7.56,17489,4869,12620,4.90,2.71,7.12
  易县,4951,9476,65066,79341,132130,115130,37828,29491,8532,8438,2529,2434,8.79,9.05,8.53,11491,3766,7725,2.57,1.67,3.50
  曲阳县,5745,11963,82646,95668,144362,126682,22163,19365,4832,5358,1522,1689,8.34,8.58,8.11,14686,4398,10288,3.24,1.95,4.51
  蠡县,2748,5713,62137,65279,139883,129315,21569,18205,3945,4721,1589,1822,8.65,8.78,8.52,6283,1754,4529,1.53,0.85,2.21
  顺平县,2144,4832,38548,45603,74717,65448,16348,13255,3746,3815,1425,1452,8.67,8.91,8.43,5760,1616,4144,2.37,1.32,3.44
  博野县,2062,4137,32400,35066,64588,59353,9918,9351,2132,2495,680,836,8.50,8.65,8.36,4980,1490,3490,2.48,1.49,3.46
  雄县,3078,8935,58029,68003,83740,68707,14948,10956,3879,3645,1097,979,8.16,8.52,7.79,10257,2245,8012,3.53,1.54,5.52
  涿州市,3268,8972,67385,76927,134641,123387,48577,45170,18493,18673,10157,8426,9.47,9.69,9.26,9199,1986,7213,1.79,0.77,2.79
  定州市,10092,23681,145535,162941,297530,268944,65381,56226,15849,17026,5681,5645,8.72,8.94,8.50,29997,8424,21573,3.14,1.76,4.51
  安国市,2631,5555,41246,46484,98835,91525,22464,21879,4585,5139,1533,1673,8.88,9.02,8.75,6883,2100,4783,2.20,1.36,3.04
  高碑店市,3537,9908,67135,79523,175402,160263,36803,31151,11184,10046,3996,3421,8.93,9.17,8.69,10512,2422,8090,1.93,0.89,2.98
张家口市,61657,126378,618735,667527,918720,780101,318636,267436,107961,93738,50327,42351,8.79,9.08,8.48,171758,54408,117350,4.70,2.91,6.58
  桥东区,1661,5231,21545,25640,58155,55213,44469,40546,22161,18588,17229,14248,11.04,11.35,10.72,5608,1124,4484,1.87,0.74,3.03
  桥西区,1760,5211,21204,24603,53423,49782,37622,38129,13376,14981,8045,6525,10.49,10.68,10.31,5899,1271,4628,2.34,1.02,3.60
  宣化区,3128,7606,30522,34982,76120,70674,42189,40335,16708,15704,7164,5988,10.09,10.33,9.85,10704,3120,7584,3.36,1.96,4.76
  下花园区,651,1757,7346,7919,14505,12054,5728,5202,1788,1552,695,576,9.13,9.42,8.83,2274,588,1686,4.11,2.07,6.26
  宣化县,4447,8966,38800,41101,68885,55570,14376,10554,2832,3026,1304,2034,8.27,8.53,8.00,11724,3691,8033,5.11,3.10,7.27
  张北县,7485,16484,52794,59321,63090,48197,20553,16512,5623,4307,2063,1738,7.99,8.47,7.49,22410,6763,15647,8.39,4.97,11.94
  康保县,3574,8139,34477,41735,42881,33274,12259,8683,3878,2756,957,731,8.03,8.52,7.53,11083,3308,7775,6.38,3.75,9.09
  沽源县,4626,9564,28621,30171,36074,27978,10492,7830,3481,2714,1134,871,7.94,8.41,7.45,13532,4339,9193,9.14,5.67,12.85
  尚义县,3302,7341,23249,28503,31161,25282,10470,6862,3293,2239,749,453,8.09,8.67,7.50,10753,3334,7419,8.44,5.18,11.78
  蔚县,5700,9390,82387,85011,93669,78037,22218,15132,6393,4823,1908,1521,8.19,8.44,7.91,11253,3834,7419,3.15,2.05,4.35
  阳原县,2631,6558,36959,41628,64933,57021,12455,8897,3400,2416,732,509,8.36,8.71,8.00,8071,2206,5865,3.88,2.09,5.70
  怀安县,2281,5538,29146,34707,49411,42392,13963,9874,3514,2581,1093,762,8.49,8.88,8.09,6978,1917,5061,3.96,2.14,5.86
  万全县,2166,4910,31660,35701,50631,43460,11142,8476,3378,2628,1017,713,8.42,8.73,8.10,6095,1745,4350,3.48,1.95,5.09
  怀来县,3568,6971,56998,54530,79457,71157,20786,19117,5745,5497,2303,2301,8.58,8.70,8.46,11333,4039,7294,3.81,2.64,5.06
  涿鹿县,3764,6621,58927,58289,72332,58369,21373,16964,5613,4532,1680,1423,8.40,8.60,8.17,9074,3144,5930,3.23,2.11,4.49
  赤城县,8560,12384,46224,44213,42073,33941,11847,9515,4475,3547,1381,1287,7.66,7.93,7.35,19489,7867,11622,9.94,7.65,12.46
