首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：人
地    区,15岁及以上人口,,,未婚,,,有配偶,,,离婚,,,丧偶,,,15-64岁妇女,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,"平均活产
子女数","平均存活
子女数"
  南宫市,40147,19977,20170,9405,5128,4277,27983,13887,14096,295,206,89,2464,756,1708,1.31,1.30
  沙河市,39742,19623,20119,10092,5429,4663,27303,13426,13877,277,202,75,2070,566,1504,1.64,1.63
保定市,906854,451022,455832,184902,102783,82119,666590,327640,338950,8279,5322,2957,47083,15277,31806,1.39,1.38
  新市区,38992,18981,20011,7000,3611,3389,29745,14671,15074,597,246,351,1650,453,1197,0.98,0.98
  北市区,33979,16372,17607,12901,6369,6532,19536,9590,9946,405,144,261,1137,269,868,0.70,0.69
  南市区,24864,11923,12941,8363,4054,4309,15274,7558,7716,266,97,169,961,214,747,0.82,0.81
  满城县,31947,16119,15828,5910,3384,2526,24167,12028,12139,213,137,76,1657,570,1087,1.50,1.49
  清苑县,52069,26183,25886,10149,5769,4380,38978,19297,19681,430,309,121,2512,808,1704,1.46,1.45
  涞水县,28660,14528,14132,6089,3458,2631,20792,10351,10441,275,204,71,1504,515,989,1.33,1.32
  阜平县,15620,7931,7689,2799,1720,1079,11600,5708,5892,173,127,46,1048,376,672,1.65,1.64
  徐水县,46169,23024,23145,8277,4696,3581,35187,17401,17786,326,218,108,2379,709,1670,1.47,1.46
  定兴县,42581,20921,21660,8918,5094,3824,30974,14824,16150,327,249,78,2362,754,1608,1.48,1.46
  唐县,40979,19636,21343,7701,4167,3534,30423,14369,16054,302,240,62,2553,860,1693,1.58,1.57
  高阳县,28409,14107,14302,4999,2759,2240,21670,10727,10943,307,198,109,1433,423,1010,1.43,1.42
  容城县,20258,10079,10179,3635,2007,1628,15428,7605,7823,166,118,48,1029,349,680,1.48,1.47
  涞源县,21305,11146,10159,4338,2764,1574,15451,7696,7755,357,260,97,1159,426,733,1.53,1.51
  望都县,20554,10240,10314,3601,2043,1558,15732,7722,8010,174,124,50,1047,351,696,1.43,1.42
  安新县,35324,17834,17490,7945,4600,3345,25417,12524,12893,278,177,101,1684,533,1151,1.43,1.42
  易县,44518,22528,21990,9344,5494,3850,32138,15790,16348,385,261,124,2651,983,1668,1.41,1.39
  曲阳县,45024,22316,22708,9673,5197,4476,32554,15985,16569,383,275,108,2414,859,1555,1.62,1.61
  蠡县,40790,20406,20384,6924,4040,2884,31485,15536,15949,297,201,96,2084,629,1455,1.57,1.57
  顺平县,22405,11267,11138,3469,2114,1355,17439,8570,8869,174,124,50,1323,459,864,1.49,1.47
  博野县,19591,9782,9809,3326,1903,1423,15078,7411,7667,162,106,56,1025,362,663,1.51,1.48
  雄县,28557,14292,14265,5308,2927,2381,21581,10765,10816,217,149,68,1451,451,1000,1.48,1.47
  涿州市,50128,24842,25286,9514,5360,4154,37505,18372,19133,578,338,240,2531,772,1759,1.23,1.22
  定州市,92755,46126,46629,18124,10051,8073,68353,33615,34738,834,598,236,5444,1862,3582,1.44,1.43
  安国市,30555,15142,15413,5236,2970,2266,23234,11366,11868,314,218,96,1771,588,1183,1.38,1.37
  高碑店市,50821,25297,25524,11359,6232,5127,36849,18159,18690,339,204,135,2274,702,1572,1.33,1.32
张家口市,356251,181092,175159,64149,38903,25246,267962,132945,135017,4947,3195,1752,19193,6049,13144,1.37,1.36
  桥东区,28109,13864,14245,5742,3120,2622,20517,10175,10342,535,248,287,1315,321,994,0.96,0.95
  桥西区,23328,11296,12032,5007,2545,2462,16847,8298,8549,445,221,224,1029,232,797,0.96,0.95
  宣化区,30240,14869,15371,4588,2531,2057,23589,11715,11874,584,280,304,1479,343,1136,1.07,1.07
  下花园区,5386,2723,2663,876,532,344,3980,1991,1989,133,86,47,397,114,283,1.26,1.24
  宣化县,22435,11614,10821,4374,2700,1674,16569,8241,8328,286,227,59,1206,446,760,1.51,1.49
  张北县,26343,13416,12927,4508,2771,1737,20177,10031,10146,215,146,69,1443,468,975,1.47,1.45
  康保县,17908,9099,8809,3129,1901,1228,13649,6773,6876,136,96,40,994,329,665,1.44,1.43
  沽源县,14503,7474,7029,2591,1618,973,10968,5450,5518,197,135,62,747,271,476,1.42,1.41
  尚义县,12719,6364,6355,1934,1106,828,9988,4949,5039,99,60,39,698,249,449,1.49,1.48
  蔚县,35885,18836,17049,7211,4725,2486,25888,12947,12941,549,459,90,2237,705,1532,1.60,1.58
  阳原县,21106,10624,10482,3769,2324,1445,15886,7767,8119,215,160,55,1236,373,863,1.58,1.57
  怀安县,17544,8940,8604,2792,1738,1054,13546,6714,6832,225,166,59,981,322,659,1.57,1.56
  万全县,17426,8810,8616,2881,1717,1164,13415,6684,6731,220,146,74,910,263,647,1.49,1.47
  怀来县,27850,14218,13632,4957,3086,1871,21186,10470,10716,336,210,126,1371,452,919,1.41,1.39
  涿鹿县,26918,14047,12871,4929,3249,1680,20035,9930,10105,409,299,110,1545,569,976,1.39,1.38
  赤城县,19565,10251,9314,3260,2250,1010,14919,7372,7547,257,183,74,1129,446,683,1.59,1.57
  崇礼县,8986,4647,4339,1601,990,611,6803,3438,3365,106,73,33,476,146,330,1.40,1.39
承德市,277527,140020,137507,50477,29863,20614,208135,102879,105256,3448,2174,1274,15467,5104,10363,1.42,1.40
  双桥区,33675,16164,17511,8897,4179,4718,22806,11326,11480,570,255,315,1402,404,998,0.93,0.92
  双滦区,12329,6376,5953,2339,1443,896,9208,4648,4560,201,107,94,581,178,403,1.23,1.21
  鹰手营子矿区,5356,2692,2664,740,451,289,4122,2070,2052,130,71,59,364,100,264,1.24,1.22
  承德县,31760,16423,15337,5984,3842,2142,23483,11685,11798,394,280,114,1899,616,1283,1.47,1.45
  兴隆县,25484,13004,12480,4255,2634,1621,19468,9670,9798,374,246,128,1387,454,933,1.46,1.44
  平泉县,34048,17082,16966,5680,3434,2246,26045,12790,13255,316,199,117,2007,659,1348,1.49,1.47
  滦平县,23267,11851,11416,4148,2474,1674,17525,8700,8825,287,198,89,1307,479,828,1.45,1.43
