首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,
地    区,各年龄组人口占总人口比重（%）,,,,有65岁及以上老年人口的户数（户）,,,,人口自然变动（‰）,,,迁入人口（人）,,
,0-14岁,15-64岁,65岁及以上,"15-49岁
育龄妇女",合计,有一个老人,有二个老人,"有三个
及以上老人",出生率,死亡率,自然增长率,"本县（市）/
本市市区","本省其他县
（市）、市区",外省
  献县,19.80,72.27,7.92,27.63,33854,22194,11440,220,13.66,5.79,7.87,13668,3184,1532
  孟村回族自治县,20.34,71.72,7.93,26.96,11702,7490,4166,46,13.28,6.51,6.77,5114,1191,2594
  泊头巿,18.23,74.42,7.36,28.35,32154,21620,10417,117,11.60,5.23,6.37,35417,5104,2458
  任丘市,16.47,74.79,8.74,28.43,51753,32100,19419,234,16.19,6.78,9.41,40773,13883,33685
  黄骅市,18.74,73.05,8.21,26.58,32366,20221,12006,139,11.91,5.53,6.38,52229,14046,13874
  河间市,19.09,72.40,8.51,27.46,50226,32366,17577,283,14.74,6.83,7.91,26046,14817,6693
廊坊市,15.08,77.17,7.75,29.34,247441,161169,85194,1078,11.86,5.73,6.13,248082,116890,319654
  安次区,12.75,80.02,7.22,30.98,19588,13094,6418,76,10.23,5.22,5.01,33547,24471,17243
  广阳区,12.33,80.11,7.56,31.55,26369,15299,10962,108,9.19,4.90,4.29,44320,28142,46183
  固安县,14.78,76.85,8.37,29.08,26119,17794,8193,132,14.35,6.44,7.91,17011,4603,11577
  永清县,15.77,75.72,8.51,27.84,22841,15694,7045,102,14.11,6.96,7.15,9158,2754,2997
  香河县,12.51,78.29,9.20,27.98,23018,14858,8033,127,10.64,6.47,4.17,22577,5593,36426
  大城县,19.48,72.69,7.83,28.06,26866,16825,9913,128,14.50,5.36,9.14,19689,2177,3292
  文安县,16.88,75.97,7.15,28.77,26459,17268,9080,111,12.07,5.65,6.42,14155,4653,23927
  大厂回族自治县,12.46,78.12,9.42,28.42,8711,6288,2406,17,10.95,6.79,4.16,5127,3022,5805
  霸州市,17.39,75.61,7.00,28.72,32525,22070,10334,121,13.77,6.10,7.67,25098,8048,43467
  三河市,13.32,79.22,7.46,30.59,34945,21979,12810,156,8.87,4.90,3.97,57400,33427,128737
衡水市,16.12,75.31,8.57,27.84,275398,187498,86507,1393,13.03,6.84,6.19,209392,59705,24763
  桃城区,14.93,78.01,7.05,31.26,26379,16946,9330,103,10.76,4.88,5.88,49369,32854,7192
  枣强县,18.14,73.82,8.04,27.27,24220,17051,7075,94,14.29,7.00,7.29,19605,5387,2737
  武邑县,17.31,74.43,8.25,27.58,19925,14013,5808,104,12.51,7.28,5.23,6431,1754,597
  武强县,16.22,75.15,8.63,27.68,13745,9266,4426,53,13.03,8.62,4.41,6588,1059,594
  饶阳县,13.12,76.53,10.35,27.59,21344,13927,7283,134,13.90,7.99,5.91,8247,1336,944
  安平县,15.19,75.08,9.73,27.04,23257,15075,8040,142,13.18,6.77,6.41,19233,3372,1854
  故城县,18.83,73.67,7.50,27.42,27132,18757,8277,98,15.23,6.72,8.51,9071,1119,2137
  景县,18.07,73.91,8.02,27.65,30876,21292,9396,188,14.02,6.95,7.07,20858,1278,3183
  阜城县,18.98,73.13,7.89,27.09,19942,13679,6147,116,12.85,5.82,7.03,7897,719,433
  冀州市,12.82,77.53,9.65,27.33,26144,18914,7137,93,10.90,7.15,3.75,38899,5689,1640
  深州市,13.37,76.51,10.12,27.23,42434,28578,13588,268,12.67,7.47,5.20,23194,5138,3452
,,,,,,,,,,,,,,
山西省,17.10,75.33,7.58,28.84,2011676,1356930,649271,5475,9.73,5.40,4.33,3643627,2189385,931653
太原市,13.49,78.58,7.93,30.77,238538,147379,90564,595,7.57,3.47,4.10,447793,818384,283790
  小店区,11.85,82.40,5.75,34.35,32756,19804,12872,80,8.05,2.91,5.14,65871,219197,72424
  迎泽区,11.88,78.87,9.24,32.67,38210,22144,15948,118,6.53,3.22,3.31,66254,134372,45414
  杏花岭区,12.71,77.14,10.14,29.28,46263,27600,18556,107,6.78,3.60,3.18,104244,128355,34591
  尖草坪区,12.72,78.89,8.40,29.94,25078,15417,9616,45,7.43,3.72,3.71,36071,81119,30110
  万柏林区,12.52,80.15,7.33,30.82,38927,23296,15564,67,6.42,2.46,3.96,85294,184649,62459
  晋源区,14.99,77.43,7.58,29.44,12286,7934,4318,34,9.88,4.26,5.62,8495,26462,11967
  清徐县,18.01,74.34,7.65,27.38,19722,13862,5780,80,9.34,5.04,4.30,18268,12430,13700
  阳曲县,16.19,72.40,11.41,25.59,10276,7215,3020,41,8.89,6.33,2.56,17296,5448,2855
  娄烦县,21.27,71.04,7.69,26.77,5983,4144,1826,13,10.07,5.28,4.79,17705,4066,2189
  古交市,17.30,76.67,6.03,29.63,9037,5963,3064,10,8.16,3.08,5.08,28295,22286,8081
大同市,16.88,75.08,8.03,29.00,196854,129017,67540,297,10.10,5.47,4.63,461292,244176,128090
  城区,14.30,77.56,8.14,30.66,40588,23049,17492,47,9.89,4.67,5.22,128761,61896,25964
  矿区,14.24,77.29,8.47,28.61,30584,19073,11473,38,8.31,5.88,2.43,116122,43185,12290
