首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  丰南区,5132,4611,22323,20566,24084,22566,20970,19958,24069,22363,45407,41667,35933,32552,33451,30781,33631,32693,40606,41118,41871,42946,35093,33611,37399,34243,25524,23231,15190,14574,12627,11595,9104,9162,4608,5546,2008,3279
  滦县,3171,2820,15065,13399,15740,14770,13221,12842,17110,17847,26318,26218,18721,18198,19846,18797,21321,20680,26049,24219,25407,24364,20925,19326,20729,19500,13672,12875,8844,8240,7360,6451,5535,5586,2840,3263,1192,1854
  滦南县,3046,2634,11734,10520,15786,14542,15616,14708,21946,22314,18259,19054,17949,18848,19885,19352,22983,22602,27205,26212,26830,26727,23259,22142,24476,22609,16201,15264,9776,9027,8288,7396,6516,7083,3651,4616,2038,3424
  乐亭县,1730,1707,8474,8074,11548,11194,11069,10647,18000,18103,18581,17300,19924,18836,17666,16988,18829,18678,24921,23884,24303,23763,22516,20937,24793,22877,17674,16854,11033,9682,7380,5666,5226,5537,2986,4006,1838,2998
  迁西县,2628,2224,13221,11278,12432,11002,11017,9831,10523,9465,19491,19445,15650,15340,13799,13110,12939,12348,17925,17031,17573,16772,15730,14599,13914,12747,9061,8578,5384,5067,4319,4102,3373,3367,1567,1702,632,942
  玉田县,4439,3701,17079,15046,19328,17850,14899,13740,20550,18785,35900,35518,27384,26373,27306,25112,22168,21991,29486,29682,28762,30188,21526,21708,27734,26154,19446,18264,11780,10260,8717,7513,6934,7081,3493,4290,1873,2773
  唐海县,575,537,2559,2328,3390,3233,3601,3580,7335,6166,12329,6822,11335,6200,8909,5378,9487,6577,10859,7564,9735,6883,7509,5725,6692,5796,4009,4340,2559,2665,2289,2299,1554,1467,796,888,393,568
  遵化市,4699,4331,21953,20421,22111,21010,18068,17625,20850,20734,41793,42705,24385,24497,26113,24739,25854,25211,35104,34477,31149,30621,25857,23624,26507,25387,17106,17385,10922,10516,9150,8438,6520,6847,3066,3836,1347,2053
  迁安市,5299,4087,22952,18949,20143,18078,17973,16702,27229,24864,41866,39930,28134,27127,23953,23462,25632,24872,33730,31801,31547,30461,26494,24933,24586,23427,17041,16169,10244,10018,7896,8074,5756,5951,2535,3253,1221,1771
秦皇岛市,15627,13759,66957,60208,72979,66443,68239,61580,101031,98118,157430,155393,106755,107175,106141,102777,112132,111109,131680,127907,130703,129182,115566,110799,114334,110633,76457,73941,48826,47519,40680,38570,28570,29486,14901,16837,7186,9975
  海港区,2724,2455,13305,12276,14313,13198,15218,13911,24389,26036,56156,55916,32096,34555,31626,32650,33984,34758,31731,31240,30660,29697,24771,24696,24617,25482,15841,16303,10027,11232,8730,9586,5717,6018,3086,3093,1467,1694
  山海关区,483,510,2684,2490,3143,2908,3613,3195,6604,4516,9964,6750,7757,6664,7407,6424,8366,7408,8292,7462,8779,8114,7498,6933,6732,7018,4310,4564,3054,3185,2610,2812,1804,1784,957,946,442,587
  北戴河区,314,246,1201,1194,1374,1292,1479,1330,3385,4302,5807,9793,2652,2841,2633,2509,2833,2906,2841,2840,3398,3569,3285,3264,3095,3242,1980,2012,1283,1470,1087,1223,818,785,429,417,222,296
