首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  康保县,69030,2.80,18.68,7040,2415,4625,4667,2373,612,6428,586,6454,432,5740,817,51
  沽源县,60792,1.91,19.57,5977,1654,4323,5272,705,620,5357,625,5352,446,4606,837,88
  尚义县,55596,3.02,20.82,5638,3633,2005,5416,222,4230,1408,397,5241,555,4435,608,40
  蔚县,145376,3.30,21.86,14651,6988,7663,8161,6490,6851,7800,1570,13081,1071,11603,1541,436
  阳原县,84856,2.78,19.48,8585,4359,4226,4228,4357,1856,6729,707,7878,446,7003,1018,118
  怀安县,71247,2.36,23.00,7175,5318,1857,3413,3762,1356,5819,822,6353,281,5965,825,104
  万全县,71695,2.76,22.17,7191,5988,1203,6585,606,5547,1644,1179,6012,499,5622,992,78
  怀来县,117033,3.10,27.51,11102,8729,2373,8781,2321,4683,6419,2779,8323,836,8002,2037,227
  涿鹿县,105710,2.90,24.94,10622,9968,654,10148,474,9143,1479,2254,8368,419,8828,1291,84
  赤城县,82641,3.25,23.50,8495,4923,3572,3768,4727,3493,5002,911,7584,710,6658,1038,89
  崇礼县,37494,2.87,21.45,3656,3303,353,3194,462,1406,2250,764,2892,290,2486,841,39
承德市,1024783,2.62,23.75,101152,40559,60593,89820,11332,55965,45187,23344,77808,6743,73234,19605,1570
  双桥区,121817,2.43,26.82,11430,9193,2237,10961,469,8987,2443,6961,4469,1501,3046,6326,557
  双滦区,46584,2.51,27.41,4680,2634,2046,4143,537,2435,2245,1859,2821,405,1945,2200,130
  鹰手营子矿区,22720,2.14,22.41,2281,1944,337,2067,214,1044,1237,633,1648,110,631,1438,102
  承德县,111146,2.64,22.31,11031,4568,6463,10772,259,9289,1742,2582,8449,574,9122,1240,95
  兴隆县,90363,2.49,24.02,8817,2164,6653,7564,1253,4102,4715,1934,6883,274,7364,1137,42
  平泉县,129228,2.18,21.93,12526,3850,8676,11264,1262,8904,3622,1610,10916,510,10333,1588,95
  滦平县,83476,3.41,21.69,8363,2187,6176,5650,2713,2099,6264,1341,7022,586,6806,914,57
  隆化县,109424,2.74,23.68,10903,2685,8218,9087,1816,4225,6678,1545,9358,605,9155,1031,112
  丰宁满族自治县,105945,2.75,21.59,10556,4387,6169,9873,683,6497,4059,1458,9098,810,8314,1337,95
  宽城满族自治县,70737,3.09,25.22,7163,3058,4105,6520,643,3401,3762,1831,5332,410,5723,916,114
  围场满族蒙古族自治县,133343,2.44,25.49,13402,3889,9513,11919,1483,4982,8420,1590,11812,958,10795,1478,171
沧州市,2056649,3.35,28.78,205703,177492,28211,185743,19960,140785,64918,92614,113089,4136,170715,29345,1507
  新华区,73154,2.59,30.91,6965,6750,215,6594,371,5185,1780,5586,1379,442,1687,4665,171
  运河区,91690,2.90,33.83,9195,9061,134,8837,358,6437,2758,6896,2299,708,2854,5114,519
  沧县,200188,3.81,30.71,20290,18279,2011,17114,3176,11709,8581,6207,14083,24,20119,85,62
  青县,125279,3.09,31.47,13031,12193,838,11488,1543,8017,5014,6014,7017,285,11285,1401,60
  东光县,108615,3.87,27.73,10696,6312,4384,8606,2090,4294,6402,2692,8004,87,9646,933,30
  海兴县,59986,2.89,27.73,6010,5087,923,5582,428,5060,950,922,5088,103,5327,552,28
  盐山县,113690,3.36,25.55,11647,7658,3989,9417,2230,4504,7143,2489,9158,99,10753,771,24
  肃宁县,90820,3.19,35.60,9029,8603,426,8833,196,8210,819,5992,3037,108,8248,604,69
  南皮县,104236,4.32,28.65,10238,6543,3695,9127,1111,6241,3997,2432,7806,107,9328,736,67
  吴桥县,84274,3.87,31.41,8335,5626,2709,6482,1853,3739,4596,2640,5695,32,7622,668,13
  献县,158888,3.45,25.79,15951,13079,2872,14089,1862,10188,5763,5330,10621,103,15055,753,40
  孟村回族自治县,56416,4.03,24.72,5483,5028,455,4933,550,4134,1349,3523,1960,98,4941,416,28
  泊头巿,172378,2.89,26.03,16801,15597,1204,14826,1975,11767,5034,7816,8985,163,14782,1794,62
  任丘市,236492,3.14,28.18,23720,22356,1364,22850,870,20405,3315,14921,8799,859,16603,6100,158
  黄骅市,160879,2.80,28.78,16219,15235,984,15494,725,11824,4395,5871,10348,713,12417,2995,94
