首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
  承德县,31231,19359,487,959,549,2177,10421,4766,,11872,1423,1937,507,192,224,40,579,6098,872
  兴隆县,25089,15668,313,962,579,2176,9732,1906,,9421,1016,1656,394,184,132,25,635,4859,520
  平泉县,33443,23407,404,1203,566,2227,15010,3997,,10036,1810,2064,292,169,155,11,880,3732,923
  滦平县,22852,15545,235,850,408,1961,8559,3532,,7307,1171,1354,275,67,73,5,456,3537,369
  隆化县,28792,20079,287,941,529,1840,14037,2443,2,8713,1169,1600,278,101,96,10,488,4162,809
  丰宁满族自治县,27506,19483,305,847,507,1546,14224,2039,15,8023,1395,1567,279,113,67,10,534,3371,687
  宽城满族自治县,19908,9185,491,768,314,1206,3183,3214,9,10723,773,906,465,83,113,19,315,5997,2052
  围场满族蒙古族自治县,33580,25621,553,987,458,1822,19466,2335,,7959,1689,1684,204,112,79,11,588,2965,627
沧州市,570116,420899,6844,22041,9794,41969,265425,74264,562,149217,31086,29269,4413,1486,1796,321,20219,49697,10930
  新华区,17388,9800,337,2041,854,3547,1004,1972,45,7588,1172,325,254,223,131,1,2863,1937,682
  运河区,25058,13585,587,2873,1493,4139,1700,2731,62,11473,3188,427,352,336,188,50,3626,2398,908
  沧县,54011,44515,364,1324,248,2878,30047,9654,,9496,2137,2727,185,18,64,1,377,3549,438
  青县,34309,25109,491,1531,513,2386,14658,5524,6,9200,1838,1759,209,38,87,77,1114,3543,535
  东光县,28579,23245,174,594,449,941,19721,1362,4,5334,1558,1748,90,41,37,20,619,999,222
