,,,,,,,,,,,,,
表9--15全国县1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  30—34岁,    338 378,    13 326,    39.38,    1 110,    3.28,    7 566,    22.36,    3 070,    9.07,    1 069,    3.16,    511,    1.51
    30,    56 859,    3 212,    56.49,    346,    6.09,    1 833,    32.24,    735,    12.93,    223,    3.92,    75,    1.32
    31,    74 220,    3 462,    46.65,    286,    3.85,    2 031,    27.36,    777,    10.47,    264,    3.56,    104,    1.40
    32,    69 890,    2 753,    39.39,    211,    3.02,    1 577,    22.56,    630,    9.01,    223,    3.19,    112,    1.60
    33,    65 916,    2 048,    31.07,    144,    2.18,    1 157,    17.55,    462,    7.01,    178,    2.70,    107,    1.62
    34,    71 493,    1 851,    25.89,    123,    1.72,    968,    13.54,    466,    6.52,    181,    2.53,    113,    1.58
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
