表9—10  全国镇1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
    23,    517 175,    103 751,    200.61,    86 562,    167.37,    15 474,    29.92,    1 586,    3.07,    111,    0.21,    18,    0.03
    24,    512 031,    95 636,    186.78,    74 171,    144.86,    18 658,    36.44,    2 526,    4.93,    248,    0.48,    33,    0.06
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表9--10全国镇1989年育龄妇女分年龄、文化程度和孩次的生育状况(续04),,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  25—29岁,    1 568 332,    176 652,    112.64,    94 727,    60.40,    64 497,    41.12,    14 500,    9.25,    2 497,    1.59,    431,    0．27
    25,    496 763,    73 376,    147.71,    48 932,    98.50,    20 277,    40.82,    3 657,    7.36,    434,    0.87,    76,    0.15
    26,    459 939,    54 567,    118.64,    29 092,    63.25,    20 068,    43.63,    4 633,    10.07,    675,    1.47,    99,    0.22
    27,    238 435,    23 504,    98.58,    9 512,    39.89,    10 468,    43.90,    2 887,    12.11,    552,    2.32,    85,    0．36
    28,    170 839,    12 686,    74.26,    4 121,    24.12,    6 490,    37.99,    1 629,    9.54,    384,    2.25,    62,    0.36
    29,    202 356,    12 519,    61.87,    3 070,    15.17,    7 194,    35.55,    1 694,    8.37,    452,    2.23,    109,    0．54
  30-34岁,    1 208 941,    44 545,    36.85,    6 283,    5.20,    28 330,    23.43,    7 031,    5.82,    2 088,    1.73,    813,    0．67
    30,    199 772,    10 580,    52.96,    1 924,    9.63,    6 430,    32.19,    1 637,    8.19,    462,    2.31,    127,    0.64
    31,    262 145,    1 1 522,    43.95,    1 705,    6.50,    7 324,    27.94,    1 763,    6.73,    565,    2.16,    165,    0.63
    32,    247 363,    9 181,    37.12,    1 121,    4.53,    5 973,    24.15,    1 474,    5.96,    439,    1.77,    174,    0.70
    33,    238 686,    7 152,    29.96,    862,    3.61,    4 641,    19.44,    1 128,    4.73,    339,    1.42,    182,    0.76
    34,    260 975,    6 1 10,    23.41,    671,    2.57,    3 962,    15.18,    1 029,    3.94,    283,    1.08,    165,    0.63
  35—39岁,    1 094 484,    12 126,    11.08,    1 302,    1.19,    7 380,    6.74,    2 1 51,    1.97,    770,    0.70,    523,    0.48
    35,    251 476,    4 606,    18.32,    474,    1.88,    2 956,    11.75,    778,    3.09,    252,    1.00,    146,    0.58
    36,    232 162,    3 159,    13.61,    333,    1.43,    1 946,    8.38,    564,    2.43,    196,    0.84,    120,    0.52
    37,    225 926,    2 196,    9.72,    230,    1.02,    1 304,    5.77,    395,    1.75,    162,    0．72,    105,    0.46
    38,    193 782,    1 291,    6.66,    156,    0.81,    730,    3.77,    245,    1.26,    93,    0.48,    67,    0.35
    39,    191 138,    874,    4.57,    109,    0.57,    444,    2.32,    169,    0．88,    67,    0．35,    85,    0．44
  40-44岁,    636 457,    1 205,    1.89,    165,    0.26,    408,    0.64,    304,    0.48,    157,    0.25,    171,    0.27
    40,    143 060,    410,    2.87,    59,    0.41,    167,    1.17,    95,    0.66,    36,    0.25,    53,    0.37
    41,    127 104,    279,    2.20,    34,    0.27,        94,    0.74,    71,    0．56,    43,    0．34,    37,    0.29
    42,    127 535,    211,    1.65,    28,    0.22,    63,    0.49,    59,    0.46,    31,    0.24,    30,    0.24
    43,    122 678,    162,    1.32,    25,    0.20,    45,    0.37,    44,    0.36,    25,    0.20,    23,    0.19
    44,    116 080,    143,    1.23,    19,    0.16,    39,    0.34,    35,    0.30,    22,    0.19,    28,    0.24
