表9—16  全国1989年育龄妇女分年龄、行业门类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    29,    1 107 661,    45 798,    41.35,    26 871,    24.26,    15 685,    14.16,    2 548,    2.30,    561,    0.51,    133,    0．12
  30—34岁,    5 942 767,    130 184,    21.91,    48 077,    8.09,    67 380,    11.34,    10 853,    1.83,    2 818,    0.47,    1056,    0.18
    30,    1 039 368,    33 719,    32.44,    15 616,    15.02,    14 939,    14.37,    2 426,    2.33,    602,    0.58,    136,    0.13
    31,    1 321 308,    34 377,    26.02,    13 110,    9.92,    17 587,    13.31,    2 765,    2.09,    693,    0.52,    222,    0.17
    32,    1 213 585,    25 912,    21.35,    8 821,    7.27,    14 055,    11.58,    2 226,    1.83,    585,    0.48,    225,    0.19
    33,    1 144 225,    19 632,    17.16,    6 014,    5.26,    11 126,    9.72,    1 754,    1.53,    507,    0.44,    231,    0.20
    34,    1 224 281,    16 544,    13.51,    4 516,    3.69,    9 673,    7.90,    1 682,    1.37,    431,    0.35,    242,    0.20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,    出生数, 生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  35—39岁,    4 934 632,    32 179,    6.52,    8 402,    1.70,    18 077,    3.66,    3 709,    0.75,    1 174,    0.24,    817,    0.17
    35,    1 157 571,    12 055,    10.41,    3 139,    2.71,    7 092,    6.13,    1 247,    1.08,    359,    0.31,    218,    0.19
    36,    1 047 691,    8 388,    8.01,    2 089,    1.99,    4 832,    4.61,    984,    0.94,    271,    0.26,    212,    0.20
