表9—13  全国市1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
,,,,  出生数,    生育率,,,,,,,,
    35,    37 819,    288,    7.62,    134,    3.54,    136,    3.60,    14,    0.37,    4,    0.11,-,-
    36,    35 733,    246,    6.88,    110,    3.08,    120,    3.36,    13,    0．36,    3,    0.08,-,-
    37,    36 284,    186,    5.13,    90,    2.48,    92,    2.54,    4,    0.11,-,-,-,-
    38,    35 727,    133,    3.72,    63,    1.76,    61,    1.71,    6,    0.17,    2,    0．06,    1,    0.03
    39,    39 949,    101,    2.53,    51,    1.28,    43,    1.08,    5,    0．13,-,-,    2,    0．05
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40-44岁,    176 709,    182,    1.03,    80,    0.45,    62,    0.35,    24,    0.14,    10,    0.06,    6,    0.03
    40,    34 267,    59,    1.72,    27,    0.79,    24,    0.70,    6,    0．18,    2,    0.06,     -,   -
    41,    34 827,    48,    1.38,    22,    0.63,    16,    0.46,    6,    0.17,    3,    0.09,        1,    0.03
    42,    36 152,    34,    0.94,    16,    0．44,    11,    0.30,    6,    0.17,-,-,    1,    0.03
    43,    36 525,    20,    0.55,    10,    0.27,    4,    0．11,    3,    0.08,    2,    0.05,    1,    0.03
    44,    34 938,    21,    0.60,    5,    0.14,    7,    0.20,    3,    0.09,    3,    0.09,    3,    0.09
  45-49岁,    157 835,    50,    0.32,    4,    0.03,    15,    0.10,15,    0．10,    11,    0.07,    5,    0.03
    45,    33 319,    10,    0.30,    2,    0.06,    4,    0.12,    1,    0.03,     2,    0.06,    1,    0.03
    46,    32 761,    9,    0.27,-,-,    4,    0.12,    1,    0.03,    3,    0.09,    1,    0.03
    47,    31 936,    10,    0.31,-,-,2,    0.06,    5,    0.16,    1,    0.03,    2,    0.06
    48,    30 518,    10,    0.33,        2,    0.07,2,    0.07,    3,    0．10,    2,    0.07,    1,    0.03
    49,    29 301,    11,    0.38,-,-,3,    0．10,    5,    0.17,    3,    0.10,-,-
办事人员和有关人员,    1 783 464,    78 375,    43.95,    73 333,    41.12,    4 634,    2.60,    331,    0.19,    53,    0.03,    24,    0.01
  15-19岁,    95 107,    260,    2.73,    254,    2.67,    6,    0.06,-,-,-,-,-,-
    15,    2 227,-,-,-,-,-,-,-,-,-,-,-,-
    16,    7 398,    2,    0.27,    2,    0.27,-,-,-,-,-,-,-,-
    17,    15 952,    11,    0.69,    11,    0.69,-,-,-,-,-,-,-,-
    18,    28 704,    61,    2.13,    60,    2.09,    1,    0.03,-,-,-,-,-,-
    19,    40 826,    186,    4.56,    181,    4.43,    5,    0.12,-,-,-,-,-,-
  20-24岁,    287 197,    26 774,    93.23,    26 384,    91.87,    369,    1.28,    19,    0.07,    2,    0.01,-,-
    20,    54 285,    832,    15.33,    816,    15.03,    16,    0.29,-,-,-,-,-,-
    21,    54 862,    1 884,    34.34,    1 861,    33.92,    22,    0.40,    1,    0.02,-,-,-,-
    22,    49 429,    3 336,    67.49,    3 287,    66.50,    47,    0.95,2,    0.04,-,-,-,-
    23,    60 782,    8 042,    132.31,    7 921,    130.32,    113,    1.86,    7,    0.12,    1,    0.02,-,-
    24,    67 839,12 680,    186.91,    12 499,    184.25,    171,    2.52,    9,    0.13,    1,    0.01,-,-
  25-29岁,    350 908,    42 101,    119.98,    40 624,    115.77,    1 369,3.9,    90,    0.26,    16,    0.05,   2,    0.01
    25,    89 410,    15 672,    175.28,    15 403,    172.27,    251,    2.81,    12,    0.13,    6,    0.07,-,-
    26,    94 813,    13 791,    145.45,    13 427,    141.62,    334,    3.52,    26,    0.27,    3,    0.03,    1,    0.01
    27,    55 023,    5 996,    108.97,    5 778,    105.01,    200,    3.63,    15,    0.27,    3,    0.05,-,-
    28,    52 276,    3 756,    71.85,    3 508,    67.11,    229,    4.38,    18,    0.34,-,-,    1,    0.02
    29,    59 386,    2 886,    48.60,    2 508,    42.23,    355,    5.98,    19,    0.32,    4,    0.07,-,-
  30—34岁,    362 808,    7 076,    19.50,    5 046,    13.91,    1 899,    5.23,    119,    0.33,    9,    0.02,    3,    0.01
    30,    55 661,    1 795,32.25,    1 484,    26.66,    286,    5.14,    23,    0.41,    2,    0.04,-,-
    31,    75 290,    1 860,    24.70,    1 410,    18.73,    418,    5.55,    32,    0.43,-,-,-,-
    32,    74 296,    1 395,    18.78,    961,    12.93,    415,    5.59,    17,    0.23,    2,    0.03,-,-
    33,    74 790,    1 083,    14.48,    672,    8.99,    383,    5.12,    25,    0.33,    1,    0．01,    2,    0.03
    34,    82 771,    943,    11.39,    519,    6.27,    397,    4.80,    22,    0.27,    4,    0.05,    1,    0.01
  35-39岁,    332 825,    1 901,    5.71,    920,    2.76,    895,    2.69,    67,    0.20,    13,    0.04,    6,0.02
    35,    81 086,    713,    8.79,    360,    4.44,    328,    4.05,    17,    0.21,    5,    0.06,    3,    0.04
    36,    69 172,    464,    6.71,    214,    3.09,    229,    3.31,    18,    0.26,    1,    0.01,    2,    0.03
    37,    64 930,    337,    5.19,    158,    2.43,    164,    2.53,    12,    0.18,    2,    0.03,    1,    0．02
    38,    58 620,    242,    4.13,    117,    2.00,    113,    1.93,    11,    0.19,    1,    0.02,-,-
    39,    59 017,    145,    2.46,    71,    1.20,    61,1.03,    9,    0.15,    4,    0.07,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,  1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40-44岁,    204 926,    213,    1.04,    96,    0.47,    83,    0.41,    24,    0.12,    3,    0.01,    7,    0.03
    40,    47 444,    99,    2.09,    46,    0.97,    43,    0.91,    6,    0.13,   2,    0.04,     2,    0.04
    41,    44 378,    58,    1.31,    29,    0.65,    24,    0.54,    4,    0.09,-,-,    1,    0.02
    42,    41 831,    27,    0.65,    13,    0.31,    5,    0.12,    5,    0.12,    1,    0.02,    3,    0.07
    43,    37 154,    14,    0.38,    4,    0．11,    6,    0.16,    3,    0．08,-,-,    1,    0．03
    44,    34 119,    15,    0.44,    4,    0.12,    5,    0.15,    6,    0.18,-,-,-,-
  45—49岁,    149 693,    50,    0.33,    9,    0.06,    13,    0.09,    12,    0.08,    10,    0.07,    6,    0.04
    45,    32 487,    7,    0.22,    2,    0．06,2,    0.06,    1,    0.03,    1,    0．03,    1,    0.03
    46,    32 615,    9,    0．28,-,-,    3,    0.09,2,    0.06,    3,    0.09,    1,    0.03
    47,    31 834,    14,    0.44,    2,    0.06,    4,    0.13,    4,    0.13,    2,    0.06,2,    0.06
    48,    29 823,    12,    0.40,    4,    0.13,    3,    0.10,    1,    0.03,   2,    0.07,    2,    0.07
    49,    22 934,    8,    0.35,    1,    0.04,    1,    0.04,    4,    0.17,    2,    0.09,-,-
商业工作人员,    3 931 127,    194 068,    49.37,    158 212,    40.25,    29 429,    7.49,    4 911,    1.25,    1 154,    0.29,    362,    0.09
  15-19岁,    348 184,    3 791,    10.89,    3 589,    10.31,    193,    0．55,    8,    0.02,    1,    0.00,-,-
    15,    18 770,    11,    0.59,    11,    0.59,-,-,-,-,-,-,-,-
    16,    42 672,    68,    1.59,    66,    1.55,    2,    0.05,-,-,-,-,-,-
    17,    67 777,    250,    3.69,    241,    3.56,    8,    0.12,    1,    0．01,-,-,-,-
    18,    98 476,    869,    8.82,    830,    8.43,    39,    0.40,-,-,-,-,-,-
