表9—12  全国1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    职业和,1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    年龄别,妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,  生育率,  出生率,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  15-19岁,    189 449,    1 037,    5.47,    1 005,    5.30,    32,    0.17,-,-,-,-,-,-
    15,    6 245,-,-,-,-,-,-,-,-,-,-,-,-
    16,    17 333,    4,    0.23,    4,    0.23,-,-,-,-,-,-,-,-
    17,    33 444,    39,    1.17,    39,    1.17,-,-,-,-,-,-,-,-
    18,    55 971,    227,    4.06,    221,    3.95,    6,    0.11,-,-,-,-,-,-
    19,    76 456,    767,    10.03,    741,    9.69,    26,    0.34,-,-,-,-,-,-
  20-24岁,    508 276,    55 058,    108.32,    53 188,    104.64,    1 732,    3.41,    125,    0.25,    10,    0.02,    3,    0．01
    20,    97 681,    2 715,    27.79,    2 636,    26.99,    77,    0.79,    1,    0.01,-,-,    1,0.01
    21,    96 139,    5 219,    54.29,    5 070,    52.74,    141,    1.47,    8,    0.08,-,-,-,-
    22,    88 995,    8 421,    94.62,    8 139,    91.45,    262,    2.94,    20,    0.22,-,-,-,-
    23,    107 543,    16 289,    151.46,    15 763,    146.57,    490,    4.56,    30,    0.28,    4,    0.04,     2,    0．02
    24,    117 918,    22 414,    190.08,    21 580,    183.01,    762,    6.46,    66,    0.56,    6,    0.05,-,-
  25—29岁,    542 070,    63 262,    116.70,    57 649,    106.35,    5 073,    9.36,    456,    0．84,    73,    0.13,    11,      0．02
    25,    143 452,    24 473,    170.60,    23 358,    162.83,    1 000,    6.97,    91,    0．63,    22,    0．15,    2,    0．01
    26,    148 944,    20 475,    137.47,    19 032,    127.78,    1 302,    8.74,    128,    0．86,    10,    0.07,    3,    0.02
    27,    85 722,    8 741,101.97,    7 766,    90.60,        870,    10.15,    89,    1.04,    15,    0.17,    1,    0.01
    28,    76 211,    5 296,    69.49,    4 407,    57.83,    807,    10.59,    71,    0.93,    8,    0.10,    3,    0.04
    29,    87 741,    4 277,    48.75,    3 086,    35.17,    1 094,    12.47,    77,    0.88,    18,    0．21,    2,    0.02
  30—34岁,    525 340,    12 236,    23.29,    6 046,    11.51,    5 651,    10.76,    454,    0.86,    60,    0.11,    25,    0.05
    30,    82 402,    2 931,    35.57,    1806,    21.92,    1 020,    12.38,    87,    1.06,    15,    0.18,    3,    0.04
    31,    110142,    3 066,    27.84,    1670,    15.16,    1 290,    11．71,    93,    0.84,    8,    0.07,    5,    0.05
    32,    107 565,    2 465,    22.92,    1 143,    10.63,    1 200,    11.16,    103,    0.96,    17,    0.16,    2,    0.02
    33,    107 317,    2 036,    18.97,    807,    7.52,    1 123,    10.46,    93,    0.87,    9,    0.08,    4,    0.04
    34,    117 914,    1 738,    14.74,    620,    5.26,    1 018,    8.63,    78,    0.66,    11,    0．09,    11,    0.09
  35-39岁,    472 433,    3 453,    7.31,    1 059,    2.24,    2 117,    4.48,    207,    0.44,    42,    0.09,    28,    0.06
    35,    114 388,    1 290,    11.28,    4 16,    3.64,    791,    6.92,    64,    0.56,    12,    0.10,    7,    0.06
    36,    98 951,    885,    8.94,    252,    2.55,    564,    5.70,    54,    0.55,    9,    0.09,    6,    0.06
    37,    92 838,    606,    6.53,    180,    1.94,    373,    4.02,    43,    0.46,    6,    0.06,    4,    0.04
    38,    82 752,    404,    4.88,    126,    1.52,    246,    2.97,    22,    0.27,    7,    0.08,    3,    0.04
    39,    83 504,    268,    3.21,    85,    1.02,    143,    1.71,    24,    0.29,    8,    0.10,    8,    0.10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40—44岁,    293 529,    349,    1.19,    120,    0.41,    143,    0.49,    57,    0．19,    15,    0.05,    14,    0.05
    40,    67 863,    143,    2.11,    53,    0.78,    69,    1.02,    12,    0.18,    6,    0.09,    3,    0.04
    41,    63 340,    101,    1.59,    35,    0.55,    42,    0.66,    18,    0.28,    2,    0.03,    4,    0.06
    42,    60 337,    47,    0．78,    18,    0.30,    13,    0.22,    11,    0.18,    2,    0.03,    3,    0.05
    43,    53 197,    27,    0.51,    5,    0．09,    11,    0.21,    6,    0．11,    4,    0.08,    1,    0.02
    44,    48 792,    31,    0.64,    9,    0.18,    8,    0.16,    10,    0.20,    1,    0.02,    3,    0.06
  45-49岁,    211 878,    83,    0．39,    11,    0.05,    21,    0.10,    23,    0.11,    16,    0.08,    12,    0.06
    45,    46 189,    20,    0.43,    3,    0.06,    5,    0.11,    5,    0.11,    6,    0.13,    1,    0.02
    46,    46 290,    15,    0.32,    1,    0.02,    6,    0.13,    3,    0.06,    3,    0.06,    2,    0.04
    47,    45 069,    20,    0.44,    2,    0.04,    5,    0.11,    7,    0.16,    2,    0.04,    4,    0.09
    48,    41 882,    17,    0.41,    4,    0．10,    3,    0.07,    3,    0.07,    3,    0.07,    4,    0．10
    49,    32 448,    11,    0．34,    1,    0.03,    2,    0.06,    5,    0．15,    2,    0.06,    1,    0.03
商业工作人员,    8 521 187,    486 928,    57.14,    343 055,    40.26,    112 153,    13.16,    23 632,    2.77,    5 766,    0．68,    2 322,    0．27
  15-19岁,    873 718,    14 239,    16.30,    13 334,    15.26,    855,       0.98,    43,    0.05,    5,    0.01,      2,    0．00
    15,    57 986,    37,    0．64,    36,    0.62,-,-,-,-,    1,    0.02,-,-
    16,    115 684,    224,    1.94,    214,    1.85,    10,    0.09,-,-,-,-,-,-
    17,    173 328,    947,    5.46,    912,    5.26,    32,    0.18,    2,    0.01,    1,    0.01,-,-
    18,    239 350,    3 315,    13.85,    3 151,    13.16,    159,    0.66,    4,    0.02,-,-,    1,    0.00
    19,    287 370,    9 716,    33.81,    9 021,    31.39,    654,    2.28,    37,    0.13,    3,    0.01,    1,    0．00
  20—24岁,    1 673 423,    241 623,    144.39,    206 881,    123.63,    30 557,    18.26,    3 789,    2.26,    360,    0.22,    36,    0.02
    20,    333 218,    24 707,    74.15,    22 754,    68.29,    1 834,    5.50,    111,    0．33,    7,    0.02,    1,    0.00
    21,    308 337,    36 408,    118.08,    32 702,    106.06,    3 426,    11.11,    267,    0.87,    12,    0.04,    1,    0．00
    22,    288 942,    45 641,    157.96,    39 599,    137.05,    5 461,    18.90,    544,    1.88,    34,    0．12,    3,    0.01
    23,    352 443,    65 675,    186.34,    55 540,    157.59,    8 921,    25.31,    1 109,    3.15,    95,    0.27,    10,    0.03
    24,    390 483,    69 192,    177.20,    56 286,    144.14,    10 915,    27.95,    1 758,    4.50,    212,      0.54,    21,    0.05
  25—29岁,    1 803 515,    171 582,    95.14,    110 161,    61.08,    48 298,    26.78,    10 595,    5.87,    2 109,    1.17,    419,    0．23
    25,    455 485,    63 972,    140.45,    48 346,    106.14,    12 837,    28.18,    2 409,    5.29,    330,    0.72,    50,    0.11
    26,    498 004,    53 528,    107.49,    35 421,    71.13,    14 304,    28.72,    3 151,    6.33,    574,    1.15,    78,    0.16
    27,    294 477,    24 605,    83.55,    13 589,    46.15,    8 331,    28.29,    2 166,    7.36,    440,    1.49,    79,    0．27
    28,    250 573,    14 899,    59.46,    7 260,    28.97,    5 885,    23.49,    1 350,    5.39,    336,    1.34,    68,    0.27
    29,    304 976,    14 578,    47.80,    5 545,    18.18,    6 941,    22.76,    1 519,    4.98,    429,    1.41,    144,    0.47
  30—34岁,    1 658 414,    46 217,    27.87,    10 696,    6.45,    25 865,    15.60,    6 606,    3.98,    2 131,    1.28,    919,    0.55
    30,    294 070,    11 601,    39.45,    3 470,    11.80,    6 027,    20.50,    1 523,    5.18,    433,    1.47,    148,    0.50
