34.人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
  3 4,"    12,559,119","    6,585,705","    5,973,414",    1.25,    0．66,    0．60,    110.25
3 5—3 9岁,"    54,221,629","    28,565,678","    25,655,951",    5.40,    2.85,    2.56,111.34
  3 5,"    12,401,450","    6,509,081","    5,892,369",    1.24,    0.65,    0．59,    110.47
  3 6,"    11,284,882","    5,896,179","    5,388,703",    1.12,    0.59,    0．54,    109.42
  3 7,"    10,580,696","    5,566,357","    5,014,339",    1.05,    0．55,    0.50,    111.01
  3 8,"    10,255,445","    5,436,653","    4,818,792",    1.02,    0．54,    0.48,    112.82
  3 9,"    9,699,156","    5,157,408","    4,541,748",    0.97,    0.51,    0．45,    113.56
4 0-4 4岁,"    48,437,943","    25,827,570","    22,610,373",    4.82,    2.57,    2.25,    114.23
  4 0,"    10,060,211","    5,331,337","    4,728,874",    1.00,    0．53,    0．47,    112.74
  4 1,"    9,999,643","    5,341,152","    4,658,491",    1.00,    0．53,    0．46,    114.65
  4 2,"    9,384,301","    4,994,743","    4,389,558",    0．93,    0.50,    0．44,    113.79
  4 3,"    9,401,304","    5,014,787","    4,386,517",    0．94,    0．50,    0．44,    114.32
  4 4,"    9,592,484","    5,145,551",4446933,    0.96,    0．51,    0．44,    115.71
4 5—4 9岁,"    47,403,331","    25,073,117","    22,330,214",    4.72,    2.50,    2.22,    112.28
  4 5,"    9,601,925","    5,108,174","    4,493,751",    0.96,    0．51,    0.45,    113.67
  4 6,"    9,655,814","    5,107,686","    4,548,128",    0．96,    0．51,    0．45,    112.30
  4 7,"    9,297,996","    4,887,513",4410483,    0.93,    0.49,    0.44,    110.82
  4 8,9459632,"    5,005,341","    4,454,291",    0.94,    0.50,    0.44,    112.37
  4 9,"    9,387,964","    4,964,403","    4,423,561",    0．94,    0.49,    0.44,    112.23
5 0—5 4岁,"    40,815,501","    21,528,986","    19,286,515",    4.07,    2.14,    1.92,    111.63
  5 0,"    8,579,435","    4,532,590","    4,046,845",    0.85,    0．45,    0．40,    112.00
  5 1,"    8,137,913","    4,332,903","    3,805,010",    0.81,    0.43,    0.38,    113.87
  5 2,"    8,426,358",4453993,3972365,    0.84,    0．44,    0.40,    112.12
  5 3,"    7,776,282","    4,074,350","    3,701,932",    0.77,    0.41,    0.37,    110.06
  5 4,"    7,895,513","    4,135,150","    3,760,363",    0．79,    0．41,    0．37,    109.97
5 5—5 9岁,"    33,894,327","    17,493,925","    16,400,402",    3.38,    1.74,    1.63,    106.67
  5 5,"    7,083,086","    3,705,316","    3,377,770",    0.71,    0．37,    0.34,    109.70
  5 6,"    6,911,047","    3,588,621","    3,322,426",    0.69,    0．36,0.33,    108.01
  5 7,"    7,049,455","    3,642,023","    3,407,432",    0.70,    0.36,    0.34,    106.88
  5 8,"    6,797,183","    3,475,640","    3,321,543",    0．68,    0.35,    0．33,    104.64
  5 9,"    6,053,556","    3,082，325","    2,971,231",    0．60,    0．31,    0．30,    103.74
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
(续),,,,,,,
6 0-6 4岁,"    27,362,204","    13,709,397","    13,652,807",    2.73,    1.37,    1.36,    100.41
  6 0,6162246,"    3,130,575",3031671,    0．61,    0.31,    0.30,    103.26
  6 1,"    5,753,771","    2,907,890",2845881,    0．57,    0.29,    0.28,    102.18
  6 2,"    5,688,684","    2,854,566",2834118,    0．57,    0.28,    0.28,    100.72
  6 3,"    4,966,706","    2,455,851","    2,510,855",    0．49,    0．24,    0.25,    97.81
