　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表8—1    省、自治区、直辖市家庭户按住房间数分的户数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,单位:户,,,,,,,,,,,,,,,,,,
地   区   别,总家庭户数,住      房      间      数,,,,,,,,,,,平均每户住房间数,,,,,,,,,,,,,,,,,,
,,0间,一间,二间,三间,四间,五间,六间,七间,八间,九间,十间及十间以上,(间/户),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,582338,1578,94220,185347,141502,52872,35189,21889,17416,12572,5743,14010,3.13,,,,,,,,,,,,,,,,,,
青海省,159921,242,33859,71711,29081,8847,5894,3471,2143,1714,823,2136,2.55,,,,,,,,,,,,,,,,,,
宁夏回族自治区,169258,          ,30650,80371,36702,10661,5368,2300,1277,765,389,775,2.43,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,554124,442,128512,218134,139162,40546,15613,6281,2516,1420,505,993,2.35,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表8—2    省、自治区、直辖市家庭户按人均住房面积分的户数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:户,,,,,,,,,,,,,,,,,,,,,,
地   区   别,总家庭户数,人  均  住  房  面  积  （  平  方  米  ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8以下,9-12,13-16,17-19,20-29,30-39,40-49,50以上 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,340491197,30913398,42734221,51351134,24978881,90507325,45173620,22953146,31879472,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,4096844,611628,424351,538572,406780,1081421,501656,216793,315643,,,,,,,,,,,,,,,,,,,,,,
天津市,2976741,337242,430385,526551,353365,781703,307754,115568,124173,,,,,,,,,,,,,,,,,,,,,,
河北省,17934977,777573,1929736,3016233,1667504,5629390,2566063,1101421,1247057,,,,,,,,,,,,,,,,,,,,,,
山西省,8650261,1150216,1380769,1430031,749956,2124141,951207,389615,474326,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,6784470,1071715,1332641,1362858,574787,1584395,508896,186285,162893,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,12866262,870136,1786017,2428015,1433490,3823716,1459791,554501,510596,,,,,,,,,,,,,,,,,,,,,,
吉林省,7848446,691477,1324625,1699597,834609,2136945,699929,250030,211234,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,10955750,965859,2098682,2469453,1123592,2756597,911212,354905,275450,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,5299068,823944,687622,659941,390364,1122420,590476,361526,662775,,,,,,,,,,,,,,,,,,,,,,
江苏省,21375726,1296302,1864153,2450325,1306434,5415650,3221535,2067329,3753998,,,,,,,,,,,,,,,,,,,,,,
浙江省,14136916,823185,979753,1224054,624939,3108467,2243151,1583303,3550064,,,,,,,,,,,,,,,,,,,,,,
安徽省,16313885,1293460,2297200,2907278,1342716,4735174,1963496,874141,900420,,,,,,,,,,,,,,,,,,,,,,
福建省,8743252,1212721,1162849,1150078,437467,1966523,1084853,605732,1123029,,,,,,,,,,,,,,,,,,,,,,
江西省,10168639,1055533,1287354,1465753,592645,2731637,1353164,715438,967115,,,,,,,,,,,,,,,,,,,,,,
山东省,26709328,1060185,2927161,4548018,2381355,8573595,3831585,1673501,1713928,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,24247377,1427055,3101391,4093327,2107858,7146076,3290797,1464762,1616111,,,,,,,,,,,,,,,,,,,,,,
