　　,,,,,,,,,,
表5—1    全国不同规模的家庭户类别,,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
新疆维吾尔自治区,532978,129332,139521,154008,110117,,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—3c    省、自治区、直辖市有0-19岁青少年人口的家庭户户数（乡村）,,,,,,,,,,
,,,,,,,,,,
,,,,,单位:户,,,,,
地   区   别,合    计,有0-4岁,有5-9岁,有10-14岁,有15-19岁,,,,,
,,人口的户,人口的户,人口的户,人口的户,,,,,
,,,,,,,,,,
合计,207940195,42079772,53447932,66567939,45844552,,,,,
,,,,,,,,,,
北京市,690179,112779,146927,261733,168740,,,,,
天津市,727392,134573,187411,251726,153682,,,,,
河北省,13386748,2520962,2989427,4488590,3387769,,,,,
山西省,5945637,1271279,1647673,1719176,1307509,,,,,
内蒙古自治区,3498476,665667,877473,1052765,902571,,,,,
,,,,,,,,,,
辽宁省,4730746,888940,1157387,1591751,1092668,,,,,
吉林省,3336810,536751,796723,1169022,834314,,,,,
黑龙江省,4370420,771323,1025643,1433672,1139782,,,,,
,,,,,,,,,,
上海市,307351,60928,75102,99449,71872,,,,,
江苏省,9724206,1649550,2614283,3444209,2016164,,,,,
浙江省,5454488,1185723,1447164,1701746,1119855,,,,,
安徽省,11596354,2344397,3421023,3620591,2210343,,,,,
福建省,5251558,931736,1368722,1691012,1260088,,,,,
江西省,7877545,1788351,2050964,2385160,1653070,,,,,
山东省,13793296,2747295,2755647,5033012,3257342,,,,,
,,,,,,,,,,
河南省,19493334,3822375,4820307,6567743,4282909,,,,,
湖北省,9075019,1363314,2524806,3130837,2056062,,,,,
湖南省,11732262,2209269,2717436,3962234,2843323,,,,,
广东省,10010536,2245365,2861113,2790749,2113309,,,,,
广西壮族自治区,8834379,1734497,2118529,2748990,2232363,,,,,
海南省,1261194,257190,333397,350671,319936,,,,,
,,,,,,,,,,
重庆市,5369871,1203306,1556708,1677301,932556,,,,,
四川省,15434716,3396944,4314328,4982290,2741154,,,,,
贵州省,8141195,2089607,2168730,2254967,1627891,,,,,
云南省,9268077,2360681,2390017,2502760,2014619,,,,,
西藏自治区,650234,156121,168528,170462,155123,,,,,
,,,,,,,,,,
陕西省,6789636,1187532,1844428,2234501,1523175,,,,,
甘肃省,5299439,1106459,1503839,1591271,1097870,,,,,
青海省,958315,229828,264951,255047,208489,,,,,
宁夏回族自治区,1111809,270687,293261,295537,252324,,,,,
新疆维吾尔自治区,3818973,836343,1005985,1108965,867680,,,,,
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—4    省、自治区、直辖市有65岁及65岁以上老年人口的家庭户户数,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,单位:户
,          ,有一个65岁以上老年人的户,,,,有二个65岁以上老年人的户,,,,其他
地   区   别,合  计,   小计   ,单身老人户,一个老年人与,   其他   ,   小计   ,只有一对老夫妇户,一对老夫妇户与,其他,
                              ,          ,,,未成年的亲属户,,,,未成年的亲属户,,
,,,,,,,,,,
合计,68393572,49626559,7835140,791867,40999552,18533281,7781231,722315,10029735,233732
,,,,,,,,,,
北京市,850821,572156,101270,11368,459518,275793,111411,14700,149682,2872
天津市,617888,417444,80102,9184,328158,198425,94160,10551,93714,2019
河北省,3588621,2530406,426818,23920,2079668,1043792,484344,25580,533868,14423
山西省,1600393,1160886,223420,13598,923868,435594,208609,12925,214060,3913
内蒙古自治区,1005632,739545,114626,7881,617038,264009,132687,8465,122857,2078
,,,,,,,,,,
辽宁省,2436591,1608338,255097,15938,1337303,820061,404622,23569,391870,8192
吉林省,1239515,879404,96975,7741,774688,356492,149153,10226,197113,3619
黑龙江省,1562229,1128136,129922,12309,985905,430702,201361,15321,214020,3391
,,,,,,,,,,
上海市,1349969,860962,185401,18448,657113,481766,211136,24660,245970,7241
江苏省,4853824,3343200,647583,35981,2659636,1488087,686371,41403,760313,22537
浙江省,3187191,2334781,640612,39801,1654368,843288,478830,32409,332049,9122
安徽省,3419411,2408787,382771,43034,1982982,997274,434496,45757,517021,13350
福建省,1823629,1399556,212269,34245,1153042,418069,159183,21177,237709,6004
江西省,2017333,1543094,171362,33259,1338473,469334,151167,28864,289303,4905
山东省,5456421,3724549,955187,33377,2735985,1709182,1011946,38383,658853,22690
,,,,,,,,,,
河南省,4944144,3475403,508635,47381,2919387,1444014,572847,48428,822739,24727
湖北省,2971647,2211868,282876,28073,1900919,750717,274422,25493,450802,9062
湖南省,3721717,2763666,363154,43663,2356849,947156,340621,38341,568194,10895
广东省,4163446,3155272,535460,86255,2533557,993491,315355,59244,618892,14683
广西壮族自治区,2527802,1881797,277632,48239,1555926,637247,218629,34205,384413,8758
海南省,385111,267649,43591,3079,220979,115412,35269,3689,76454,2050
,,,,,,,,,,
重庆市,1935192,1450580,183110,31299,1236171,479190,169104,26654,283432,5422
四川省,5011065,3870219,437232,81348,3351639,1126322,365182,59023,702117,14524
贵州省,1671858,1250503,139699,24547,1086257,418002,153419,21583,243000,3353
云南省,2078513,1597516,142464,12898,1442154,475946,136223,11345,328378,5051
西藏自治区,102967,84811,6110,913,77788,16955,903,299,15753,1201
,,,,,,,,,,
陕西省,1741695,1326236,147846,16023,1162367,411687,148442,15732,247513,3772
甘肃省,1051465,803448,52889,6880,743679,245963,47384,7157,191422,2054
青海省,179991,142153,9868,1746,130539,37492,8072,1813,27607,346
宁夏回族自治区,193809,143652,13590,1617,128445,49883,17699,2210,29974,274
新疆维吾尔自治区,703682,550542,67569,17822,465151,151936,58184,13109,80643,1204
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—4a    省、自治区、直辖市有65岁及65岁以上老年人口的家庭户户数（城市）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,单位:户
,          ,有一个65岁以上老年人的户,,,,有二个65岁以上老年人的户,,,,其他
地   区   别,合  计,   小计   ,单身老人户,一个老年人与,   其他   ,   小计   ,只有一对老夫妇户,一对老夫妇户与,其他,
                              ,          ,,,未成年的亲属户,,,,未成年的亲属户,,
,,,,,,,,,,
合计,14714473,10247423,1897553,168335,8181535,4415909,2065007,201565,2149337,51141
,,,,,,,,,,
北京市,605963,403536,66938,10318,326280,200376,74396,13343,112637,2051
天津市,372760,249305,55415,8526,185364,122448,58848,9663,53937,1007
河北省,524864,357720,68094,6114,283512,165568,85445,7626,72497,1576
山西省,304639,212410,42416,3180,166814,91611,46614,3904,41093,618
内蒙古自治区,224890,157642,31922,2805,122915,66817,39678,3550,23589,431
,,,,,,,,,,
辽宁省,1103308,702894,134282,10725,557887,396857,197545,15361,183951,3557
吉林省,437813,297825,41410,3895,252520,138669,61553,5117,71999,1319
黑龙江省,609295,422918,64288,6576,352054,184969,91932,7788,85249,1408
,,,,,,,,,,
上海市,1065332,680143,122315,17688,540140,379568,148202,23614,207752,5621
江苏省,1066786,723682,158290,9464,555928,338547,171368,11639,155540,4557
浙江省,712448,506258,132322,7324,366612,203821,119020,8458,76343,2369
安徽省,427911,296730,60936,4293,231501,129648,66866,5424,57358,1533
福建省,350784,260417,43697,3581,213139,88850,36649,3175,49026,1517
江西省,255682,188641,30818,2915,154908,66269,28402,3145,34722,772
山东省,1067287,720314,169719,10601,539994,342650,198529,12839,131282,4323
,,,,,,,,,,
河南省,602462,416653,63880,4956,347817,183297,78590,6685,98022,2512
湖北省,738778,532434,94348,7171,430915,204108,91992,7972,104144,2236
湖南省,506204,369564,67921,5602,296041,135095,67195,6318,61582,1545
广东省,1168404,880250,146791,12256,721203,283823,92775,9868,181180,4331
广西壮族自治区,290407,214909,31971,3572,179366,74402,27306,3520,43576,1096
海南省,63618,46145,5204,521,40420,17130,4193,528,12409,343
,,,,,,,,,,
重庆市,406786,292410,48242,4409,239759,112830,47598,5285,59947,1546
四川省,665837,485174,78509,6804,399861,178134,80963,8219,88952,2529
贵州省,194859,144262,20897,2641,120724,50130,21463,2860,25807,467
云南省,197220,145740,28524,2147,115069,51025,25000,2566,23459,455
西藏自治区,5180,4532,621,121,3790,634,123,30,481,14
,,,,,,,,,,
陕西省,331020,231976,39024,4392,188560,98293,45260,6074,46959,751
甘肃省,165777,121476,20806,2433,98237,44082,22097,2823,19162,219
青海省,41170,30245,4182,610,25453,10876,4947,946,4983,49
宁夏回族自治区,47355,33493,5572,662,27259,13763,7579,908,5276,99
新疆维吾尔自治区,159634,117725,18199,2033,97493,41619,22879,2317,16423,290
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—4b    省、自治区、直辖市有65岁及65岁以上老年人口的家庭户户数（镇）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,单位:户
,          ,有一个65岁以上老年人的户,,,,有二个65岁以上老年人的户,,,,其他
地   区   别,合  计,   小计   ,单身老人户,一个老年人与,   其他   ,   小计   ,只有一对老夫妇户,一对老夫妇户与,其他,
                              ,          ,,,未成年的亲属户,,,,未成年的亲属户,,
,,,,,,,,,,
合计,7618885,5519742,1008080,91604,4420058,2072467,982405,86669,1003393,26676
,,,,,,,,,,
北京市,51042,34670,7615,376,26679,16225,9180,513,6532,147
天津市,80586,56820,10267,273,46280,23560,13298,345,9917,206
河北省,240542,168087,28710,1811,137566,71594,35610,2185,33799,861
山西省,161300,116129,24812,1778,89539,44784,24067,1674,19043,387
内蒙古自治区,156887,114491,17450,2257,94784,42102,22553,1853,17696,294
,,,,,,,,,,
辽宁省,227134,149196,25841,1182,122173,77217,43875,1866,31476,721
