　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1    全国按现住地、户口登记地分的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,1247382,206974,363343,16731,4714,21680,14971,228780,390189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,832369,315835,230840,25718,15896,13334,31545,146981,52220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,1257552,260728,458892,46740,14614,50911,49586,236388,139693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,687161,295594,143306,24195,7830,3586,6030,154955,51665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,782472,131458,301231,39134,14213,24259,40080,150190,81907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,854592,311012,241835,38430,18048,16074,15436,168340,45417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,6016829,25359,681269,35034,3546,41807,29816,1114410,4085588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,810498,158532,245673,9251,4606,14443,12900,273876,91217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,191932,23066,54902,7788,1623,2395,1915,40175,60068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,478949,119969,198055,8489,11069,24688,12191,61020,43468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,1793885,521228,600877,25114,41028,59890,26702,378079,140967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,539064,119966,165836,11777,4027,7447,6571,130367,93073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,886970,185483,112688,3416,3887,9218,3414,284030,284834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,65963,8777,1585,2315,1451,562,757,10999,39517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,584957,173610,132067,15494,19244,12597,30884,133344,67717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,283812,118418,32944,8833,4095,2076,6151,77115,34180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,92702,31132,6472,1094,236,244,361,31188,21975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,128347,54904,18565,1876,,,,29824,23178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,401216,126464,28671,14848,1730,916,1146,61110,166331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1c    全国按现住地、户口登记地分的人口（乡村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合计,30949572,3844891,6004998,987504,503051,676462,1032690,7091561,10808415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京市,513271,8590,43051,257,5930,38389,52334,27169,337551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,160530,25144,26261,4002,5398,5385,5693,3492,85155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北省,1375241,240713,339539,51826,6546,6901,35918,328851,364947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西省,1311112,244238,213810,69976,61706,20097,121487,246078,333720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,1015726,209764,147352,29908,30159,19715,42980,366423,169425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁省,1216884,108688,248234,106486,19636,27202,122533,329189,254916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林省,684697,105666,128746,83970,23176,18104,58731,181933,84371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江省,892774,165379,155227,3700,18323,10822,30213,404964,104146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,386931,4044,31006,,,13909,2888,17806,317278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,2198380,98221,605603,18851,12423,35804,31706,545315,850457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,1926658,131441,295298,,16833,26841,15650,308297,1132298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,700719,130989,207458,24437,23751,31288,52505,153551,76740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,1368623,86099,209623,17539,8391,33712,16249,314830,682180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,1040628,239119,362412,37808,35283,33004,55281,184080,93641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,1418254,130032,433692,88013,23588,87131,73165,285150,297483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,1107793,244866,311718,86462,13830,7435,39475,256783,147224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,733291,87426,207018,48653,21046,35373,72484,166202,95089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,884326,207346,259707,64929,27717,18760,24697,191160,90010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,4942568,26696,362476,33616,4588,35952,18634,846346,3614260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,714502,116706,157335,10238,8379,18441,18493,293720,91190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南省,209264,22401,41780,5452,1989,2464,2061,38993,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
