表2-2省自治区直辖市的市按居委会村委会分的人口数,,,,,,,,,
,,,,,,,,,
单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
    玉泉区,    107 476,    54 892,    52 584,    107 476,       54 892,    52 584,-,-,-
    郊区,    312 364,    168 588,    143 776,    8 408,    6 329,    2 079,    303 956,    162 259,    141 697
  包头市,1 228 772,    634 147,    594 625,    1 044 088,    536 063,    508 025,    184 684,    98 084,    86 600
    东河区,    347 002,    177 150,    169 852,    347 002,    177 150,    169 852,-,-,-
    昆都伦区,    347 341,    179 167,    168 174,    347 341,    179 167,    168 174,-,-,-
    青山区,    256 367,    130 973,    125 394,    256 367,    130 973,    125 394,-,-,-
    石拐矿区,    60 412,    31 646,    28 766,    60 412,    31 646,    28 766,-,-,-
    自云矿区,    22 735,    11 878,    10 857,    22 735,    11 878,    10 857,-,-,-
    郊区,    194 915,    103 333,    91 582,    10 231,    5 249,    4 982,    184 684,    98 084,    86 600
  乌海市,    310 037,    162 288,    147 749,    310 037,    162 288,    147 749,-,-,-
    海勃湾区,    119 876,    62 780,    57 096,    119 876,    62 780,    57 096,-,-,-
    海南区,    71 104,    37 726,    33 378,    71 104,    37 726,    33 378,-,-,-
    乌达区,    119 057,    61 782,    57 275,    119 057,    61 782,    57 275,-,-,-
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  赤峰市,    987 301,    505 296,    482 005,    345 035,    175 762,    169 273,    642 266,    329 534,    312 732
    红山区,    234 989,    118 466,    116 523,    183 173,    91 952,    91 221,    51 816,    26 514,    25 302
    元宝山区,    254 527,    129 796,    124 731,    115 211,    58 565,      56 646,    139 316,    71 231,    68 085
    郊区,    497 785,    257 034,    240 751,    46 651,    25 245,    21 406,    451 134,    231 789,    219 345
  呼伦贝尔盟,    1 155 851,    592 564,    563 287,    843 956,    430 873,    413 083,    311 895,    161 691,    150 204
    海拉尔市,    199 600,101 032,    98 568,    145 039,    73 517,    71 522,    54 561,    27 515,    27 046
    满州里市,    137 790,    70 893,    66 897,    137 790,    70 893,    66 897,-,-,-
    扎兰屯市,    402 418,    208 103,    194 315,    145 084,    73 927,    71 157,    257 334,    134 176,    123 158
    牙克石市,    416 043,    212 536,    203 507,    416 043,    212 536,    203 507,-,-,-
  兴安盟,    229 136,    115 743,    113 393,    142 376,    71 225,    71 151,    86 760,    44 518,    42 242
    鸟兰浩特市,    229 136,    115 743,    113 393,    142 376,    71 225,    71 151,    86 760,    44 518,    42 242
  哲里木盟,    720 498,    367 758,    352 740,    283 527,    143 929,    139 598,    436 971,    223 829,    213 142
    通辽市,    673 606,    343 531,    330 075,    242 476,    122 735,    119 741,    431 130,    220 796,    210 334
    霍林郭勒市,    46 892,    24 227,    22 665,    41 051,    21 194,    19 857,    5 841,    3 033,    2 808
  锡林郭勒盟,    110 806,    57 198,    53 608,    100 240,    51 705,    48 535,    10 566,    5 493,    5 073
    二连浩特市,    11 628,    6 370,    5 258,    11 628,    6 370,    5 258,-,-,-
    锡林浩特市,    99 178,    50 828,    48 350,    88 612,    45 335,    43 277,    10 566,    5 493,    5 073
  乌兰察布盟,    193 085,    98 903,    94 182,    167 625,    85 572,    82 053,    25 460,    13 331,    12 129
    集宁市,    193 085,    98 903,    94 182,    167 625,    85 572,    82 053,    25 460,    13 331,    12 129
  伊克昭盟,    147 026,    77 263,    69 763,    72 597,    37 773,    34 824,    74 429,    39 490,    34 939
    东胜市,    147 026,    77 263,    69 763,    72 597,    37 773,    34 824,    74 429,    39 490,    34 939
  巴彦淖尔盟,    425 973,    221 779,    204 194,    140 073,    71 600,    68 473,    285 900,    150 179,    135 721
    临河市,    425 973,    221 779,    204 194,    140 073,    71 600,    68 473,    285 900,    150 179,    135 721
辽宁省,    20 150 437,    10 262 039,    9 888 398,    13 862 610,    7 039 824,    6 822 786,    6 287 827,    3 222 215,    3 065 612
  沈阳市,    4 655 280,    2 364 440,    2 290 840,    3 650 678,    1 848 542,    1 802 136,    1 004 602,    515 898,    488 704
    和平区,    581 313,    290 995,    290 318,    581 313,    290 995,    290 318,-,-,-
    沈河区,    533 564,    272 451,    261 113,    533 564,    272 451,    261 113,-,-,-
    大东区,    575 357,    289 474,    285 883,    575 357,    289 474,    285 883,-,-,-
    皇姑区,    629 784,    317 169,    312 615,    629 784,    317 169,    312 615,-,-,-
