,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续03),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,    -10岁及以上
65-69岁,    757 700,    255 953,    302 830,    338 308,    361 180,    410 398,    444 858,    464 208,    477 030,    488 584,    468 688,,,65-69岁,    345 840,    258 823,    162 559,    94 707,    53 541,    29 261,    17 920,    11 057,    6 614,    10 705
  65,    173 255,    63 767,    79 030,    83 401,    84 607,    105 330,    114 108,    123 858,    117 613,    124 703,    131 299,,,  65,    96 412,    68 526,    44 719,    25 694,    13 974,    6 454,    4 352,    3 002,    1 830,    2 907
  66,    162 391,    57 428,    63 679,    72 095,    84 602,    93 973,    105 133,    99 670,    107 512,    121 368,    112 899,,,  66,    77 868,    61 031,    37 038,    20 505,    11 107,    6 954,    4 167,    2 459,    1 522,    2 606
  67,    143 101,    46 285,    55 342,    65 472,    69 533,    81 714,    78 781,    84 802,    99 108,    97 937,    83 512,,,  67,    60 841,    46 002,    30 251,    17 514,    10 135,    5 545,    3 373,    2 085,    1 342,    2 079
  68,    142 998,    44 748,    55 286,    60 852,    67 460,    68 1 15,    75 061,    86 358,    88 968,    75 684,    70 686,,,  68,    57 263,    46 770,    27 079,    16 574,    9 296,    5 471,    3 109,    1 954,    1 045,    1 742
  69,    135 955,    43 725,    49 493,    56 488,    54 978,    61 266,    71 775,    69 520,    63 829,    68 892,    70 292,,,  69,    53 456,    36 494,    23 472,    14 420,    9 029,    4 837,    2 919,    1 557,    875,    1 371
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
