,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
    单位：人,,,,,,,,,,,,,,,    (第二口径)(续16)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
    47,    215 432,    172 705,    42 727,    1 719,    1 592,    127,    208 594,    167 706,    40 888,    4 017,    2 624,    1 393,,,    46,    1 052,    747,    305
    48,    215 341,    174 543,    40 798,    1 718,    1 586,    132,    207 954,    169 191,    38 763,    4 604,    3 028,    1576,,,    47,    1 102,    783,    319
    49,    203 254,    167 623,    35 631,    1 691,    1 568,    123,    196 158,    162 285,    33 873,    4 451,    3 048,    1 403,,,    48,    1 065,    738,    327
,,,,,,,,,,,,,,,    49,    954,    722,    232
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-12全国县各职业大类人口分年龄、性别的婚姻状况(第二口径)(续03),,,,,,,,,,,,,,,表7-12全国县各职业大类人口分年龄、性别的婚姻状况,,,
        单位：人,,,,,,,,,,,,,,,    (第二口径)(续19)单位：人,,,
,,,,,,,,,,,,,,,,,,
    职业和,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    职业和,    离婚,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,    小计,    男,    女
  50-54岁,    720 264,    631 354,    88 910,    7 448,    6 893,    555,    688 863,    606 038,    82 825,    19 912,    15 150,    4 762,,,  50-54岁,    4 041,    3 273,    768
    50,    181 412,    153 144,    28 268,    1 618,    1 508,    110,    174 511,    147 857,    26 654,    4 328,    3 050,    1 278,,,    50,    955,    729,    226
    51,    157 476,    136 106,    21 370,    1 526,    1 417,    109,    151 147,    131 103,    20 044,    3 964,    2 921,    1 043,,,    51,    839,    665,    174
    52,    146 403,    129 373,    17 030,    1 518,    1 398,    120,    139 896,    124 081,    15 815,    4 130,    3 198,    932,,,    52,    859,    696,    163
    53,    125 398,    112 745,    12 653,    1 440,    1 328,    112,    119 392,    107 796,    11 596,    3 845,    3 013,    832,,,    53,    721,    608,    113
    54,    109 575,    99 986,    9 589,    1 346,    1 242,    104,    103 917,    95 201,    8 716,    3 645,    2 968,    677,,,    54,    667,    575,    92
  55-59岁,    326 795,    313 005,    13 790,    5 687,    5 165,    522,    304 272,    292 678,    11 594,    14 270,    12 807,    1 463,,,  55-59岁,    2 566,    2 355,    211
    55,    89 645,    84 053,    5 592,    1 337,    1 209,    128,    84 367,    79 455,    4 912,    3 359,    2 870,    489,,,    55,    582,    519,    63
    56,    76 894,    73 685,    3 209,    1 153,    1 069,    84,    72 101,    69 324,    2 777,    3 078,    2 776,    302,,,    56,    562,    516,    46
    57,    65 437,    63 203,    2 234,    1 126,    1 035,    91,    60 898,    59 064,    1 834,    2 868,    2 604,    264,,,    57,    545,    500,    45
    58,    51 621,    50 116,    1 505,    1 069,    958,    111,    47 537,    46 395,    1 142,    2 590,    2 364,    226,,,    58,    425,    399,    26
    59,    43 198,    41 948,    1 250,    1 002,    894,    108,    39 369,    38 440,    929,    2 375,    2 193,    182,,,    59,    452,    421,    31
  60-64岁,    101 121,    96 857,    4 264,    4 708,    3 967,    741,    86 301,    83 891,    2 410,    8 870,    7 859,    1 011,,,  60-64岁,    1 242,    1 140,    102
    60,    33 100,    32 003,    1 097,    1 087,    956,    131,    29 377,    28 662,    715,    2 299,    2 073,    226,,,    60,    337,    312,    25
    61,    21 626,    20 738,    888,    886,    748,    138,    18 716,    18 169,    547,    1 739,    1 553,    186,,,    61,    285,    268,    17
    62,    18 906,    18 032,    874,    992,    833,    1 59,    15 874,    15 408,    466,    1 787,    1 562,    225,,,    62,    253,    229,    24
    63,    14 697,    13 965,    732,    876,    716,    160,    12 099,    11 730,    369,    1 550,    1 362,    188,,,    63,    172,    157,    15
    64,    12 792,    12 119,    673,    867,    714,    1 53,    10 235,    9 922,    313,    1 495,    1 309,    186,,,    64,    195,    174,    21
  65岁及以上,    65 908,    59 580,    6 328,    8 440,    6 324,    2 116,    43 397,    42 057,    1 340,    13 096,    10 380,    2 716,,,  65岁及以上,    975,    819,    156
国家机关党群组织、企事业单位负责人,    3 265 290,    3 102 080,    163 210,    60 079,    49 019,    11060,    3 171 574,    3 023 393,    148 181,    26 804,    24 063,    2 741,,,国家机关党群组织、企事业单位负责人,    6 833,    5 605,    1 228
  15-19岁,    4 896,    3 438,    1 458,    4 517,    3 117,    1 400,    374,    320,    54,    3,    1,  2,,,  15-19岁,    2,     -,    2
    15,    84,    61,    23,    69,    46,    23,    1 5,    15,-,-,-,-,,,    15,-,-,-
    16,    246,    172,    74,    211,    140,    71,    33,    31,    2,    2,    1,    1,,,    16,-,-,-
    17,    543,    390,    153,    501,    349,    152,    41,    41,-,    1,-,    1,,,    17,-,-,-
    18,    1 306,    872,    434,    1 236,    811,    425,    70,    61,    9,-,-,-,,,    18,-,-,-
    19,    2 717,    1 943,    774,    2 500,    1 771,    729,    215,    172,    43,-,-,-,,,    19,    2,-,    2
  20-24岁,    73 265,    59 339,    13 926,    33 461,    26 380,    7 081,    39 664,    32 857,    6 807,    48,    36,    12,,,  20-24岁,    92,    66,    26
    20,    5 360,    3 911,    1 449,    4 507,    3 255,    1 252,    846,    651,    195,     2,     2,  -,,,    20,    5,    3,    2
    21,    9 394,    7 251,    2 143,    6 913,    5 298,    1 615,    2 474,    1 948,    526,    3,    2,   1,,,    21,    4,    3,    1
    22,    12 439,    9 978,    2 461,    7 232,    5 711,    1 521,    5 189,    4 254,    935,    4,    4,    -,,,    22,    14,    9,    5
    23,    17 301,    14 206,    3 095,    7 194,    5 826,    1 368,    10 064,    8 351,    1 713,    17,    10,    7,,,    23,    26,    19,    7
