,,,,,,,,,,,,,,,,,,,,,,,,
表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数,,,,,,,,,,,,,,表7-13全国按丈夫年龄和夫妻年龄差分的妻子人数(续03),,,,,,,,,,
        单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与 妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
    73,    146 447,    36 189,    42 795,    43 522,    41 960,    47 794,    48 526,    51 410,    50 575,    50 820,    46 537,,,  73,    30 699,    19 687,    15 009,    9 634,    4 842,    2 768,    1 578,    835,    446,    756
    74,    131 979,    34 409,    36 432,    35 570,    37 337,    39 487,    42 146,    39 721,    42 125,    39 704,    35 128,,,  74,    26 381,    22 804,    12 973,    7 053,    4 287,    2 209,    1 103,    629,    338,    565
  75-79岁,    480 020,    99 039,    104 435,    106 539,    105 348,    109 900,    110 466,    110 798,    110 986,    112 736,    103 784,,,75-79岁,    75 107,    52 177,    33 980,    20 211,    10 189,    4 829,    2 416,    1 361,    841,    1 248
    75,    123 695,    28 635,    28 929,    31 137,    31 238,    34 195,    31 973,    30 774,    28 864,    31 912,    31 276,,,  75,    24 833,    16 144,    10 313,    6 585,    3 438,    1 583,    797,    455,    278,    416
    76,    117 162,    24 444,    27 376,    28 126,    28 704,    26 640,    26 006,    26 605,    29 859,    29 456,    27 718,,,  76,    19 172,    13 547,    9 117,    5 634,    2 743,    1 306,    609,    375,    214,    323
    77,    92 702,    19 146,    20 440,    20 227,    17 846,    19 536,    21 076,    22 028,    22 006,    22 740,    19 360,,,  77,    13 143,    9 162,    6 564,    3 690,    1 652,    759,    458,    244,    146,    246
    78,    79 818,    14 487,    15 600,    14 786,    15 158,    15 891,    17 409,    17 293,    18 083,    15 967,    14 051,,,  78,    10 294,    7 876,    4 452,    2 205,    1 287,    721,    339,    151,    120,    181
    79,    66 643,    12 327,    12 090,    12 263,    12 402,    13 638,    14 002,    14 098,    12 174,    12 661,    11 379,,,  79,    7 665,    5 448,    3 534,    2 097,    1 069,    460,    213,    136,    83,    82
  80-84岁,    193 834,    30 897,    32 066,    31 030,    30 008,    32 008,    31 898,    29 493,    29 192,    27 957,    25 924,,,80-84岁,    17 783,    12 482,    7 433,    4 221,    2 236,    986,    450,    262,    122,    137
    80,    60 744,    9 497,    10 085,    10 528,    10 198,    11 146,    11 633,    10 091,    10 002,    8 895,    8 445,,,  80,    6 354,    4 712,    2 600,    1 516,    921,        432,    185,    135,    70,    67
    81,    44 809,    7 662,    7 977,    7 547,    7 409,    8 411,    7 754,    7 078,    6 768,    7 424,    7 076,,,  81,    4 512,    2 910,    1 938,    1 137,    596,    263,    117,    69,    26,    33
    82,    36 106,    5 889,    5 993,    5 627,    5 892,    5 423,    5 159,    5 382,    5 728,    5 218,    4 719,,,  82,    3 024,    2 288,    1 420,    765,    355,    172,    89,    32,    13,    17
    83,    28 417,    4 443,    4 498,    4 309,    3 550,    3 913,    4 183,    3 937,    3 729,    3 723,    3 271,,,  83,    2 298,    1 545,    901,    527,    244,    74,    44,    15,    7,    9
    84,    23 758,    3 406,    3 513,    3 019,    2 959,    3 115,    3 169,    3 005,    2 965,    2 697,    2 413,,,  84,    1 595,    1 027,    574,    276,    120,    45,    15,    11,    6,    11
  85-89岁,    56 978,    6 782,    6 505,    5 878,    5 807,    6 024,    5 882,    5 246,    5 059,    4 624,    4 084,,,85-89岁,    2 379,    1 455,    778,    401,    149,    53,    17,    16,    8,    23
    85,    18 937,    2 547,    2 384,    2 131,    2 094,    2 529,    2 321,    2 042,    1 975,    1 945,    1 676,,,  85,    939,    607,    349,    216,    84,    18,    5,    7,    5,    5
    86,    14 051,    1 652,    1 579,    1 538,    1 610,    1 509,    1 517,    1 403,    1 476,    1 137,    981,,,  86,    632,    436,    238,    103,    39,    19,    6,    4,-,    8
    87,    10 417,    1 143,    1 120,    1 100,    1 052,    954,    1 029,    897,    744,    744,    672,,,  87,    412,    231,    111,    47,    11,    7,    4,    2,    2,    7
    88,    8 037,    820,    905,    730,    697,    608,    595,    558,    516,    498,    480,,,  88,    280,    130,    50,    26,    12,    8,-,    1,-,    2
    89,    5 536,    620,    517,    379,    354,    424,    420,    346,    348,    300,    275,,,  89,    116,    51,    30,    9,    3,    1,    2,    2,    1,    1
  90-94岁,    9 348,    669,    629,    533,    520,    550,    465,    384,    336,    310,    240,,,90-94岁,    99,    62,    33,    16,    12,    3,    1,    1,    1,    2
    90,    4 428,    279,    282,    232,    242,    292,    233,    202,    186,    147,    129,,,  90,    50,    24,    17,    4,    5,-,    1,    1,    1,    1
    91,    1 811,    169,    141,    138,    110,    118,    99,    89,    68,    85,    59,,,  91,    22,    13,    3,    7,    2,-,-,-,-,    1
    92,    1 437,    118,    96,    84,    95,    71,    65,    46,    47,    46,    24,,,  92,    12,    15,    10,    2,    3,    1,-,-,-,-
    93,      942,    54,    71,    52,    49,    45,    38,    36,    20,    18,    18,,,  93,    6,    7,    2,    1,-,    2,-,-,-,-
    94,    730,    49,    39,    27,    24,    24,    30,    11,    15,    14,    10,,,  94,    9,3,    1,    2,    2,-,-,-,-,-
  95-99岁,    2 179,    60,    52,    32,    39,    45,    24,    25,    18,    24,    14,,,95-99岁,    8,    8,    2,-,-,    1,-,-,-,-
    95,    797,    21,    16,    14,    14,    28,    10,    8,    8,    2,    5,,,  95,    4,    2,    1,-,-,    1,-,-,-,-
    96,    463,    18,    10,    7,    13,    7,    5,    8,    3,    6,    3,,,  96,-,    4,    1,-,-,-,-,-,-,-
    97,    354,    6,    5,    7,    7,    4,    3,    3,    4,    3,    2,,,  97,    2,-,-,-,-,-,-,-,-,-
    98,    355,    9,    16,    2,    4,    3,    2,    3,    2,    10,    3,,,  98,    2,    2,-,-,-,-,-,-,-,-
    99,    210,    6,    5,    2,    1,    3,    4,    3,    1,    3,    1,,,  99,-,-,-,-,-,-,-,-,-,-
  100岁及以上,    52,    -,    -,    -,  -,     -,    1,   -,    3,    3,    1,,,100岁及以上,-,-,-,-,-,-,-,-,-,-
