,,,,,,,,,,,,,,,,,,
  表7-4省、自治区、直辖市的县各科文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-4省、自治区、直辖市的县各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,  小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
黑龙江省,    4 027 579,    2 461 626,    1 565 953,    1 432 284,    822 691,    609 593,    2 539 768,    1 596 442,    943 326,    35 859,    27 807,    8 052,,,黑龙江省,    19 668,    14 686,    4 982
上海市,    1 329 986,    730 269,    599 717,    363 390,    200 522,    162 868,    955 491,    522 905,    432 586,    5 950,    3 761,    2 189,,,上海市,    5 155,    3 081,    2 074
江苏省,    12 418 627,    7 786 069,    4 632 558,    4 518 796,    2 746 552,  1 772 244,    7 790 433,    4 951 594,    2 838 839,    85 117,    68 522,    16 595,,,江苏省,    24 281,    19 401,    4 880
浙江省,    5 522 520,    3 415 064,    2 107 456,    2 591 348,    1 615 846,    975 502,    2 882 766,    1 762 283,    1 120 483,    32 293,    23 614,    8 679,,,浙江省,    16 113,    13 321,    2 792
安徽省,    7 713 233,    5 583 979,    2 129 254,    3 233 385,    2 307 044,    926 341,    4 388 489,    3 196 868,    1 191 621,    69 870,    61 036,    8 834,,,安徽省,    21 489,    19 031,    2 458
福建省,    3 189 777,    2 323 740,    866 037,    1 333 194,    942 501,    390 693,    1 817 283,    1 350 043,    467 240,    29 412,    22 570,    6 842,,,福建省,    9 888,    8 626,    1 262
江西省,    4 416 214,    3 173 499,    1 242 715,    1 885 270,    1 353 110,    532 160,    2 480 232,    1 778 630,    701 602,    35 488,    28 655,    6 833,,,江西省,    15 224,    13 104,    2 120
山东省,    13 439 920,    8 655 466,    4 784 454,    5 144 178,    3 146 270,    1 997 908,    8 179 925,    5 412 016,    2 767 909,    86 445,    72 364,    14 081,,,山东省,    29 372,    24 816,    4 556
河南省,    17 513 426,    10 880 213,    6 633 213,    6 149 758,    3 706 125,    2 443 633,    11 169 171,    7 016 369,    4 152 802,    141 370,    113 092,    28 278,,,河南省,    53 127,    44 627,    8 500
湖北省,    7 515 120,    4 938 776,    2 576 344,    2 737 745,    1 800 987,    936 758,    4 684 844,    3 059 027,    1 625 817,    68 664,    58 434,    10 230,,,湖北省,    23 867,    20 328,    3 539
湖南省,    9 942 728,    6 101 227,    3 841 501,    3 799 503,    2 469 399,    1 330 104,    6 015 629,    3 529 370,    2 486 259,    94 371,    74 982,    19 389,,,湖南省,    33 225,    27 476,    5 749
广东省,    7 771 878,    4 971 893,    2 799 985,    3 472 174,    2 286 262,    1 185 912,    4 216 355,    2 622 111,    1 594 244,    60 968,    43 853,    17 115,,,广东省,    22 381,    19 667,    2 714
