,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
陕西省,    589 842,    305 317,    284 525,    70 128,    43 637,    26 491,    481 501,    243 239,    238 262,    33 573,    15 352,    18 221,,,西藏自治区,    537,    237,    300
甘肃省,    636 402,    361 949,    274 453,    126 514,    74 788,    51 726,    482 919,    272 847,    210 072,    22 934,    11 520,    1 1 414,,,陕西省,    4 640,    3 089,    1 551
青海省,    116 800,    67 058,    49 742,    17 810,    12 476,    5 334,    93 597,    52 091,    41 506,    4 040,    1 684,    2 356,,,甘肃省,    4 035,    2 794,    1 241
宁夏回族自治区,    104 066,    57 627,    46 439,    13 683,    9 141,    4 542,    85 675,    46 358,    39 317,    3 683,    1 525,    2 158,,,青海省,    1 353,    807,    546
新疆维吾尔自治区,    520 523,    285 021,    235 502,    63 023,    47 055,    15 968,    424 869,    224 158,    200 711,    21 228,    7 704,    1 3 524,,,宁夏回族自治区,    1 025,    603,    422
,,,,,,,,,,,,,,,新疆维吾尔自治区,    11 403,    6 104,    5 299
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径)(续03),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
        单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续11)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,,,,,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,,,,    小计,    男,    女
