表7——6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径),,,,,,,,,,,,,,,,,,
单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    37,    236 758,    56 908,    179 850,,,    37,    13 118,    12 025,    1 093,    218 882,    43 041,    175 841,    2 794,    635,    2 159,    1 964,    1 207,    757
    38,    248 564,    62 383,    186 181,,,    38,    13 223,    12 218,    1 005,    229 781,    47 970,    181 811,    3 425,    833,    2 592,    2 135,    1 362,    773
    39,    217 888,    55 371,    162 517,,,    39,    11 229,    10 414,    815,    201 118,    42 923,    158 195,    3 575,    790,    2 785,    1 966,    1 244,    722
  40-44岁,    1 008 064,    260 488,    747 576,,,  40—44岁,    49 413,    46 446,    2 967,    920 327,    201 964,    718 363,    28 568,    5 592,    22 976,    9 756,    6 486,    3 270
    40,    231 091,    62 568,    168 523,,,    40,    12 575,    11702,    873,    211 490,    48 290,    163 200,    4 721,    1 054,    3 667,    2 305,    1 522,    783
    41,    199 265,    52 817,    146 448,,,    41,    10 127,    9 510,    617,    182 333,    40 925,    141 408,    4 819,    1 061,    3 758,    1 986,    1 321,    665
    42,        192 758,    49 800,    142 958,,,    42,    9 563,    9 011,    552,    175 802,    38 442,    137 360,    5 460,    1 048,    4 412,    1 933,    1 299,    634
    43,    192 471,    48 610,    143 861,,,    43,    8 843,    8 339,    504,    175 500,    37 856,    137 644,    6 315,    1 218,    5 097,    1 813,    1 197,    616
    44,    192 479,    46 693,    145 786,,,    44,    8 305,    7 884,    421,    175 202,    36 451,    138 751,    7 253,    1 211,    6 042,    1 719,    1 147,    572
  45—49岁,    1 238 136,    306 302,    931 834,,,  45—49岁,    41 951,    40 209,    1 742,    1 115 591,    247 773,    867 818,    70 014,    1 1 245,    58 769,    10 580,    7 075,    3 505
    45,    207 139,    50 506,    156 633,,,    45,    8 356,    7 966,    390,    188 031,    39 846,    148 185,    8 896,    1 469,    7 427,    1 856,    1 225,    631
    46,    220 695,    54 945,    165 750,,,    46,    8 244,    7 884,    360,    199 664,    43 950,    155 714,    10 825,    1 801,    9 024,    1 962,    1 310,    652
    47,    235 290,    58 179,    177 111,,,    47,    7 901,    7 582,    319,    212 638,    47 157,    165 481,    12 742,    2 048,    10 694,    2 009,    1 392,    617
    48,    272 579,    67 535,    205 044,,,    48,    8 806,    8 452,    354,    244 619,    54 845,    189 774,    16 813,    2 684,    14 129,    2 341,    1 554,    787
    49,    302 433,    75 137,    227 296,,,    49,    8 644,    8 325,    319,    270 639,    61 975,    208 664,    20 738,    3 243,    17 495,    2 412,    1 594,    818
  50-54岁,    2 096 604,    521 844,    1 574 760,,,  50—54岁,    45 888,    43 956,    1 932,    1 821 492,    436 402,    1 385 090,    211 852,    30 272,    181 580,    17 372,    11 214,    6 158
    50,    335 958,    83 999,    251 959,,,    50,    9 282,    8 918,    364,    297 144,    69 306,    227 838,    26 563,    3 869,    22 694,    2 969,    1 906,    1 063
    51,    363 373,    90 455,    272 918,,,    51,    8 691,    8 352,    339,    319 238,    75 388,    243 850,    32 501,    4 771,    27 730,    2 943,    1 944,    999
    52,    419 441,    106 916,    312 525,,,    52,    9 358,    8 966,    392,    365 440,    89 606,    275 834,    41 184,    6 049,    35 135,    3 459,    2 295,    1 164
    53,    461 241,    115 256,    345 985,,,    53,    9 115,    8 723,    392,    398 261,    96 945,    301 316,    49 992,    7 104,    42 888,    3 873,    2 484,    1 389
    54,    516 591,    125 2 18,    391 373,,,    54,    9 442,    8 997,    445,    441 409,    105 157,    336 252,    61 612,    8 479,    53 133,    4 128,    2 585,    1 543
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
表7-6全国市15岁及15岁以上人口分年龄和文化程度的,,,,,,    表7-6全国市15岁及15岁以上人口分年龄和文化程度的婚姻状况(第二口径)(续16),,,,,,,,,,,,
    婚姻状况(第二口径)(续03)单位：人,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,,,    文化程度,    未婚,,,    有配偶,,,    丧偶,,,    离婚,,
    和年龄别,,,,,,    和年龄别,,,,,,,,,,,,
,    合计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    小计,    男,    女
  55—59岁,    2 989 808,    760 866,    2 228 942,,,  55—59岁,    43 616,    41 207,    2 409,    2444 098,    637 948,    1 806 150,    478 120,    66 831,    411 289,    23 974,    14 880,    9 094
    55,    561 601,    136 006,    425 595,,,    55,    9 176,    8 766,    410,    473 898,    114 520,    359 378,    74 014,    9 891,    64 123,    4 513,    2 829,    1 684
    56,    602 901,    150 516,    452 385,,,    56,    9 383,    8 905,    478,    501 350,    126 495,    374 855,    87 435,    12 165,    75 270,    4 733,    2 951,    1 782
    57,    627 078,    158 572,    468 506,,,    57,    9 038,    8 534,    504,    514 081,    133 060,    381 021,    98 900,    13 871,    85 029,    5 059,    3 107,    1 952
    58,    598 369,    155 441,    442 928,,,    58,    8 371,    7 868,    503,    481 246,    129 969,    351 277,    103 903,    14 589,    89 314,    4 849,    3 015,    1 834
    59,    599 859,    160 331,    439 528,,,    59,    7 648,    7 134,    514,    473 523,    133 904,    339 619,    113 868,    16 315,    97 553,    4 820,    2 978,    1 842
  60岁及以上,    9 836 172,    2 712 637,    7 123 535,,,  60岁及以上,    94 248,    78 759,    15 489,    5 167 759,    1 899 463,    3 268 296,    4 511 130,    699 748,    3 811 382,    63 035,    34 667,    28 368
小学,    36 312 055,    19 000 584,    17 311 471,,,小学,    5 442 722,    3 195 368,    2 247 354,    28 680 260,    14 730 866,    13 949 394,    1 894 940,    880 486,    1 014 454,    294 133,    193 864,    100 269
  15-19岁,    2 921 091,    1 398 902,    1 522 189,,,  15-19岁,    2 820 510,    1 376 358,    1 444 152,    99 734,    22 270,    77 464,    190,    85,    105,    657,    189,    468
    15,    553 656,    277 561,    276 095,,,    15,    552 813,    277 262,    275 551,    809,    279,    530,    19,    15,    4,    15,    5,    10
    16,    512 484,    243 866,    268 618,,,    16,    509 862,    243 235,    266 627,    2 581,    616,    1 965,    9,    4,    5,    32,    11,    21
    17,    560 169,    263 684,    296 485,,,    17,    551 592,    262 023,    289 569,    8 477,    1 629,    6 848,    27,    16,    11,    73,    16,    57
    18,    603 959,    285 161,    318 798,,,    18,    579 370,    280 069,    299 301,    24 377,    5 032,    19 345,    49,    20,    29,    163,    40,    123
    19,    690 823,    328 630,    362 193,,,    19,    626 873,    313 769,    313 104,    63 490,    14 714,    48 776,    86,    30,    56,    374,    117,    257
  20-24岁,    3 444 087,    1 674 006,    1 770 081,,,  20—24岁,    1 844 685,    1 128 313,    716 372,    1 588 481,    540 505,    1 047 976,    2 340,    1 017,    1 323,    8 581,    4 171,    4 410
    20,    732 195,    351 564,    380 631,,,    20,    584 951,    317 055,    267 896,    146 366,    34 173,    112 193,    180,    66,    114,    698,    270,    428
    21,    779 640,    380 899,    398 741,,,    21,    518 076,    308 520,    209 556,    260 017,    71 752,    188 265,    313,    123,    190,    1 234,    504,    730
    22,    684 887,    337 872,    347 015,,,    22,    350 904,    224 471,    126 433,    331 937,    112 469,    219 468,    441,    183,    258,    1 605,    749,    856
    23,    610 191,    297 265,    312 926,,,    23,    222 150,    153 353,    68 797,    385 337,    142 640,    242 697,    613,    263,    350,    2 091,    1 009,    1 082
    24,    637 174,    306 406,    330 768,,,    24,    168 604,    124 914,    43 690,    464 824,    179 471,    285 353,    793,    382,    411,    2 953,    1 639,    1 314
  25—29岁,    2 324 307,    1 050 554,    1 273 753,,,  25—29岁,    308 232,    255 464,    52 768,    1 992 504,    781 642,    1 210 862,    5 464,    2 372,    3 092,    18 107,    11 076,    7 031
    25,    571 199,    270 344,    300 855,,,    25,    110 912,    87 371,    23 541,    455 926,    180 541,    275 385,    931,    427,    504,    3 430,    2 005,    1 425
    26,    544 785,    252 545,    292 240,,,    26,    79 644,     66 303,    13 341,    460 054,    183 326,    276 728,    1 156,    514,    642,    3 931,    2 402,    1 529
    27,    564 218,    251 021,    313 197,,,    27,    62 439,    53 276,    9 163,    495 814,    194 297,    301 517,    1 377,    590,    787,    4 588,    2 858,    1 730
    28,    347 480,    148 778,    198 702,,,    28,    32 064,    27 944,    4 120,    311 278,    118 433,    192 845,    1 072,    467,    605,    3 066,    1 934,    1 132
    29,    296 625,    127 866,    168 759,,,    29,    23 173,    20 570,    2 603,    269 432,    105 045,    164 387,    928,    374,    554,    3 092,    1 877,    1 215
  30—34岁,    2 989 998,    1 319 836,    1 670 162,,,  30—34岁,    130 166,    120 752,    9 414,    2 816 559,    1 174 319,    1 642 240,    13 681,    5 887,    7 794,    29 592,    18 878,    10 714
    30,    433 338,    192 476,    240 862,,,    30,    27 073,    24 635,    2 438,    399 964,    164 108,    235 856,    1 593,    710,    883,    4 708,    3 023,    1 685
    31,    482 987,    217 166,    265 821,,,    31,    25 218,    23 314,    1 904,    450 788,    189 780,    261 008,    1 924,    842,    1 082,    5 057,    3 230,    1 827
    32,    667 844,    296 553,    371 291,,,    32,    29 450,    27 470,    1 980,    628 736,    263 461,    365 275,    2 986,    1 313,    1 673,    6 672,    4 309,    2 363
    33,    679 390,    295 837,    383 553,,,    33,    25 054,    23 403,    1 651,    644 565,    266 922,    377 643,    3 297,    1 421,    1 876,    6 474,    4 091,    2 383
    34,    726 439,    317 804,    408 635,,,    34,    23 371,    21 930,    1 441,    692 506,    290 048,    402 458,    3 881,    1 601,    2 280,    6 681,    4 225,    2 456
