　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表5—1    省、自治区、直辖市分性别、婚姻状况的15岁及15岁以上人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地   区   别,15岁及15岁以上人口,,,未      婚,,,初婚有配偶,,,再婚有配偶,,,离      婚,,,丧      偶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,146180,71957,74223,21808,11588,10220,112033,55968,56065,4020,1999,2021,1719,862,857,6600,1540,5060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏省,900978,444543,456435,151663,84418,67245,680775,336785,343990,16752,8118,8634,5816,3401,2415,45972,11821,34151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省,720910,362245,358665,146178,84370,61808,521656,260166,261490,13565,6132,7433,6367,3827,2540,33144,7750,25394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安徽省,527530,265677,261853,101291,59515,41776,388422,192232,196190,9428,4795,4633,3709,2240,1469,24680,6895,17785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省,462422,231876,230546,109707,62914,46793,319953,158500,161453,6844,3368,3476,3097,1904,1193,22821,5190,17631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江西省,363670,181722,181948,65865,39494,26371,270128,132486,137642,8560,4489,4071,2809,1483,1326,16308,3770,12538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山东省,921737,459485,462252,187436,101565,85871,670392,335478,334914,16378,7772,8606,4111,2649,1462,43420,12021,31399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河南省,543139,271131,272008,95344,53276,42068,409921,204125,205796,9867,5155,4712,3738,2073,1665,24269,6502,17767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖北省,491899,248601,243298,90349,53790,36559,364125,180335,183790,11884,6317,5567,3617,2000,1617,21924,6159,15765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖南省,479438,242024,237414,90434,53256,37178,349325,173363,175962,13311,7129,6182,5219,2747,2472,21149,5529,15620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广东省,1241831,601917,639914,440982,214782,226200,741761,369464,372297,9720,5286,4434,4652,2660,1992,44716,9725,34991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
