表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    19,    59 185,    480,    442,    34,    4,-,-,    826,    755,    70,    1,-,-
  20-24岁,    261 708,    15 287,    11 211,    3 515,    504,    51,    6,    22 041,    16 631,    4 711,    630,    66,    3
    20,    55 345,    974,    872,    92,    9,    1,-,    1 744,    1 550,    187,    7,-,-
    21,    55 761,    2 092,    1 738,    325,    27,    2,-,    3 319,    2 775,    506,    37,    1,-
    22,    50 701,    2 963,    2 297,    588,    70,    7,    1,    4 775,    3 787,    903,    76,    9,-
    23,    47 797,    3 835,    2 763,    939,    119,    14,-,    5 464,    4 001,    1 262,    183,    17,    1
    24,    52 104,    5 423,    3 541,    1 571,    279,    27,    5,    6 739,    4 518,    1 853,    327,    39,    2
  25-29岁,    231 975,    22 662,    9 434,    9 371,    3 040,    649,    168,    21 936,    9 374,    8 666,    3 010,    706,    180
    25,    52 013,    5 882,    3 374,    1 958,    462,    75,    13,    6 357,    3 733,    2 071,    473,    67,    13
    26,    53 215,    5 674,    2 777,    2 199,    586,    101,    11,    5 751,    2 691,    2 223,    687,    123,    27
    27,    56 936,    5 596,    1 983,    2 574,    843,    157,    39,    5 112,    1 871,    2 159,    833,    207,    42
    28,    36 479,    3 185,    864,    1 517,    599,    165,    40,    2 759,    732,    1 264,    566,    158,    39
    29,    33 332,    2 325,    436,    1 123,    550,    151,    65,    1 957,    347,    949,    451,    151,    59
  30-34岁,    184 349,    8 006,    700,    3 790,    1 987,    927,    602,    6 190,    551,    2 769,    1 574,    736,    560
    30,    39 441,    2 464,    268,    1 254,    618,    231,    93,    2 054,    233,    1 016,    520,    193,    92
    31,    34 402,    1 815,    177,    887,    466,    176,    109,    1 359,    118,    615,    374,    154,    98
    32,    39 351,    1 657,    134,    745,    413,    230,    135,    1 234,    107,    546,    301,    155,    125
    33,    37 165,    1 221,    71,    550,    298,    174,    128,    887,    64,    359,    216,    134,    114
    34,    33 990,    849,    50,    354,    192,    116,    137,    656,    29,    233,    163,    100,    131
  35-39岁,    146 890,    1 884,    101,    599,    374,    270,    540,    1 360,    77,    382,    282,    204,    415
    35,    35 641,    672,    35,    256,    156,    88,    137,    484,    26,    160,    121,    72,    105
    36,    32 738,    488,    26,    168,    101,    67,    126,    364,    22,    112,    73,    51,    106
    37,    27 623,    326,    15,    88,    62,    54,    107,    219,    8,    57,    40,    34,    80
    38,    27 180,    226,    20,    53,    27,    36,    90,    177,    17,    37,    30,    31,    62
    39,    23 708,    172,    5,    34,    28,    25,    80,    116,    4,    16,    18,    16,    62
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
  单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
