表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  25-29岁,    42 260,    6 419,    1 729,    1 979,    1 449,    817,    445,    6 296,    1 835,    1 834,    1 429,    777,    421
    25,    10 782,    1 461,    613,    521,    246,    64,    17,    1 519,    622,    543,    268,    74,    12
    26,    9 714,    1 502,    485,    527,    318,    127,    45,    1 531,    529,    489,    324,    143,    46
    27,    8 903,    1 400,    318,    421,    376,    192,    93,    1 364,    368,    379,    325,    188,    104
    28,    7 497,    1 223,    216,    313,    304,    234,    156,    1 148,    237,    252,    325,    205,    129
    29,    5 364,    833,    97,    197,    205,    200,    134,    734,    79,    171,    187,    167,    130
  30-34岁,    31 912,    4 400,    186,    439,    751,    953,    2 071,    3 444,    185,    409,    602,    704,    1 544
    30,    7 213,    1 143,    87,    190,    246,    265,    355,    935,    84,    160,    245,    197,    249
    31,    6 409,    931,    53,    11 5,    201,    219,    343,    780,    49,    101,    151,    192,    287
    32,    6 527,    901,    22,    77,    149,    206,    447,    661,    24,    80,    106,    117,    334
    33,    6 041,    718,    12,    40,    87,    145,    434,    575,    13,    45,    61,    111,    345
    34,    5 722,    707,    12,    17,    68,    118,    492,    493,    15,    23,    39,    87,    329
  35-39岁,    25 902,    2 410,    25,    52,    99,    191,    2 043,    1 637,    8,    35,    69,    148,    1 377
    35,    5 510,    632,    9,    26,    50,    68,    479,    426,    3,    14,    30,    56,    323
    36,    5 251,    521,    6,    8,    16,    44,    447,    394,    2,    11,    18,    38,    325
    37,    5 598,    504,    3,    8,    13,    36,    444,    348,    2,    3,    9,    31,    303
    38,    5 434,    463,    4,    6,    9,    30,    414,    282,    1,    3,    7,    16,    255
    39,    4 109,    290,    3,    4,    11,    13,    259,    187,    -,    4,    5,    7,    171
  40-44岁,    18 924,    929,    3,    10,    21,    21,    874,    582,    4,    10,    11,    19,    538
    40,    5 441,    350,    1,        6,    6,    9,    328,    207,    1,    3,    3,    9,    191
    41,    3 930,    225,    2,    1,5,    6,    211,    129,    1,    3,    2,   2,    121
    42,    3 535,    168,-,    1,     5,    3,    159,    106,    1,    1,    4,    3,    97
    43,    2 993,    98,-,    2,    1,    1,    94,    85,    1,-,    1,    4,    79
    44,    3 025,    88,-,-,    4,    2,    82,    55,-,    3,    1,    1,    50
  45-49岁,    16 698,    310,    2,    3,    5,    18,    282,    208,    2,    4,    6,    12,    184
    45,    3 573,    98,-,    3,     2,    3,    90,    66,    1,    1,-,    4,    60
    46,    3 263,    69,    1,-,    -,    4,    64,    49,-,    1,    1,    2,    45
    47,    3 236,    57,-,-,    1,    3,    53,    40,-,-,    2,    1,    37
    48,    3 341,    52,    1,-,2,    5,    44,    25,-,    1,    1,     2,    21
    49,    3 285,    34,-,-,-,    3,    31,    28,    1,    1,    2,   3,    21
  50岁,    3 809,    41,    1,    1,-,    1,    38,    27,-,-,     2,-,    25
傣族,    274 145,    13 964,    5 790,    4 997,    2 066,      714,    397,    13 977,    5 635,    5 133,    2 150,    654,    405
  15-19岁,    55 526,    926,    844,    80,    2,-,-,    1 189,    1 013,    170,    6,-,-
    15,    10 795,    2,    1,    1,-,-,-,    14,    14,-,-,-,-
    16,    11276,    20,    20,-,-,-,-,    32,    31,    1,-,-,-
    17,    11 210,    87,    83,    4,-,-,-,    128,    121,    7,-,-,-
    18,    11304,    255,    234,    19,2,-,-,    358,    317,    38,    3,-,-
    19,    10 941,    562,    506,    56,-,-,-,    657,    530,    124,    3,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
 民族别,   1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  20-24岁,    59 771,    6 910,    3 702,    2 644,    492,    59,    13,    7 029,    3 519,    2 848,    595,    59,    8
    21,    12551,    1 088,    816,246,    20,    5,    1,    1 109,    750,    331,    27,    1,-
    21,12027,    1 303,    831,    422,    49,    1,    -,    1 393,    829,    506,    53,    5,-
    22,    11 803,    1 537,    827,    621,    80,    6,    3,    1 506,    767,    638,    91,    10,-
    23,    1 1 310,    1 476,    663,    655,    142,    12,    4,    1 496,    634,    682,    160,    18,    2
    24,    12 080,    1 506,    565,    700,    201,    35,    5,    1 525,    539,    691,    264,    25,    6
  25-29岁,    51 366,    4 449,    1 087,    1 883,    1 099,    302,    78,    4 343,    977,    1794,    1 161,    318,    93
    25,    1 1 869,    1 348,    420,    642,    243,    38,    5,    1 382,    404,    646,    273,    49,    10
    26,    11 667,    1 141,    314,    489,    265,    59,    14,    1 090,    259,    473,    291,    55,    12
    27,    11 102,    856,    183,    361,    229,    62,    21,    868,    174,    325,    277,    73,    19
    28,    9 387,    646,    111,    246,    193,    75,    21,    593,    90,    225,    184,    66,    28
    29,    7 341,    458,    59,    145,    169,    68,    17,    410,    50,    125,    136,    75,    24
  30-34岁,    37 018,    1 256,    125,    325,    390,    273,    143,    1 095,    100,    280,    315,    230,    170
    30,    8 012,    406,    55,    118,    136,    70,    27,    349,    42,    97,    117,    68,    25
    31,    7 599,    286,    33,    70,    99,    57,    27,    263,    24,    83,    76,    42,    38
    32,    8 071,    271,    19,    72,    74,    77,    29,    222,    16,    49,   59,    57,    41
    33,    6 816,182,    10,    39,    53,    38,    42,    156,    9,    33,    40,    38,    36
    34,    6 520,    111,    8,    26,    28,    31,    18,    105,    9,    18,    23,    25,    30
  35-39岁,    27 012,    328,    24,    51,    76,    63,    114,    237,    16,    35,    54,    42,    90
    35,    6 363,    137,    14,    30,    37,    21,    35,    81,    6,    9,    23,    13,    30
    36,    5 727,    66,    1,    9,    16,    19,    21,    49,    3,    11,    13,    4,    18
    37,    5 130,    42,        5,    2,    8,    7,    20,    36,    2,    7,    6,    8,    13
    38,    5 225,    51,    3,    8,    10,    9,    21,    39,    4,    3,    6,    10,    16
    39,    4 567,    32,    1,    2,    5,    7,    17,    32,    1,    5,    6,    7,    13
  40-44岁,    21 788,    74,    6,    11,    5,    14,    38,    67,    9,    6,    14,    4,    34
    40,    5 223,    36,    1,    7,    2,    6,    20,    17,    4,    2,    5,    -,    6
    41,    4 315,    14,    2,    1,    1,    5,    5,    20,    3,    1,    1,    1,    14
    42,    4 286,    8,    2,-,-,    1,    5,    12,    1,    2,    4,    1,    4
    43,    4 205,    10,    1,    2,    2,    2,    3,    12,-,    1,    3,    1,    7
    44,    3 759,    6,-,    1,-,-,    5,    6,    1,-,    1,    1,    3
  45-49岁,    18 060,    19,    2,    3,    2,    3,    9,    14,    1,-,    2,    1,    10
    45,    3 953,    10,    1,    1,    2,    1,    5,    5,-,-,-,-,    5
    46,    3 659,    -,-,-,-,-,    -,    3,-,-,    1,-,    2
    47,    3 508,    2,-,    1,-,-,    1,    3,-,-,-,    1,    2
    48,    3 778,    4,    1,    1,-,-,    2,    1,    1,-,-,-,-
    49,    3 162,    3,-,-,-,    2,    1,    2,-,-,    1,-,    1
  50岁,    3 604,    2,-,-,-,-,    2,    3,-,-,    3,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
黎族,    269 382,    16 330,    5 275,    4 467,    3 550,    1 684,    1 354,    15 240,    5 062,    4 263,    3 167,    1 568,    1 180
  15-19岁,    64 470,    868,    734,    121,    9,    2,    2,    934,    790,    1 38,    5,    1,-
    15,    12 687,    8,    7,    1,-,-,-,     7,    7,-,-,-,-
    16,    13 457,    31,    28,   2,-,-,    1,    32,    29,     3,-,-,-
    17,    12 824,    71,    67,    4,-,-,-,    105,    95,    10,-,-,-
    18,    13 432,    274,    235,    32,   5,    1,    1,    292,    262,    28,    1,    1,-
    19,    12 070,    484,    397,    82,    4,    1,    -,    498,    397,    97,    4,-,-
  20-24岁,    59 507,    6 419,    3 225,    2 165,    869,    137,    23,    6 338,    3 093,    2 155,    911,    151,    28
    20,    14 076,    964,    700,    221,    39,    3,    1,    958,    660,    247,    47,    3,    1
    21,    12 082,    1 1 56,    726,    332,    90,    7,    1,    1 164,    698,    384,    72,    7,     3
    22,    11571,    1 365,    698,    506,    138,    18,    5,    1 359,    686,    482,    163,    25,    3
    23,    10 725,    1 396,    578,    535,    235,    45,    3,    1 395,    576,    506,    268,    36,    9
    24,    1 1 053,    1 538,    523,    571,    367,    64,    13,    1 462,    473,    536,    361,    80,    12
  25-29岁,    45 625,    5 980,    1 185,    1 741,    2 007,    830,    217,    5 421,    1 042,    1 587,    1 734,    832,    226
    25,    10 963,    1 585,    432,    530,    486,    116,    21,    1 532,    405,    512,    437,    162,    16
    26,    10 648,    1 508,    336,    472,    514,    162,    24,    1 421,    306,    425,    469,    181,    40
    27,    10 073,    1 273,    227,    325,    460,    214,    47,    1 140,    178,    324,    399,    184,    55
    28,    8 384,    992,    116,    246,    371,    194,    65,    807,    98,    214,    256,    177,    62
    29,    5 557,    622,    74,    168,    176,    144,    60,    521,    55,    112,    173,    128,    53
  30-34岁,    29 886,    1 905,    107,    344,    516,    508,    430,    1 661,    103,    294,    430,    405,    429
    30,    6 337,    592,    47,    129,    196,    139,    81,    512,    50,    113,    147,    1 1 8,    84
    31,    5 674,    372,    18,    66,    99,    112,    77,    390,    18,    73,    1 16,    97,    86
    32,    6 547,    398,    27,    50,    98,    120,    103,    311,    16,    44,    86,    85,    80
    33,    5 703,    293,    8,    55,    75,    71,    84,    248,    10,    31,    49,    56,    102
    34,    5 625,    250,    7,    44,    48,    66,    85,    200,    9,    33,    32,    49,    77
  35-39岁,    25 468,    743,    18,    68,    11 8,    155,    384,    581,    26,    67,    72,    133,    283
    35,    6 064,    248,    6,    28,    45,    47,    122,      187,    10,    25,    29,    44,    79
    36,    5 424,    178,    2,    22,    32,    41,    81,    137,  7,    16,    13,    35,    66
    37,    4 990,    117,    4,7,    12,    27,    67,    84,    6,    10,    9,    19,    40
    38,    4 657,    107,    4,    4,    13,    29,    57,    92,1,    10,    11,    22,    48
    39,    4 333,    93,    2,    7,    16,    11,    57,    81,     2,    6,    10,    13,    50
  40-44岁,    20 829,    283,    4,    20,    19,    38,    202,    209,    7,    16,    15,    35,    136
    40,    5 594,    107,    2,    10,    11,    22,    62,    76,    5,    8,    9,    17,    37
    41,    3 948,    51,    -,    3,    2,    4,    42,    34,-,    3,    1,    3,    27
    42,    4 033,    51,    1,    4,    4,    7,    35,    38,    1,     2,-,    6,    29
    43,    3 700,    34,    1,    2,    1,    5,    25,    33,    1,    1,    3,    7,    21
    44,    3 554,    40,     -,    1,    1,    -,    38,    28,-,    2,    2,    2,    22
  45-49岁,    18 586,    117,    2,    8,    10,    10,    87,    86,    1,    6,-,    10,    69
    45,    3 978,    33,    1,    3,    2,    3,    24,    28,-,    3,-,    4,    21
    46,3 611,    29,    1,    2,    2,   2,    22,    23,-,     2,-,    1,    20
    47,    3 514,    12,-,-,-,-,    12,    13,-,-,-,    2,    11
    48,    3 829,    24,-,    1,    2,   3,    18,    13,-,-,-,    2,    11
    49,    3 654,    19,-,    2,    4,    2,    11,    9,    1,    1,-,    1,    6
  50岁,    5 01 1,    15,-,-,  2,    4,    9,    10,-,-,-,    1,9
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
  民族和,    199H4年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
  年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
傈僳族,    141 910,    8 558,    2 814,    2 356,    1 509,    726,    1 153,    8 280,    2 822,    2 351,    1 387,    727,    993
  15-19岁,    30 780,    535,    471,    58,    5,    1,-,    663,    570,    87,    5,-,    1
    15,    6 685,    1,    1,-,-,-,-,-,-,-,-,-,-
    16,    6 468,    7,    7,-,-,-,-,    20,    20,-,-,-,-
    17,    6 126,    66,    63,    3,-,-,-,    82,    81,    1,-,-,-
    18,    5 938,    161,    148,    10,    3,-,-,    178,    164,    13,    1,-,-
    19,    5 563,    300,    252,    45,    2,    1,-,    383,    305,    73,    4,-,    1
  20-24岁,    29 838,    3 699,    1 890,    1 363,    374,    58,    14,    3 790,    1 855,    1 421,    411,    87,    16
    20,    6 506,    590,    436,    135,    19,-,-,    639,    459,    160,    18,    1,    1
    21,    6 339,    726,    452,    239,    31,    4,-,    791,    473,    263,    48,    7,   -
    22,    5 750,    803,    434,    297,    65,    6,    1,    791,    411,    294,    74,    11,    1
    23,    5 382,    769,    330,    305,    110,    21,    3,    764,    281,    349,    102,    28,        4
    24,    5 861,    811,    238,    387,    149,    27,    10,    805,    231,    355,    169,    40,    10
  25-29岁,    22 667,    2 494,    402,    778,    820,    338,    156,    2 294,    360,    742,    724,    334,    134
    25,    5 696,    731,    173,    283,    214,    49,    12,    699,    154,    289,    195,    49,    12
    26,    5 242,    623,    110,    203,    220,    62,    28,    611,    101,    219,    195,    77,    19
    27,    4 877,    499,    56,    138,    177,    97,    31,    463,    59,    124,    160,    80,    40
    28,    4 025,    392,    41,    113,    126,    65,    47,    333,    33,    73,    119,    80,    28
    29,    2 827,    249,    22,    41,    83,    65,    38,    188,    13,    37,    55,    48,    35
  30-34岁,    16 711,    1 001,    37,    113,    243,    241,    367,    830,    27,    75,    199,    207,    322
    30,    3 239,    253,    16,    48,    83,    58,    48,    202,    8,    34,    60,    51,    49
    31,    2 771,    181,    5,    19,    50,    52,    55,    178,    5,    12,    43,    55,    63
    32,    3 743,    236,    5,    21,    52,    55,    103,    185,    6,    17,    39,    45,    78
    33,    3 555,    184,    4,    16,    33,    45,    86,    150,    8,      7,    41,    33,    61
    34,    3 403,    147,    7,    9,    25,    31,    75,    115,    -,    5,    16,23,    71
  35-39岁,    15 978,    500,    7,    38,    53,    70,    332,    445,    7,    18,    41,    76,    303
    35,    3 756,    135,    4,    15,    21,    18,    77,    126,    2,    6,    13,    32,    73
    36,    3 451,    115,-,    8,    9,    21,    77,    98,    2,    6,    10,    1 2,    68
    37,    3 171,    97,    3,    4,    7,    15,    68,    92,    -,    3,    12,    18,    59
    38,    3 144,    84,-,    5,    9,    11,    59,    82,    2,    1,    6,    10,    63
    39,    2 456,    69,-,    6,    7,    5,    51,    47,    1,    2,   -,    4,    40
