表10—16 1989年全国分年龄按月分布的死亡人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,表10——16 1989年全国分年龄按月分布的死亡人口数(续06),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    四月,,,    五月,,,    六月,,,    七月,,,    八月,,,,,,,,,,,,,,,,,
,    合计,,,    一月,,,    二月,,,    三月,,,,,    年龄别,,,,,,,,,,,,,,,,,,,    九月,,,    十月,,,    十一月,,,    十二月,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    552 574,    304 421,    248 153,    524 611,    291 111,    233 500,    537 039,  299 549, 237 490,  545 735,  303 163,  242 572,    551 923,  305 158, 246 765,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    一月,,,    二月,,,     三月,,,,,,    四月,,,    五月,,,    六月,,,    七月,,,    八月,,,,,,    九月,,,    十月,,,    十一月,,,    十二月,,
    年龄别,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,,,,,,,    年龄别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女,小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
30——34岁,    134 937,    79 854,    55 083,    9 140,    5 542,    3 598,    10 455,    5 970,    4 485,    10 990,    6 421,    4 569,,,30——34岁,    12 003,    6 995,    5 008,    12 025,    6 958,    5 067,    12 655,    7 564,    5 091,  13 090,    7 809,    5 281,    12 632,    7 525,  5 107,,,30——34岁,    10 712,    6 381,    4 331,    11 347,    6 708,    4 639,    10 015,    5 979,    4 036,    9 873,    6 002,    3 871
  30,    21 691,    12 907,    8 784,    1 613,    986,    627,    1 811,    1 031,    780,    1 797,    1 070,    727,,,  30,    1 926,    1 103,    823,    1 940,    1 121,    819,    2 143,    1 338,    805,    2 156,    1 293,    863,    1 946,    1 191,    755,,,  30,    1 605,    946,    659,    1 714,    994,    720,    1 501,    919,    582,    1 539,    915,    624
  31,    26 626,    15 777,    10 849,    1 685,    1 034,    651,    2 076,    1 176,    900,    2 166,    1 261,    905,,,  31,    2 435,    1 449,    986,    2 419,    1 384,    1 035,    2 499,    1 487,    1 012,    2 649,    1 585,    1 064,    2 560,    1 523,    1 037,,,  31,    2 117,    1 284,    833,    2 243,    1 314,    929,    1 919,    1 119,    800,    1 858,    1 161,    697
  32,    27 398,    16 177,    11 221,    1 728,    1 042,    686,    1 985,    1 133,    852,    2 184,    1 227,    957,,,  32,    2 306,    1 334,    972,    2 339,    1 344,    995,    2 551,    1 502,    1 049,    2 599,    1 525,    1 074,    2 627,    1 592,    1 035,,,  32,    2 327,    1 385,    942,    2 444,    1 468,    976,    2 141,    1 297,    844,    2 167,    1 328,    839
  33,    27 716,    16 309,    11 407,    2 000,    1 214,    786,    2 140,    1 203,    937,    2 246,    1 340,    906,,,  33,    2 486,    1 442,    1 044,    2 396,    1 412,    984,    2 564,    1 514,    1 050,    2 659,    1 590,    1 069,    2 616,    1 531,    1 085,,,  33,    2 205,    1 279,    926,    2 300,    1 369,    931,    2 089,    1 226,    863,    2 015,    1 189,    826
  34,    31 506,    18 684,    12 822,    2 114,    1 266,    848,    2 443,    1 427,    1 016,    2 597,    1 523,    1 074,,,  34,    2 850,    1 667,    1 183,    2 931,    1 697,    1 234,    2 898,    1 723,    1 175,    3 027,    1 816,    1 211,    2 883,    1 688,    1 195,,,  34,    2 458,    1 487,    971,    2 646,    1 563,    1 083,    2 365,    1 418,    947,    2 294,    1 409,    885
