表6—23 全国市分年龄、性别、职业大类人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,表6—23全国市分年龄、性别、职业大类 人口数(第二口径)(续02),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,    Ⅰ、各类 专业、技术人员,,,    Ⅱ、国家机关党群组织,,,,,,,,,    Ⅳ、商业工作人员,,,    Ⅴ、服务性工作人员,,,    Ⅵ、农、林、牧、渔劳动者,,,    Ⅶ、生产工人、运,,,,,
,    在业人口总数,,,,,,    企事业单位负责人,,,    Ⅲ、办事人员和有关人员,,,,,    年龄别,,,,,,,,,,    输工人和有关人员,,,  Ⅷ、不便分类的其他劳动者,,
    年龄别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,总计,    8 187 235,    4015 840,    4 171 395,    8 113 055,    3 389 811,  4 723 244,    30482 578,  15 226 347,  15 256 231, 46 511 049,  28 974 284,  17 536 765,    193 443,  107 760,    85 683
55—59岁,    4 359402,    3 421 356,    938 046,    615439,    499 743,    115 696,    690 325,    633 944,    56 381,    303 799,    274 652,    29 147,,,55—59岁,    231 348,    161 135,    70 213,    369 732,    284 187,    85 545,    1 396 327,    871 543,    524 784,    747 313,    691 410,    55 903,    5 119,    4 742,    377
  55,    1 062 234,    803 619,    258 615,    175 697,    129 232,    46465,    164 814,    146454,    18 360,    68 476,    58 374,    10 102,,,  55,    51 992,    34 354,    17 638,    82 313,    59 606,    22 707,    310627,    185 186,    125441,    207 525,    189 732,    17 793,    790,    681,    109
  56,    974 100,    761 384,    212 716,    141 289,    114 384,    26 905,    156 157,    143 273,    12 884,    66 628,    59 822,    6 806,,,  56,    51 051,    34980,    16071,    80 235,    60442,    19 793,    301 291,    184685,    116 606,    176 504,    162 944,    13 560,    945,    854,    91
  57,    889 868,    704 727,    185 141,    118 994,    99 745,    19 249,    142 846,    132 580,    10 266,    62 749,    57 562,    5 187,,,  57,    47 787,    33 545,    14242,    76 121,    59 040,    17 081,    290 763,    182 289,    108474,    149 578,    139021,    10 557,    1 030,    945,    85
  58,    760482,    608 324,    152 158,    97489,    84 227,    13 262,    121 790,    113 670,    8 120,    55 686,    51 719,    3 967,,,  58,    41 861,    30 188,    11 673,    67202,    53 350,    13 852,    258400,    165 106,    93 294,    116 936,    108 994,    7 942,    1 118,    1 070,    48
  59,    672 718,    543 302,    129416,    81 970,    72 155,    9 815,    104 718,    97 967,    6 751,    50 260,    47 175,    3 085,,,  59,    38 657,    28068,    10 589,    63 861,    51 749,    12 112,    235246,    154 277,    80 969,    96 770,    90 719,    6 051,    1 236,    1 192,    44
60-64岁,    1 778 051,    1 380 312,    397 739,    164 536,    141 442,    23 094,    148 074,    127 146,    20 928,    84 935,    76487,    8 448,,,60-64岁,    126 951,    88 349,    38 602,    216 651,    175 016,    41 635,    865 857,    616 994,    248 863,  168 907,    152 869,    16 038,    2 140,    2 009,    131
  60,    506091,    395 965,    110 126,    54 551,    46 802,    7 749,    63 818,    57 846,    5 972,    30 396,    27 798,    2 598,,,  60,    33 021,    23 010,    10011,    53 893,    42 589,    11 304,    212451,    144 933,    67 518,    57 179,    52 237,    4 942,    782,    750,    32
  61,    382 898,    292 559,    90 339,    36 221,    30 771,    5 450,    32 872,    28 025,    4 847,    18 675,    16 737,    1 938,,,  61,    26 823,    18 262,    8 561,    45 003,    35 854,    9 149,    186 607,    129 918,    56 689,    36 216,    32 540,    3 676,    481,    452,    29
  62,    350 665,    269 794,    80 871,    30298,    26 000,    4 298,    23 365,    19 195,    4 170,    15 154,    13 554,    1 600,,,  62,    25 812,    17 964,    7 848,    44 204,    35 847,    8 357,    180 696,    129270,    51 426,    30 760,    27 613,    3 147,    376,    351,    25
  63,    285 661,    222 518,    63 143,    23 541,    20472,    3 069,    15 789,    12 596,    3 193,    11 411,    10 159,    1 252,,,  63,    21 572,    15099,    6 473,    38059,    31 319,    6 740,    150 894,    110 881,    40 013,    24 141,    21 754,    2 387,    254,    238,    16
  64,    252 736,    199476,    53 260,    19925,    17 397,    2 528,    12 230,    9 484,    2 746,    9 299,    8 239,    1 060,,,  64,    19 723,    14014,    5 709,    35 492,    29407,    6 085,    135 209,    101 992,    33 217,    20 611,    18 725,    1 886,    247,    218,    29
65岁及以上,    1 242 510,    1 020 508,    222002,    80 834,    72 223,    8 611,    39 998,    30 335,    9 663,    35077,    31 312,    3 765,,,65岁及以上,    108 267,    77433,    30 834,    197 363,    169 863,    27 500,    699 356,    565 052,  134 304,    80414,    73 220,    7 194,    1 201,    1 070,    131
