表6—34 全国县分年龄、性别、文化程度的不在业人口数(第二口径),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    文化程度,    市镇待业,,,    离休退休退职,,,    丧失工作能力,,,    其它,,
    文化程度,    不在业人口,,,    在校学生,,,    料理家务,,,    待升学,,,,,    和年龄别,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  50-54岁,    4 024,    3 368,    656,-,-,-,    247,    102,    145,-,-,-,,,  50-54岁,-,-,-,    3 079,    2 624,    455,    409,    366,    43,    289,    276,    13
  55—59岁,    8 473,    7 623,    850,-,-,-,    210,    140,    70,-,-,-,,,  55—59岁,-,-,-,    7 718,    6 971,    747,    371,    342,    29,    174,    170,    4
  60—64岁,    13 802,    13 243,    559,-,-,-,    358,    305,    53,-,-,-,,,  60—64岁,-,-,-,    12 808,    12 370,    438,    529,    464,    65,    107,    104,    3
  65岁及以上,    20 197,    19 276,    921,-,-,-,    1 489,    1 345,    144,-,-,-,,,  65岁及以上,-,-,-,    14 838,    14 368,    470,    3 623,    3 327,    296,    247,    236,    11
大学本科,    31 400,    25 333,    6 067,    13 075,    8 798,    4 277,    899,    598,    301,    35,    28,    7,,,大学本科,    404,    294,    110,    13 636,    12 591,    1 045,    1 898,    1 764,    134,    1 453,    1 260,    193
  15-19岁,    2 634,    1 621,    1 013,    2 557,    1 576,    981,    8,    2,    6,    7,    5,    2,,,  15—19岁,    22,    11,    11,-,-,-,-,-,-,    40,    27,    13
  20-24岁,    10 524,    7 169,    3 355,    9 697,    6 564,    3 133,    35,    7,    28,    28,    23,    5,,,  20-24岁,    269,    185,    84,    1,    1,-,    24,    19,    5,    470,    370,    100
  25—29岁,    1 115,    867,    248,    638,    506,    132,    56,    7,    49,-,-,-,,,  25—29岁,    89,    78,    11,    1,    1,-,    43,    38,    5,    288,    237,    51
  30—34岁,    234,    179,    55,    116,    96,    20,    23,    -,    23,-,-,-,,,  30-34岁,    9,    6,    3,    1,    1,-,    8,    7,    1,    77,    69,    8
  35—39岁,    179,    148,    31,    51,    43,    8,    15,    2,    13,-,-,-,,,  35—39岁,    4,    3,    1,    12,    12,-,    19,    17,    2,    78,    71,    7
  40—44岁,    192,    160,    32,    16,    13,    3,    17,    4,    13,-,-,-,,,  40—44岁,    5,    5, -,    39,    34,    5,    42,    32,    10,    73,    72,    1
  45—49岁,    362,    286,    76,-,-,-,    29,    9,    20,-,-,-,,,  45—19岁,    6,    6, -,    147,    109,    38,    96,    84,    12,    84,    78,    6
  50—54岁,    1 192,    968,    224,-,-,-,    62,    27,    35,-,-,-,,,  50—54岁,-,-,-,    844,    677,    167,    164,    147,    17,    122,    117,    5
  55—59岁,    2 294,    1 879,    415,-,-,-,    55,    36,    19,-,-,-,,,  55—59岁,-,-,-,    2 066,    1 678,    388,    98,    90,    8,    75,    75,     -
  60-64岁,    4 590,    4 331,    259,-,-,-,    108,    86,    22,-,-,-,,,  60-64岁,-,-,-,    4 258,    4 041,    217,    172,    153,    19,    52,    51,    1
  65岁及以上,    8 084,    7 725,    359,-,-,-,    491,    418,    73,-,-,-,,,  65岁及以上,-,-,-,    6 267,    6 037,    230,    1 232,    1 177,    55,    94,    93,    1
