,,,,,,,,,,,,
表6--26全国分性别、文化程度的各职业大、中、小类人口数,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,      中专,,
    职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    影剧院、体育场(馆)和公共游览观赏场所服务员,    93 626,    37 777,    55 849,    129,    85,    44,    969,    526,    443,    2 447,    1 067,    1 380
    浴室服务员,    78 468,    41 146,    37 322,    12,    8,    4,    98,    66,    32,    679,    282,    397
    车、船、飞机服务员,  288 919,    110 677,  178 242,    279,    166,    113,    1 966,    961,    1 005,    7 358,    3 633,    3 725
    售票员,  439 661,    95 267,  344 394,    219,    94,    125,    1 681,    505,    1 176,    6 535,    1 502,    5 033
    幼儿保育员,  530 647,    1 353,  529 294,    127,    13,    114,    1 620,    20,    1 600,    15 481,    69,    15 412
    家庭保姆及家庭服务员,  136 928,    1 678,  135 250,    5, -,    5,    17,    3,    14,    148,    12,    136
    理发员,  938 521,  480 974,  457 547,    91,    60,    31,    404,    204,    200,    1 774,    798,    976
    洗染织补人员,    67 224,    14 400,    52 824,    19,    14,    5,    137,    67,    70,    566,    171,    395
    生活燃料供应工人,    77 630,    41 288,    36 342,    37,    28,    9,    274,    166,    108,    1 000,    423,    577
    环境清洁卫生工人,  322 051,  105 443,  216 608,    195,    148,    47,    582,    368,    214,    1 750,    881,    869
    公勤人员, 4 589 608, 2 720 978, 1 868 630,    3 408,    2 844,    564,    13 224,    9 870,    3 354,    47 168,    30 794,    16 374
    殡葬人员,    11 565,    8 991,    2 574,    8,    7,    1,      35,    26,    9,    105,    82,    23
    园林工作人员,  241 436,  128 754,    112 682,    620,    445,    175,    1 697,    1 185,    512,    6 048,    3 829,    2 219
    其他服务员,  425 923,  150 298,    275 625,    443,    287,    156,    3 178,    1 529,    1 649,    12 173,    4 591,    7 582
  厨师和炊事员, 3 390 456, 1 947 958, 1 442 498,    457,    370,    87,    3 932,    3 107,    825,    30 007,    21 319,    8 688
    厨师,  626 334,  483 228,  143 106,    166,    142,    24,    1 822,    1 634,    188,    12 968,    10 786,    2 182
    炊事员, 2 764 122, 1 464 730, 1 299 392,    291,    228,    63,    2 110,    1 473,    637,    17 039,    10 533,    6 506
  导游员,    12 139,    5 539,    6 600,    1 201,    651,    550,    1 685,    874,    811,    819,    393,    426
    导游员,    12 139,    5 539,    6 600,    1 201,    651,    550,    1 685,    874,    811,    819,    393,    426
  生活日用品修理人员, 1 008 623,  891 296,    117 327,    749,    706,    43,    3 375,    2 981,    394,    9 188,    7 879,    1 309
    家用机电产品修理人员,  733 309,  660 164,    73 145,    692,    651,    41,    3 203,    2 820,    383,    8 541,    7 313,    1 228
    其他生活日用品修理人员,  275 314,  231 132,    44 182,    57,    55,2,    172,    161,    11,    647,    566,    81
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,
      职业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
  其他服务性工作人员,    141 340,    71 827,    69 513,    173,    133,    40,    530,    417,    113,    1 083,    684,    399
    其他服务性工作人员,    141 340,    71 827,    69 513,    173,    133,    40,    530,    417,    113,    1 083,    684,    399
农、林、牧、渔劳动者, 456 819 731, 237 806 378, 219 013 353,    7 684,    6 999,    685,    46 191,    40 668,    5 523,    320 958,    263 268,    57 690
  农业劳动者, 446 935 427, 232 203 182, 214 732 245,    5 932,    5 456,    476,    41 282,    36 477,    4 805,    291 792,    239 757,    52 035
    粮农, 420 545 193, 220 077 920, 200 467 273,    5 093,    4 716,    377,    37 108,    32 916,    4 192,    265 544,    219 721,    45 823
    棉农,  14 692 643,  6 155 298,  8 537 345,    139,    125,    14,    1 229,    1 008,    221,    8 490,    6 543,    1 947
