,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数,,,,,,,,,,,,,,,表6-13全国按行业门、大、中类．分性别、文化程度的人口数(续10),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
    行业别,,,,,,,,,,,,,,,    行业别,,,,,,,,,,,,
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
    酒精制造业,    34 244,    21 278,    12 966,    481,    344,    137,    1 176,    771,    405,    1 734,    996,    738,,,    酒精制造业,    9 144,    5 279,    3 865,    16 450,    10 267,    6 183,    4 531,    3 165,    1 366,    728,    456,    272
    无酒精饮料制造业,    283 127,    126 238,    156 889,    1 577,    1 167,    410,    4 123,    2 741,    1 382,    6 127,    3 605,    2 522,,,    无酒精饮料制造业,    58 940,    27 539,    31 401,    146 771,    63 822,    82 949,    57 565,    24 697,    32 868,    8 024,    2 667,    5 357
    制茶业,    141 065,    74 816,    66 249,    617,    472,    145,    1 714,    1 312,    402,    3 379,    2 327,    1 052,,,    制茶业,    23 051,    13 088,    9 963,    59 754,    32 840,    26 914,    42 477,    20 891,    21 586,    10 073,    3 886,    6 187
    其他饮料制造业,    4 358,    2 055,    2 303,    40,    24,    16,    52,    39,    13,    86,    55,    31,,,    其他饮料制造业,    1 021,    546,    475,    2 054,    942,    1 112,    933,    386,    547,    172,    63,    109
  烟草加工业,    322 898,    160 589,    162 309,    2 787,    2 210,    577,    8 683,    5 929,    2 754,    13 099,    7 490,    5 609,,,  烟草加工业,    90 384,    44 840,    45 544,    156 152,    75 501,    80 651,    46 069,    22 294,    23 775,    5 724,    2 325,    3 399
    烟叶复烤业,    25 388,    15 145,    10 243,    130,    104,    26,    594,    432,    162,    1 147,    745,    402,,,    烟叶复烤业,    6 081,    3 553,    2 528,    12 024,    7 313,    4 711,    4 787,    2 750,    2 037,    625,    248,    377
    卷烟制造业,    289 575,    140 983,    148 592,    2 642,    2 092,    550,    8 014,    5 447,    2 567,    11 842,    6 674,    5 168,,,    卷烟制造业,    82 808,    40 447,    42 361,    140 654,    66 282,    74 372,    38 911,    18 165,    20 746,    4 704,    1 876,    2 828
    其他烟草加工业,    7 935,    4 461,    3 474,    15,    14,    1,    75,    50,    25,    110,    71,    39,,,    其他烟草加工业,    1 495,    840,    655,    3 474,    1 906,    1 568,    2 371,    1 379,    992,    395,    201,    194
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—13全国按行业门、大、中类分性别、文化程度的人口数(续02),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,单位：人,,,,,,,,,,,,
单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,,    文盲、半文盲,,
,    合计,,,    大学本科,,,    大学专科,,,    中专,,,,,    行业别,,,,,,,,,,,,
    行业别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,,,  饲料工业,    41 835,    26 092,    15 743,    84 336,    55 747,    28 589,    35 541,    24 824,    10 717,    5 879,    3 454,    2 425
  饲料工业,    182 738,    120 624,    62 114,    1 618,    1 301,    317,    4 205,    3 059,    1 146,    9 324,    6 147,    3 177,,,    配合及混合饲料制造业,    37 099,    22 973,    14 126,    71 385,    46 959,    24 426,    28 132,    19 512,    8 620,    4 497,    2 664,    1 833
    配合及混合饲料制造业,    155 027,    101 740,    53 287,    1 457,    1 167,    290,    3 846,    2 799,    1 047,    8 611,    5 666,    2 945,,,    蛋白饲料制造业,    1 156,    854,    302,    4 155,    3 211,    944,    3 047,    2 417,    630,    650,    370,    280
    蛋白饲料制造业,    9 194,    6 995,    2 199,    20,    20,     -,    43,    34,    9,    123,    89,    34,,,    饲料添加剂制造业,    2 174,    1 328,    846,    5 315,    3 103,    2 212,    2 345,    1 427,    918,    395,    215,    180
    饲料添加剂制造业,    10 807,    6 471,    4 336,    91,    76,    15,    175,    118,    57,    312,    204,    108,,,    其他饲料制造业,    1 406,    937,    469,    3 481,    2 474,    1 007,      2 017,    1 468,    549,    337,    205,    132
    其他饲料制造业,    7 710,    5 418,    2 292,    50,    38,    12,    141,    108,    33,    278,    188,    90,,,  纺织业, 2102 086,  802 923,  1 299 163,    5 445 864,  1 770 327,    3 675 537,    1 895 562,    537 327,    1 358 235,    260 999,    51 426,    209 573
