表3    各年龄组人口比重、有老年人口的户数、人口自然变动、迁入人口（全部数据）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
县市名,各种年龄组人口占总人口比重(%) ,,,,有65岁及以上老年人口的户数(户),,,,人口自然变动(‰),,,总和生育率,迁入人口（人） ,,
,0-14岁,15-64岁,65岁及以上,15-49岁育龄妇女,合计,有一个老人,有二个老人,有二个以上老人,出生率,死亡率,自然增长率,（长表数据）,本县(市)/本市市区,本省其他县(市)、市区,外省
,,,,,,,,,,,,,,,
临城县,23.11 ,70.54 ,6.35 ,28.69 ,9368,6672,2667,29,12.04 ,6.16 ,5.89 ,1.43 ,7154,2724,234
内丘县,22.61 ,71.64 ,5.75 ,28.89 ,11519,8441,3045,33,11.58 ,5.69 ,5.89 ,1.30 ,7786,2778,2452
柏乡县,23.78 ,69.13 ,7.09 ,28.47 ,9896,7093,2752,51,12.11 ,6.31 ,5.79 ,1.18 ,2140,699,130
隆尧县,24.06 ,69.40 ,6.54 ,28.61 ,24271,17977,6204,90,11.24 ,6.25 ,4.99 ,1.26 ,6836,3706,634
任县,25.38 ,67.97 ,6.65 ,28.18 ,15581,11121,4399,61,12.09 ,6.23 ,5.86 ,1.52 ,3997,827,215
南和县,27.90 ,66.49 ,5.61 ,27.73 ,13774,10024,3712,38,12.79 ,6.42 ,6.37 ,1.27 ,4773,920,291
宁晋县,24.83 ,68.20 ,6.97 ,27.88 ,39373,29480,9732,161,11.46 ,6.63 ,4.83 ,1.26 ,16570,2180,1834
巨鹿县,24.65 ,68.00 ,7.35 ,28.28 ,19699,13611,5958,130,12.70 ,6.04 ,6.65 ,1.35 ,8876,1101,412
新河县,23.24 ,69.39 ,7.37 ,28.47 ,9560,7243,2301,16,11.44 ,6.72 ,4.72 ,1.06 ,1962,458,138
广宗县,24.57 ,68.58 ,6.86 ,27.94 ,13596,9367,4173,56,12.93 ,6.48 ,6.45 ,1.45 ,2349,395,183
平乡县,24.45 ,68.78 ,6.77 ,28.54 ,14010,9450,4400,160,12.97 ,6.40 ,6.57 ,1.42 ,5544,867,386
威县,23.66 ,69.41 ,6.93 ,28.40 ,28651,21055,7408,188,12.38 ,6.60 ,5.78 ,1.31 ,1635,735,667
清河县,25.79 ,68.13 ,6.08 ,29.09 ,17464,13098,4290,76,10.19 ,6.05 ,4.14 ,1.27 ,12416,3942,6786
临西县,26.29 ,67.65 ,6.06 ,27.85 ,15066,11387,3622,57,11.70 ,6.47 ,5.23 ,1.28 ,2958,510,1602
南宫市,25.15 ,67.85 ,7.00 ,26.79 ,25871,19812,5964,95,10.08 ,6.34 ,3.74 ,1.08 ,2620,1061,382
沙河市,31.89 ,62.60 ,5.51 ,25.65 ,20420,14924,5440,56,11.39 ,5.84 ,5.56 ,1.64 ,12144,7237,11890
保定市,21.99 ,70.86 ,7.15 ,28.98 ,571125,401355,167342,2428,11.79 ,6.16 ,5.64 ,1.30 ,415575,170532,160137
新市区,16.22 ,77.72 ,6.06 ,31.26 ,17904,12230,5617,57,9.94 ,4.15 ,5.80 ,0.95 ,66240,20753,12030
北市区,14.28 ,79.58 ,6.14 ,33.22 ,12289,8425,3831,33,8.27 ,3.85 ,4.42 ,0.83 ,44284,17987,11129
南市区,15.78 ,77.54 ,6.68 ,31.26 ,12177,8467,3677,33,10.37 ,4.75 ,5.63 ,1.10 ,35594,18895,10013
满城县,23.18 ,70.00 ,6.82 ,27.51 ,20353,14314,5962,77,11.96 ,6.19 ,5.76 ,1.42 ,6170,18262,3925
清苑县,23.64 ,68.58 ,7.77 ,27.94 ,35120,23707,11215,198,11.06 ,6.15 ,4.91 ,1.23 ,13490,3978,4977
涞水县,21.48 ,71.63 ,6.89 ,28.70 ,17426,12441,4939,46,10.27 ,6.16 ,4.11 ,1.19 ,7941,1046,827
阜平县,22.69 ,68.57 ,8.74 ,27.11 ,13081,9429,3612,40,13.19 ,6.53 ,6.66 ,1.54 ,4768,407,354
徐水县,22.98 ,69.86 ,7.16 ,28.60 ,30327,21363,8818,146,11.80 ,6.66 ,5.15 ,1.39 ,11448,5065,6745
定兴县,24.79 ,67.90 ,7.31 ,28.16 ,30284,21540,8583,161,11.16 ,6.00 ,5.15 ,1.32 ,7979,2867,2458
唐县,23.52 ,69.73 ,6.75 ,28.18 ,26872,19166,7614,92,13.29 ,6.43 ,6.86 ,1.46 ,6840,1069,1390
高阳县,20.55 ,70.84 ,8.61 ,29.23 ,19560,12930,6488,142,11.68 ,6.27 ,5.41 ,1.29 ,7575,5220,12088
容城县,23.27 ,69.09 ,7.64 ,29.00 ,13927,9408,4441,78,11.20 ,6.47 ,4.73 ,1.32 ,3755,3065,4655
涞源县,21.31 ,71.13 ,7.55 ,26.94 ,14823,10856,3938,29,14.03 ,7.47 ,6.56 ,1.23 ,9335,1087,1882
望都县,21.31 ,71.94 ,6.75 ,29.03 ,13123,9410,3664,49,10.99 ,6.19 ,4.80 ,1.34 ,5634,1221,2023
安新县,22.72 ,69.81 ,7.47 ,29.39 ,21848,14689,7061,98,13.89 ,6.17 ,7.71 ,1.51 ,6492,4832,6530
易县,21.85 ,70.91 ,7.24 ,28.09 ,30990,23066,7808,116,11.33 ,7.27 ,4.07 ,1.36 ,16581,3242,2329
曲阳县,24.58 ,69.53 ,5.89 ,28.41 ,23803,17410,6324,69,13.53 ,5.66 ,7.88 ,1.42 ,7533,872,781
蠡县,21.84 ,70.70 ,7.46 ,31.04 ,28313,18996,9109,208,11.50 ,6.00 ,5.50 ,1.13 ,9364,17865,30477
顺平县,20.86 ,71.50 ,7.64 ,28.29 ,16605,11768,4776,61,12.63 ,7.20 ,5.43 ,1.42 ,11367,1198,1504
博野县,21.97 ,70.30 ,7.73 ,28.66 ,13999,9469,4467,63,12.51 ,6.58 ,5.93 ,1.44 ,6173,1502,1377
雄县,24.02 ,68.50 ,7.47 ,28.20 ,18084,12185,5803,96,11.49 ,5.88 ,5.61 ,1.26 ,6142,912,1860
涿州市,19.58 ,73.46 ,6.97 ,30.02 ,29607,21399,8117,91,10.67 ,6.77 ,3.91 ,1.23 ,45471,13826,11416
定州市,23.32 ,69.70 ,6.98 ,28.58 ,59887,43281,16382,224,13.38 ,6.23 ,7.14 ,1.51 ,39210,13160,6204
安国市,20.42 ,71.93 ,7.65 ,29.38 ,22256,15795,6354,107,11.29 ,6.39 ,4.90 ,1.28 ,18545,3444,3206
高碑店市,23.17 ,69.85 ,6.98 ,29.71 ,28467,19611,8742,114,10.72 ,5.82 ,4.90 ,1.23 ,17644,8757,19957
张家口市,21.45 ,70.71 ,7.84 ,27.93 ,254557,183042,71121,394,12.33 ,7.14 ,5.19 ,1.29 ,325347,135477,50810
桥东区,16.53 ,76.15 ,7.32 ,31.34 ,15399,10310,5070,19,11.51 ,4.66 ,6.85 ,0.91 ,69312,25765,6300
桥西区,16.76 ,74.94 ,8.30 ,31.45 ,14926,10313,4591,22,11.11 ,5.19 ,5.92 ,1.08 ,47884,25579,4633
宣化区,17.97 ,75.47 ,6.56 ,30.64 ,15934,11243,4661,30,11.30 ,4.76 ,6.54 ,1.06 ,50067,24860,9878
下花园区,18.73 ,72.95 ,8.32 ,27.75 ,4440,3249,1186,5,9.51 ,7.21 ,2.29 ,1.13 ,3120,5482,1146
宣化县,21.93 ,70.39 ,7.68 ,27.36 ,17420,12657,4732,31,11.35 ,6.81 ,4.54 ,1.20 ,11887,18722,1872
张北县,22.70 ,69.25 ,8.04 ,27.11 ,18703,13675,5008,20,14.02 ,8.70 ,5.32 ,1.47 ,19550,5128,1707
康保县,22.66 ,70.22 ,7.12 ,27.71 ,12611,9240,3362,9,14.08 ,8.88 ,5.20 ,1.39 ,10784,1008,1666
沽源县,22.83 ,70.15 ,7.03 ,27.23 ,9817,7290,2516,11,13.35 ,7.61 ,5.74 ,1.42 ,7987,1072,959
尚义县,23.51 ,68.93 ,7.57 ,27.67 ,9003,6186,2810,7,13.67 ,7.74 ,5.93 ,1.33 ,7515,897,1256
