58岁,395147,214238,180909,          ,          ,          ,342026,187756,154270,24553,12072,12481,25994,13133,12861,2574,1277,1297,174379,117596,56783,          ,          ,          ,165146,111240,53906,5324,3628,1696,3542,2452,1090,367,276,91
59岁,402039,223800,178239,          ,          ,          ,345163,194487,150676,26676,13494,13182,27334,14294,13040,2866,1525,1341,157714,107589,50125,          ,          ,          ,149160,101584,47576,4933,3454,1479,3244,2267,977,377,284,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-64岁,1808117,1074009,734108,          ,          ,          ,1528959,917440,611519,132050,72782,59268,129126,73309,55817,17982,10478,7504,537747,384409,153338,          ,          ,          ,507096,362394,144702,18262,12954,5308,10519,7566,2953,1870,1495,375
60岁,401014,228182,172832,          ,          ,          ,343671,197945,145726,27155,14077,13078,26884,14383,12501,3304,1777,1527,143827,99829,43998,          ,          ,          ,136158,94505,41653,4512,3035,1477,2764,1976,788,393,313,80
61岁,335511,194331,141180,          ,          ,          ,285266,166859,118407,23678,12748,10930,23575,13008,10567,2992,1716,1276,105231,73274,31957,          ,          ,          ,99423,69214,30209,3449,2393,1056,2050,1421,629,309,246,63
62岁,377824,225960,151864,          ,          ,          ,319206,192731,126475,27639,15254,12385,27229,15758,11471,3750,2217,1533,108721,78216,30505,          ,          ,          ,102581,73772,28809,3653,2646,1007,2125,1517,608,362,281,81
63岁,349350,213057,136293,          ,          ,          ,293062,180524,112538,26485,15147,11338,25983,15130,10853,3820,2256,1564,92641,67829,24812,          ,          ,          ,87118,63754,23364,3306,2409,897,1814,1342,472,403,324,79
64岁,344418,212479,131939,          ,          ,          ,287754,179381,108373,27093,15556,11537,25455,15030,10425,4116,2512,1604,87327,65261,22066,          ,          ,          ,81816,61149,20667,3342,2471,871,1766,1310,456,403,331,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65岁及以上,2798540,1888713,909827,          ,          ,          ,2258628,1538887,719741,254917,163064,91853,229519,148969,80550,55476,37793,17683,626981,508010,118971,          ,          ,          ,577515,467972,109543,29587,23591,5996,13422,10721,2701,6457,5726,731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表3—2a    全国分年龄、性别、学业完成情况的6岁及6岁以上小学和初中人口（城市）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人
年   龄   别,小             学,,,,,,,,,,,,,,,,,,初             中,,,,,,,,,,,,,,,,,
,合      计,,,在      校,,,毕      业,,,肄      业,,,辍      学,,,其      他,,,合      计,,,在      校,,,毕      业,,,肄      业,,,辍      学,,,其      他,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总      计,5752541,2786901,2965640,2151163,1137292,1013871,3141632,1443545,1698087,200477,89522,110955,239543,106961,132582,19726,9581,10145,9241731,4807994,4433737,1162104,604245,557859,7817254,4054300,3762954,135143,77133,58010,120289,68039,52250,6941,4277,2664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-9岁,1118358,590374,527984,1115061,588651,526410,2504,1309,1195,269,133,136,340,176,164,184,105,79,283,144,139,264,133,131,18,11,7,1,          ,1,          ,          ,          ,          ,          ,          
6岁,217439,114173,103266,216893,113868,103025,409,225,184,33,16,17,19,12,7,85,52,33,1,          ,1,1,          ,1,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          
7岁,290915,154485,136430,290163,154104,136059,601,306,295,56,30,26,62,31,31,33,14,19,1,1,          ,          ,          ,          ,1,1,          ,          ,          ,          ,          ,          ,          ,          ,          ,          
