表6    各行业门类人口及三次产业人口比重（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,单位：人、%,
县市名,15岁及以上人口,各行业人口合计,,,,,,,,,,,,,,,,,三次产业人口占行业人口比重（%）,,,
,总        计,,农林牧渔业,采掘业,制造业,电力、煤气及,建筑业,地质勘查业、,交通运输、仓储,批发和零售,金融保险业,房地产业,社会服务业,卫生、体育和,教育、文化艺术及,科学研究和,国家机关、政党,其他行业,第一产业,第二产业,第三产业,
,,,,,,水的生产和供应业,,水利管理业,及邮电通信业,贸易、餐饮业,,,,社会福利业,广播电影电视业,综合技术服务业,机关和社会团体,,,,,
,,,,,,,,,,,,,,,,,,,,,,
运河区,20807,12524,2286,10,2826,233,614,87,633,2235,371,50,732,418,758,59,1192,20,18.25,29.41,52.34,
沧县,49109,42397,39533,4,942,9,256,5,238,419,41,3,50,99,591,,207,,93.24,2.86,3.90,
青县,28549,21202,14609,5,2795,50,621,1,686,965,96,3,184,186,410,5,582,4,68.90,16.37,14.73,
东光县,26339,22384,19494,1,947,58,122,9,208,517,81,10,131,93,325,2,380,6,87.09,5.04,7.87,
海兴县,14426,11402,9139,127,714,44,219,6,118,289,42,2,58,88,228,,264,64,80.15,9.68,10.16,
盐山县,30104,25677,24012,6,154,51,46,2,91,321,64,1,30,83,350,2,458,6,93.52,1.00,5.48,
肃宁县,24300,19036,16102,4,904,45,151,,157,545,75,1,103,111,415,2,381,40,84.59,5.80,9.61,
南皮县,25399,21103,18650,6,862,35,179,3,128,311,62,4,43,95,335,,345,45,88.38,5.13,6.50,
吴桥县,21921,18523,16532,,470,15,55,,172,380,69,2,70,108,303,3,334,10,89.25,2.92,7.83,
献县,39376,32263,29425,1,834,26,159,8,151,338,44,4,43,109,537,1,546,37,91.20,3.16,5.63,
孟村回族自治县,13118,10084,8169,,641,30,124,1,143,373,52,2,49,69,184,,233,14,81.01,7.88,11.11,
泊头市,42416,33841,24728,7,3872,94,358,6,500,1865,124,9,457,279,652,17,838,35,73.07,12.80,14.13,
任丘市,58500,39394,20746,1031,5938,356,2234,130,1438,3258,164,604,793,557,1167,167,760,51,52.66,24.27,23.07,
黄骅市,35223,24661,15702,611,3017,114,672,19,952,1370,155,15,398,246,534,11,730,115,63.67,17.90,18.43,
