表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
宣化县,22712,11910,10802,4261,2795,1466,16271,8249,8022,713,209,504,254,204,50,1213,453,760,1.37,1.35,,
张北县,23392,11752,11640,3293,2068,1225,17999,8868,9131,704,233,471,164,125,39,1232,458,774,1.40,1.37,,
康保县,17864,9031,8833,2613,1595,1018,13754,6849,6905,512,180,332,101,86,15,884,321,563,1.36,1.34,,
沽源县,13769,7065,6704,1985,1279,706,10614,5271,5343,331,118,213,150,113,37,689,284,405,1.40,1.38,,
尚义县,12054,6000,6054,1647,979,668,9420,4596,4824,356,136,220,54,44,10,577,245,332,1.42,1.38,,
蔚县,34571,18425,16146,7195,5018,2177,23806,11996,11810,1033,273,760,445,384,61,2092,754,1338,1.40,1.39,,
阳原县,19321,9951,9370,2986,1942,1044,14558,7319,7239,489,141,348,167,138,29,1121,411,710,1.50,1.48,,
怀安县,17521,8935,8586,2945,1796,1149,12997,6507,6490,545,174,371,152,128,24,882,330,552,1.41,1.39,,
万全县,15777,8160,7617,2342,1576,766,11906,5963,5943,628,222,406,145,113,32,756,286,470,1.44,1.43,,
怀来县,25236,12944,12292,4382,2706,1676,18569,9382,9187,816,258,558,202,155,47,1267,443,824,1.33,1.31,,
涿鹿县,25738,13722,12016,4923,3412,1511,18315,9266,9049,827,242,585,270,221,49,1403,581,822,1.30,1.28,,
赤城县,19714,10483,9231,3976,2707,1269,13881,6920,6961,612,190,422,214,168,46,1031,498,533,1.38,1.35,,
崇礼县,8571,4451,4120,1325,866,459,6530,3277,3253,251,83,168,73,66,7,392,159,233,1.40,1.38,,
承德市,258773,132562,126211,48870,29954,18916,187002,92940,94062,6766,2781,3985,1941,1442,499,14194,5445,8749,1.32,1.30,,
双桥区,21809,10550,11259,5202,2523,2679,15053,7408,7645,591,325,266,231,100,131,732,194,538,0.81,0.81,,
双滦区,7576,3928,3648,1102,717,385,5892,2979,2913,200,99,101,100,60,40,282,73,209,1.11,1.09,,
鹰手营子矿区,5423,2787,2636,621,384,237,4178,2131,2047,238,121,117,111,71,40,275,80,195,1.11,1.10,,
承德县,34908,18143,16765,6717,4338,2379,25023,12463,12560,898,335,563,231,186,45,2039,821,1218,1.36,1.33,,
兴隆县,23784,12319,11465,4014,2582,1432,17468,8767,8701,742,279,463,212,166,46,1348,525,823,1.37,1.35,,
平泉县,34182,17401,16781,6363,3866,2497,24797,12332,12465,834,321,513,184,142,42,2004,740,1264,1.30,1.28,,
滦平县,23890,12390,11500,4397,2795,1602,17410,8660,8750,539,218,321,178,146,32,1366,571,795,1.36,1.34,,
隆化县,29193,14955,14238,5829,3585,2244,20768,10270,10498,744,285,459,190,154,36,1662,661,1001,1.39,1.36,,
