表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晋州市,3103,2715,10985,9693,19144,16175,35749,33710,31169,29461,14033,12990,17563,17482,24929,22326,21631,21188,20032,19778,18923,18907,13965,14837,9085,9512,7676,7686,7251,7404,5227,5703,2800,3609,1243,1784,504,970
新乐市,2573,2331,10125,8909,16653,15790,28323,27494,25467,24942,17515,15772,16986,16156,19638,20865,16614,17773,15997,15287,15148,14807,10798,10570,7174,6943,6294,5951,4943,5263,3709,4782,1912,3031,669,1416,273,751
鹿泉市,2323,2207,8723,8072,10920,10529,25350,23518,21075,20481,13540,12554,14588,13382,18425,17056,17892,17287,16016,15219,15449,15536,10791,10382,7906,7304,6853,5972,5191,5549,3750,4603,2259,3061,979,1579,310,818
唐山市,36858,34163,147087,137666,200157,186676,353800,336010,283282,273043,250785,245686,262326,261514,334371,328210,336968,332832,300160,282299,319733,299745,215681,204154,137029,125725,126037,111690,113448,110827,80596,84708,51262,57987,22369,27923,10681,17066
路南区,1463,1302,5569,5071,7911,7042,11815,11451,16448,15373,16467,13845,12529,12343,14938,14566,16083,15289,15609,14723,15957,15434,10042,9522,6234,6275,5579,5784,4849,5248,3814,3736,2360,2356,1034,1069,471,594
路北区,2724,2472,8790,8231,12178,11628,16881,16643,26202,30249,24794,27015,21246,23145,24842,25151,28644,28012,27540,26108,29098,28459,17403,16740,10062,10066,9861,10524,8713,9812,6359,6246,3444,3634,1328,1565,640,1027
古冶区,1422,1382,6365,6109,8991,8670,13599,13260,14003,12782,12613,11846,13777,13128,16328,15588,20124,19838,20999,19802,21628,19839,12390,12402,7602,7542,7208,7528,6362,8110,5112,5786,3449,3454,1343,1429,586,813
开平区,1227,1194,5200,4812,7668,7074,8768,8558,10202,8742,11717,10504,11311,10145,13552,12167,13893,12668,12939,11725,13196,12980,8370,8644,4936,4846,4602,4611,4061,4276,2908,2965,1731,1847,686,834,299,520
新区,899,890,3493,3270,4537,4260,7107,6720,5470,5071,4990,5154,7038,7478,8558,8773,9254,9638,7923,8003,6281,6427,4240,4104,3016,3262,3403,3353,2891,2643,1723,1519,762,806,290,427,128,252
丰润县,3914,3564,15096,14223,18197,17544,42313,40726,29800,28122,24026,23607,25074,25229,31243,33425,32774,34446,27683,26370,32950,29403,23637,21000,14566,13130,13032,10751,11764,10769,8324,9145,5095,6395,2313,3158,1068,1959
滦县,2867,2673,11852,11441,15187,14214,29637,28343,22436,22347,18600,18505,21358,20866,26175,24468,25821,24757,21683,19788,21997,20703,14860,13880,10337,9384,9789,8235,9319,8422,6526,6424,3727,4041,1522,1961,783,1223
滦南县,3221,2891,13584,12853,19340,18636,21838,20511,21180,20158,18868,18602,23070,22416,27843,26664,27434,27094,24009,22656,25471,23406,17169,16037,10904,9898,10448,8725,9846,9657,7395,8031,5278,6152,2600,3248,1263,2139
乐亭县,2089,2083,9573,9012,15309,15030,18632,18358,18786,17408,14427,14127,16898,17362,23538,23241,23715,23483,22293,20981,25124,23391,18872,17640,12216,10382,9159,6617,7925,7633,5890,7005,4613,5616,2391,3118,1169,2011
迁西县,2194,2031,9444,8379,10441,9357,20949,19195,15337,14344,11190,11519,11753,11892,16941,16927,17385,16635,16240,14794,14721,13192,10043,9198,6437,5764,6110,5291,5843,5199,3795,3621,2206,2378,852,1058,356,605
玉田县,3427,3180,12710,11690,17170,15072,40600,37558,30565,29939,24637,23751,20765,21414,29302,29709,28700,30306,21904,22037,28559,26861,20465,19133,13104,11177,11286,9279,10705,10254,7434,8155,5129,6147,2345,3020,1171,1748
唐海县,647,636,3217,3140,5135,4950,5348,5234,4379,3860,4419,4333,5802,5886,7092,6991,6798,6424,5908,5617,5920,5912,3898,4528,2788,2873,2840,2723,2289,2000,1605,1550,916,1049,436,539,269,392
遵化市,4220,3960,15411,14792,17573,16811,44851,42717,24951,23859,23567,23583,25848,25844,34934,34623,31683,30847,26956,24316,28493,26380,19059,18621,13082,11819,12638,10640,10952,10370,7101,7611,4160,5061,1791,2320,851,1367
丰南市,2944,2687,11376,10442,17492,16112,29979,28238,19268,18148,21979,20145,23513,21466,28160,25881,24873,24173,22283,20806,25201,23724,17183,15891,9923,8349,9291,7643,8307,7418,6407,6298,4355,4432,1938,2235,970,1342
迁安市,3600,3218,15407,14201,23028,20276,41483,38498,24255,22641,18491,19150,22344,22900,30925,30036,29787,29222,26191,24573,25137,23634,18050,16814,11822,10958,10791,9986,9622,9016,6203,6616,4037,4619,1500,1942,657,1074
秦皇岛市,14397,13276,58860,52694,84661,76540,132572,122538,112771,111669,99162,98970,105556,107931,130667,128106,132740,130214,118963,112328,119038,112921,81550,76835,54823,51238,51501,45838,43335,41725,30563,30798,19022,20465,8789,10204,4209,6493
海港区,2614,2554,11176,10367,13821,13040,19611,18355,28359,29848,29447,28190,29235,30597,29686,28926,29959,27998,24268,23174,23854,23561,15372,14864,10010,10871,9643,10241,7506,7741,5161,5020,2733,2887,1219,1371,613,914
山海关区,738,701,2987,2770,4340,4197,6207,5893,5395,4423,5504,5251,7336,7231,7560,7378,8324,8042,7391,6990,7077,7089,4685,4785,3384,3495,3277,3303,2582,2657,1742,1749,1030,1147,506,575,278,380
北戴河区,310,289,1342,1207,1960,1883,2666,2534,3439,4749,3137,2946,2896,2994,3042,2993,3652,3713,3516,3315,3158,3193,2091,2026,1430,1532,1373,1427,1102,1048,793,772,471,503,227,255,120,178
青龙满族自治县,2772,2238,10779,8235,17212,12634,34277,29876,21780,20528,14015,14199,15344,15666,22881,21573,22848,22564,21812,19746,18175,16983,13262,12553,8140,7281,9552,8220,8307,7522,5602,5115,3331,3111,1512,1426,583,770
