表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
定兴县,128532,2.97,22.10,12779,11713,1066,1364,11415,2387,10392,12160,619,12329,295,97,58,
唐县,128690,4.32,20.66,12885,10347,2538,3579,9306,464,12421,12116,769,12452,284,54,95,
高阳县,81462,2.26,23.14,8136,7556,580,8042,94,1024,7112,7783,353,7438,416,147,135,
容城县,59616,4.28,22.62,5841,5451,390,3551,2290,738,5103,5135,706,5574,192,20,55,
涞源县,75703,2.20,19.00,7592,6830,762,4960,2632,461,7131,6846,746,6858,289,294,151,
望都县,63381,3.03,24.39,6314,5963,351,899,5415,1165,5149,6113,201,5964,280,43,27,
安新县,110063,3.06,18.83,10880,7965,2915,10571,309,1431,9449,6251,4629,10353,345,57,125,
易县,145699,2.53,21.16,14508,13060,1448,4540,9968,1679,12829,13042,1466,13766,341,189,212,
曲阳县,128674,4.12,20.06,12875,11316,1559,2407,10468,1842,11033,12023,852,12631,105,82,57,
蠡县,115270,4.28,23.34,11445,11223,222,11297,148,2808,8637,11327,118,11036,217,108,84,
顺平县,77198,2.85,23.06,7713,5716,1997,4750,2963,1286,6427,7094,619,7445,139,48,81,
博野县,64769,2.31,24.60,6460,6262,198,5805,655,669,5791,6203,257,6304,80,22,54,
雄县,83562,4.18,20.87,8325,7213,1112,6957,1368,1050,7275,5184,3141,8025,175,47,78,
涿州市,150100,3.97,23.28,14991,13129,1862,7231,7760,4961,10030,14306,685,11598,2848,394,151,
定州市,276896,2.28,24.38,27517,26249,1268,6995,20522,6302,21215,26379,1138,25902,1179,246,190,
安国市,100494,2.50,25.66,9976,9295,681,6015,3961,1559,8417,9419,557,9390,404,98,84,
高碑店市,132370,3.40,21.82,13195,11289,1906,3596,9599,2660,10535,9567,3628,11075,1661,301,158,
张家口市,1374172,2.35,19.35,137000,109495,27505,85208,51792,9767,127233,112218,24782,97872,20444,14790,3894,
桥东区,94218,2.06,17.38,9212,6639,2573,9162,50,2050,7162,5957,3255,1501,4328,3069,314,
桥西区,79439,1.90,15.21,7815,4141,3674,7626,189,1120,6695,3650,4165,1813,2770,3058,174,
宣化区,108736,1.95,16.33,10767,8111,2656,10354,413,2270,8497,6725,4042,2143,4621,3568,435,
下花园区,23845,1.80,20.47,2370,1844,526,2271,99,375,1995,1599,771,1140,739,416,75,
宣化县,93969,2.43,22.20,9302,8609,693,7859,1443,150,9152,8602,700,8145,418,513,226,
张北县,104476,2.29,21.80,10477,8999,1478,2296,8181,229,10248,8501,1976,8943,996,349,189,
康保县,76200,2.11,18.72,7702,7359,343,1028,6674,105,7597,7171,531,7102,359,166,75,
沽源县,59711,1.51,16.73,5905,5800,105,823,5082,76,5829,5622,283,5213,488,149,55,
尚义县,53736,3.08,21.17,5381,5174,207,1923,3458,72,5309,4692,689,4960,203,161,57,
蔚县,138621,2.53,19.52,13939,10150,3789,4479,9460,652,13287,13028,911,11684,701,765,789,
阳原县,81454,2.21,18.79,8170,4037,4133,2434,5736,121,8049,7863,307,6862,665,327,316,
怀安县,73153,2.23,21.04,7340,5475,1865,5641,1699,390,6950,7308,32,6268,547,227,298,
万全县,66701,3.08,19.71,6623,4479,2144,5139,1484,252,6371,6317,306,5701,525,250,147,
怀来县,100573,3.29,20.76,9947,8964,983,8228,1719,878,9069,8212,1735,7865,1096,705,281,
涿鹿县,102337,2.07,21.23,10242,9447,795,9245,997,565,9677,8984,1258,8839,856,351,196,
赤城县,79790,2.58,18.49,8040,7265,775,3785,4255,198,7842,6651,1389,6775,636,428,201,
崇礼县,37213,2.65,17.96,3768,3002,766,2915,853,264,3504,1336,2432,2918,496,288,66,
承德市,964964,2.15,18.86,96056,92024,4032,34794,61262,7422,88634,76343,19713,77597,11190,5488,1781,
双桥区,79581,2.25,18.52,7665,7061,604,6232,1433,2728,4937,5640,2025,2110,3783,1470,302,
双滦区,29315,2.01,16.71,2914,2758,156,2039,875,492,2422,2267,647,1158,1142,537,77,
鹰手营子矿区,22351,1.91,15.81,2200,1859,341,1768,432,195,2005,942,1258,590,1142,371,97,
承德县,128165,2.00,19.48,12846,12584,262,4878,7968,833,12013,11971,875,11325,760,570,191,
兴隆县,85532,2.22,19.81,8585,8275,310,2281,6304,508,8077,4992,3593,7532,701,266,86,
平泉县,123793,1.97,18.63,12447,12096,351,3262,9185,491,11956,10646,1801,11234,820,245,148,
滦平县,89128,3.04,18.27,8847,8120,727,1828,7019,573,8274,7875,972,7960,479,311,97,
隆化县,108668,1.94,18.85,10890,10618,272,2824,8066,375,10515,9500,1390,9819,439,401,231,
丰宁满族自治县,102815,2.38,18.47,10318,9789,529,4189,6129,467,9851,5421,4897,8942,645,556,175,
宽城满族自治县,63304,2.17,18.66,6356,6089,267,1638,4718,417,5939,5916,440,5678,436,168,74,
围场满族蒙古族自治县,132312,1.82,19.71,12988,12775,213,3855,9133,343,12645,11173,1815,11249,843,593,303,
沧州市,1803085,2.62,23.24,180863,172150,8713,165465,15398,25884,154979,152593,28270,156689,19339,2709,2126,
新华区,53106,2.33,22.01,5248,4854,394,5217,31,2553,2695,3269,1979,1484,3052,519,193,
运河区,73342,2.31,24.38,7207,6722,485,7179,28,2507,4700,3805,3402,2741,3590,618,258,
沧县,175917,2.29,23.09,17723,17375,348,17319,404,379,17344,13035,4688,17512,50,50,111,
青县,107488,2.10,28.26,10759,10205,554,10619,140,876,9883,8582,2177,9835,688,128,108,
东光县,98505,2.61,20.66,10027,9598,429,6440,3587,828,9199,9558,469,9441,455,60,71,
海兴县,55273,2.56,22.53,5518,5390,128,5164,354,226,5292,5208,310,4982,422,23,91,
盐山县,101431,2.79,23.64,10341,9864,477,7777,2564,1289,9052,9039,1302,9956,295,33,57,
肃宁县,83111,2.86,21.04,8310,7879,431,8192,118,709,7601,8065,245,7953,221,39,97,
南皮县,90611,2.67,21.60,9143,8742,401,5785,3358,1169,7974,8302,841,8704,353,33,53,
吴桥县,77658,2.33,30.67,7923,7494,429,6174,1749,1020,6903,7401,522,7511,302,74,36,
献县,138812,3.52,18.76,13968,12282,1686,12830,1138,1011,12957,9868,4100,13485,302,49,132,
孟村回族自治县,46677,2.92,21.34,4662,4371,291,4283,379,506,4156,4418,244,4356,235,38,33,
泊头市,148197,2.51,22.54,14923,14050,873,14264,659,1144,13779,12054,2869,13546,1031,198,148,
任丘市,213593,2.51,24.61,21224,20639,585,21166,58,7328,13896,20620,604,15304,5069,528,323,
黄骅市,137756,2.43,24.87,13663,13009,654,13125,538,1721,11942,10031,3632,11298,2025,190,150,
河间市,201608,2.89,22.63,20224,19676,548,19931,293,2618,17606,19338,886,18581,1249,129,265,
廊坊市,983505,3.53,23.78,98732,94173,4559,81117,17615,36263,62469,88167,10565,83609,11553,2472,1098,
安次区,85800,3.45,22.17,8594,7968,626,7945,649,2942,5652,7614,980,7025,1063,408,98,
广阳区,104945,3.02,25.32,10299,9965,334,9771,528,5921,4378,9791,508,4654,4665,812,168,
固安县,96732,5.08,23.32,9791,9417,374,7396,2395,3719,6072,9049,742,9183,434,101,73,
永清县,92679,4.21,22.37,9377,9001,376,7604,1773,2192,7185,8574,803,8798,367,77,135,
香河县,81505,3.97,24.57,8261,8045,216,1427,6834,4232,4029,8106,155,7554,561,87,59,
大城县,114254,3.25,23.57,11577,11321,256,11522,55,2425,9152,10914,663,10920,546,58,53,
文安县,118891,3.24,23.53,11931,10904,1027,11898,33,3046,8885,6577,5354,11260,497,91,83,
大厂回族自治县,30177,4.27,20.97,3010,2601,409,2334,676,1191,1819,2732,278,2584,287,50,89,
霸州市,142880,2.53,24.68,14247,13731,516,14206,41,3883,10364,13665,582,12546,1114,432,155,
三河市,115642,3.51,24.83,11645,11220,425,7014,4631,6712,4933,11145,500,9085,2019,356,185,
