表4    各种受教育程度人口、平均受教育年限、文盲人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
县市名,6岁及以上各种受教育程度人口（人）,,,,,,,,,,,,,,,,,,平均受教育年限（年）,,,15岁及以上文盲人口,,, 文盲率（%） ,,
,未上过学,,扫盲班,,小学,,初中,,高中,,中专,,大学专科,,大学本科,,研究生,,合计,男,女,合计,男,女, 合计 , 男 , 女 
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
邯郸市,244539,384097,34672,87959,1164940,1502557,1933444,1489777,372058,235425,88876,86897,77152,54053,26683,13301,801,224,7.56,8.01,7.10,627352,243640,383712,9.99,7.70,12.32
邯山区,4146,8415,315,1189,19029,23394,45816,42636,29043,26672,11110,13130,15083,12191,9109,4910,343,98,10.04,10.46,9.63,12588,4142,8446,5.33,3.51,7.16
丛台区,3624,7478,243,1037,20694,25678,48557,45898,31448,31313,12061,15033,15642,13733,6510,3622,213,74,10.05,10.37,9.75,11000,3590,7410,4.37,2.91,5.76
复兴区,2963,5308,160,448,23501,24164,52203,37594,22082,17810,9303,8310,6559,4318,2965,1124,60,14,9.25,9.52,8.92,8291,2964,5327,4.30,2.79,6.16
峰峰矿区,9808,19308,1958,5554,61338,55915,123803,94864,38636,30047,9463,8547,7155,4112,1891,762,20,7,8.32,8.68,7.90,29001,9737,19264,7.28,4.54,10.50
邯郸县,7777,14374,837,2903,61893,79834,95023,73583,13317,7138,2630,2743,1648,1203,400,281,7,3,7.48,7.90,7.05,21976,7712,14264,7.60,5.33,9.88
临漳县,18314,31900,2067,5832,94078,123744,126361,93074,21275,11304,3171,2944,2635,1507,447,217,12,2,7.09,7.62,6.58,50119,18245,31874,12.02,8.83,15.14
成安县,11094,20304,1724,5122,51534,67429,80864,64258,14323,8304,2451,2423,1760,1010,280,160,10,1,7.21,7.75,6.69,31233,11040,20193,11.83,8.53,15.02
大名县,25835,39429,3761,8512,100078,140012,175343,129258,21679,10481,3910,3635,1994,1149,567,303,23,7,7.09,7.58,6.60,65108,25747,39361,12.05,9.59,14.47
涉县,13031,13894,2460,4804,57453,72133,83073,65558,18197,9741,4549,3067,2499,1307,568,207,6,,7.42,7.78,7.03,26864,12988,13876,9.74,9.18,10.33
磁县,18269,28667,2429,6492,96513,121379,147149,116860,27831,14259,4331,3807,3119,1777,716,271,13,1,7.38,7.83,6.91,46512,18084,28428,9.92,7.67,12.20
肥乡县,9118,16255,1115,2802,46430,62587,73008,54089,9557,5122,1859,1564,1156,587,204,91,2,3,7.17,7.68,6.66,25398,9121,16277,10.87,7.81,13.92
永年县,25148,35582,2780,7380,122901,159400,196778,154774,24874,13183,4129,4133,4865,3964,661,315,16,2,7.32,7.71,6.93,60817,25124,35693,10.05,8.31,11.77
邱县,7218,11337,797,1650,30548,39513,44491,33994,7458,4650,1708,1827,1127,681,162,91,3,1,7.20,7.64,6.75,18415,7173,11242,12.08,9.50,14.63
鸡泽县,10172,12459,2365,5865,33827,42096,60202,48245,10209,4783,2110,1216,1327,666,224,74,7,2,7.16,7.62,6.68,22719,10255,12464,12.27,10.85,13.74
广平县,9686,14186,2300,5693,31638,43445,58227,45663,9115,5379,1785,1557,1264,707,229,88,16,2,7.08,7.60,6.58,23701,9624,14077,12.94,10.67,15.14
馆陶县,11154,14695,1195,2254,35944,51068,69655,54941,9911,5294,2093,2006,1730,942,290,107,17,2,7.31,7.72,6.89,25696,11082,14614,12.01,10.42,13.59
魏县,28369,46520,3680,9494,108411,148514,188740,139175,24310,11183,3712,3027,2300,1277,377,160,7,2,7.04,7.58,6.50,74657,28196,46461,13.19,9.99,16.36
曲周县,12495,20893,1421,3794,62702,90030,88973,58389,12656,6212,2637,2333,1782,1052,358,178,13,1,7.06,7.62,6.50,33710,12541,21169,11.79,8.81,14.75
武安市,16318,23093,3065,7134,106428,132222,175178,136924,26137,12550,5864,5595,3507,1870,725,340,13,2,7.53,7.91,7.13,39547,16275,23272,7.60,6.12,9.15
邢台市,130250,220167,108724,144566,919104,1159484,1533433,1251407,300131,175588,68947,73558,51378,33822,14206,6844,311,85,7.54,7.93,7.13,464833,183129,281704,9.29,7.28,11.33
桥东区,1132,4568,1835,2418,15663,18975,39673,39485,21376,18301,9165,11551,8422,6462,2591,1452,54,15,9.59,9.95,9.24,9206,2799,6407,5.14,3.20,7.01
桥西区,2623,5084,2253,3494,22753,25317,59023,52705,30496,25145,15608,17841,14751,10407,5797,2937,133,27,9.81,10.11,9.49,8463,3030,5433,3.30,2.28,4.40
邢台县,8631,13044,7073,8931,57875,73618,116927,98733,26957,13361,3679,2509,1801,938,354,150,2,1,7.69,8.07,7.28,22770,8656,14114,6.48,4.80,8.26
临城县,3093,5803,2965,3759,24213,31663,46223,37511,10988,6703,1737,1963,1257,814,332,163,2,,7.74,8.14,7.32,11270,4179,7091,7.66,5.61,9.76
内丘县,4697,8277,3674,5871,34532,44584,61898,46957,14844,8227,2204,1896,1421,857,327,138,5,2,7.59,8.07,7.08,12498,4479,8019,6.32,4.41,8.35
柏乡县,5463,9080,2820,3301,23743,29902,40136,34533,9721,4944,1437,1274,922,467,166,71,8,,7.31,7.76,6.86,21816,8937,12879,15.80,13.01,18.57
隆尧县,11848,17322,7859,11148,65083,84794,113422,92615,18190,9054,3764,4157,2122,1102,478,171,14,5,7.31,7.71,6.90,40875,16226,24649,11.38,9.04,13.72
任县,6970,9363,4279,7718,42042,57086,75034,57775,11354,6279,1669,1513,909,456,206,84,9,,7.31,7.73,6.88,16473,6174,10299,7.28,5.46,9.10
南和县,7900,8876,4800,7590,45060,56751,76302,63821,10486,5465,1384,1382,899,507,144,62,3,1,7.28,7.59,6.97,16046,6596,9450,7.08,5.81,8.37
宁晋县,12479,25539,11199,16805,108091,125260,164446,137040,30408,16059,4597,5051,3210,1982,623,230,9,7,7.37,7.79,6.93,64973,26380,38593,12.13,9.79,14.49
巨鹿县,7042,12503,6522,7992,50508,69387,83911,65729,13152,6808,2439,2313,1501,885,270,107,7,1,7.27,7.70,6.84,25265,9701,15564,9.42,7.25,11.56
新河县,2860,4045,2893,3762,19078,22762,40591,38069,7227,5031,1512,1507,900,545,179,85,2,2,7.74,8.00,7.49,6872,2430,4442,5.50,3.90,7.07
广宗县,5517,10581,6064,5926,43404,56880,56130,40931,9365,4496,1712,1575,933,548,143,76,4,2,6.99,7.43,6.55,29777,12181,17596,15.03,12.20,17.92
平乡县,5158,9485,4323,6443,39506,49561,67980,55843,13906,6362,1989,1838,1246,705,262,104,10,4,7.46,7.92,6.99,29155,12422,16733,13.62,11.48,15.81
威县,12495,20475,11452,12904,90408,113135,117294,87487,13028,6977,3294,3777,2301,1577,473,185,15,7,6.96,7.33,6.59,47573,19659,27914,11.75,9.66,13.87
清河县,6487,13195,6343,8174,52328,67490,87063,73118,12948,6935,2392,2645,1798,1208,477,220,13,5,7.35,7.76,6.94,32213,12603,19610,11.89,9.50,14.18
临西县,8596,12214,6942,8376,54419,72979,63153,43212,10071,4668,2014,1954,1227,658,210,85,6,3,6.81,7.25,6.37,18711,7586,11125,8.11,6.55,9.68
南宫市,7864,14205,6868,9367,60590,72729,120731,105941,16107,10359,4382,4741,2531,1396,416,196,5,2,7.62,7.94,7.29,18318,6030,12288,5.24,3.46,7.01
沙河市,9395,16508,8560,10587,69808,86611,103496,79902,19507,10414,3969,4071,3227,2308,758,328,10,1,7.34,7.75,6.90,32559,13061,19498,10.08,7.94,12.31
保定市,280155,417864,41140,91282,1651715,1844379,2310483,1951693,424407,322525,105853,124937,83996,70130,44326,28442,2385,1525,7.63,7.92,7.34,697482,278941,418541,8.54,6.79,10.31
新市区,4191,9193,478,1444,34322,38714,74958,69897,30649,29170,16165,19226,14737,12390,8322,5018,295,135,9.58,9.86,9.30,13073,4066,9007,3.97,2.48,5.44
北市区,2334,4520,478,1870,23941,23709,44326,37715,19538,18285,9589,14195,12564,12900,15095,10725,1146,816,10.31,10.49,10.12,6846,2329,4517,2.98,2.00,4.01
南市区,3412,7436,407,1208,24940,25719,48063,41190,16229,14897,7856,8147,6781,7118,7428,5609,466,433,9.32,9.57,9.06,10797,3347,7450,5.31,3.24,7.45
满城县,12734,16205,1689,3633,61806,66946,90510,74830,14037,9506,3983,4298,2485,1832,543,288,9,1,7.46,7.72,7.18,28676,12581,16095,9.55,8.14,11.03
清苑县,16685,23822,1950,4070,99884,110008,143408,123549,18899,14155,3449,4842,2567,2111,448,284,16,4,7.45,7.68,7.21,41798,17158,24640,9.04,7.39,10.70
涞水县,12317,15548,1320,2794,48728,56335,76736,63343,14095,9401,2449,2457,1554,1054,367,154,7,5,7.39,7.69,7.08,27811,12262,15549,10.80,9.32,12.34
阜平县,6685,9815,702,996,29443,33734,42177,34524,7940,5296,2294,2117,1285,694,229,115,5,1,7.40,7.75,7.05,16477,6678,9799,11.05,8.76,13.44
