56.各行业分性别人口数,,,,,,
,,,,,,
,,,,,,
    (1)旅馆服务业,"    602,326","    244,544","    357,782",    0.12,    0．05,    0.07
    (2)旅游业,"    65,177","    39,684","    25,493",    0．01,    0.01,-
    (3)理发业,"    446,098","    335,940","    11 0,1 58",    0.09,    0．06,    0．02
    (4)浴池业,"    49,365","    32,802","    1 6,563",    0.01,    0．01,-
    (5)摄影业,"    126,966","    70,571","    56,395",    0.02,    0．01,    0．01
    (6)其他服务业,"    282,261","    107,822","    1 74,439",    0.05,    0．02,    0.03
十、卫生、体育和社会福利事业,"    4,101,355","    2,127,562",1973793,    0.79,    0．41,    0.38
  1．卫生事业,"    3,945,368","    2,038,873","    1,906,495",    0.76,    0．39,    0．37
    (1)医院,"    2,836,250","    1,302,947","    1,533,303",    0.54,    0．25,    0．29
    (2)疗养院(所),"    44,686","    23,412","    21,274",    0.01,-,-
    (3)门诊部(所),"    404,933","    289,205","    11 5,728",    0．08,    0.06,    0.02
    (4)专科防治所(站),"    55,943","    30,749","    25,194",    0．01,    0.01,-
    (5)卫生防疫站,"    126,043","    82,438","    43,605",    0．02,    0．02,    0．01
    (6)妇幼保健所(站),"    41,455","    5,307","    36,1 48",    0.01,-,    0.01
    (7)药品检验所(室),"    11,547","    6,1 45","    5,402",-,-,-
    (8)其他卫生事业,"    424,511","    298,670","    125,841",    0.08,    0．06,    0．02
  2．体育事业,"    53,405","    36,660","    16,745",    0．01,    0．01,-
  3．社会福利事业,"    102,582","    52,029","    50,553",    0.02,    0.01,    0.01
十一、教育、文化艺术事业,"  12,382,079","    8,001,574","    4,380,505",    2.37,    1.53,    0．84
  1．教育事业,"  11,284,81 7",7216402,"    4,068,41 5",    2.16,    1.38,    0.78
    (1)高等教育事业,"    748,334","    476,850","    271,484",    0.14,    0．09,    0.05
    (2)中等教育事业,"    3,518,087","    2,479,673","    1,038,414",    0．67,    0．48,    0．20
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    行业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
    (3)初等教育事业,"    6,488,972","    4,047,018","    2,441,954",    1.24,    0．78,    0．47
    (4)学前教育事业,"    247,831","    11,567","    236,264",    0.05,-,    0．05
    (5)特殊教育事业,"    10,729","    4,624","    6,105",-,-,-
    (6)职工、农民教育事业,"    1 48,022",106078,"    41,944",    0.03,    0．02,    0.01
    (7)其他教育事业,"    122,842","    90,592","    32,250",    0．02,    0.02,    0．01
  2．文化艺术事业,"    1,097,262","    785,1 72","    312,090",    0.21,    0.1 5,    0.06
    (1)电影事业,"    313,376","    246,435","    66,941",    0.06,    0．05,    0．01
    (2)艺术事业,"    332,054","    219,112","    112,942",    0．06,    0．04,    0.02
    (3)图书馆事业,"    24,381","    11,228","    13,1 53",-,-,-
    (4)群众文化事业,"    111,800","    78,010","    33,790",    0.02,    0．01,    0.01
    (5)广播电视事业,"    183,866","    140,103","    43,763",    0．04,    0．03,    0.01
    (6)新闻事业,"    5,839","    4,277","    1,562",-,-,-
    (7)出版事业,"    80,858","    53,723","    27,135",    0.02,    0.01,    0.01
    (8)文物事业,"    23,683","    14,891","    8,792",-,-,-
    (9)其他文化事业,"    21,405","    1 7,393","    4,012",-,-,-
十二、科学研究和综合技术服务,"    1,202,272","    761,770","    440,502",    0．23,    0.1 5,    0.08
  1．科学研究,"    988,837","    617,226","    371,611",    0.19,    0.12,    0．07
    (1)然科学研究,934917,"    581,694","    353,223",    0.18,    0．11,    0．07
    (2)社会科学研究,"    19,319","    1 3,432","    5,887",-,-,-
    (3)综合科学研究,"    34,601","    22,100","    12,501",    0.01,-,-
  2．综合技术服务业,"    21 3,435","    144,544","    68,891",    0．04,    0.03,    0．01
十三、金融、保险业,"    1,022,975","    696,274","    326,701",    0．20,    0．13,    0．06
  1．金融业,"    1,011,653","    688,1 22","    323,531",0.19,0.13,0.06
  2．保险业,"    11,322","    8,152","    3,1 70",-,-,-
十四、国家机关、政党和群众团体,"    8,018,546",6378798,"    1,639,748",    1.54,    1.22,    0.31
  1．国家机关,6051618,"    5,040,145","    1,011,473",    1.16,    0．97,    0．19
  2．政党机关,419238,"    373,103","    46,135",    0．08,    0．07,    0.01
  3．群众团体,"    339,088","    131,697","    207,391",    0．07,    0.03,    0.04
  4．企业管理机关,"    1,208,602",833853,"    374,749",    0．23,    0．16,    0．07
十五、其他行业,"    289,202","    182,921","    106,281",    0．06,    0.04,    0．02
  1．其他行业,"    289,202","    182,921","    106,281",    0．06,    0．04,    0.02
