57.各种职业分性别人口数,,,,,,
,,,,,,
,,,,,,
    (4)营建木工,1959285,"    1,913,027","    46,258",    0．38,    0．37,    0．01
    (5)竹、麻、藤、棕、草制品制作工人,"    1,499,676","    544,036","    955,640",    0.29,    0.10,    0．18
    (6)其他木材加工和木、竹、麻、藤、,,,,,,
      棕、草制品制作工人,"    429,633","    350,949","    78,684",    0．08,    0．07,    0．02
  11.造纸和纸制品制作工人,"    880,604","    326,689","    553,915",    0．1 7,    0．06,    0．11
    (1)造纸工人,"    466,785","    251,51 4","    21 5,271",    0．09,    0．05,    0．04
    (2)纸制品制作工人,"    383,639","    65,391","    318,248",    0．07,    0．01,    0．06
    (3)其他造纸和纸制品制作工人,"    30,180","    9,784","    20,396",    0．01,-,-
  12．印刷工人和有关人员,"    901,175","    31 4,306","    586,869",    0．1 7,    0．06,    0.11
    (1)拣字和排版工人,"    115,007","    43,763","    71,244",    0．02,    0．01,    0．01
    (2)制版工人,"    46,265","    25,481","    20,784",    0．01,-,-
    (3)印刷工人,"    427,855","    169,896","    257,959",    0．08,    0.03,    0．05
    (4)装订工人,"    242,662","    52,783","    189,879",    0．05,    0．01,    0.04
    (5)照像暗室工人,"    44,232","    14,707","    29,525",    0.01,-,    0．01
    (6)其他印刷工人和有关人员,"    25,154","    7,676","    1 7,478",-,-,-
  13.石料切割和雕刻工,"    354,519","    326,274","    28,245",    0．07,    0．06,    0.01
    (1)裁石工,"    323,973","    303,283","    20,690",    0.06,    0．06,-
    (2)工艺石工,"    12,618","    6,831","    5,787",-,-,-
    (3)其他石工,"    1 7,928","    16,160","    1,768",-,-,-
  14.锻工、工具制造工、机床安装操作工,"    6,529,387",4429468,"    2,099,919",    1.25,    0．85,    0.40
    (1)锻工和锻压机操作工,"    999,435","    949,241","    50,194",    0．19,    0．1 8,    0.01
    (2)钳工,"    1,793,446","    1,430,91 5","    362,531",    0.34,    0.27,    0.07
    (3)机床安装工,"    7,244","    5,447","    1,797",-,-,-
    (4)金属切削机床操作工及刃磨工,"    3,480,992","    1,940,506","    1,540,486",    0．67,    0．37,    0.30
    (5)其他锻工、工具制造工和机床安装操作工,"    248,270","    103,359","    1 44,911",    0.05,    0．02,    0.03
  15.机器装配工和精密仪器制造工,"    3,937,884","    3,277,376","    660,508",    0．76,    0.63,    0．13
    (1)机器装配工,"    404,475","    246,594","    1 57,881",    0.08,    0．05,    0.03
    (2)机器修理工,"    3,288,021","    2,928,544","    359,477",    0．63,    0．56,    0．07
    (3)钟表及精密仪器制造工,"    209,696","    81,141","    128,555",    0.04,    0.02,    0．02
    (4)其他机器装配工和精密仪器制造工,"    35,692","    21,097","    14,595",    0.01,-,-
  16.电气、电子设备安装工、修理工、装配,,,,,,
