21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  三明市,"    204,307","    111,068","    93,239","    152,050","    83,774","    68,276","    52,257","    27,294","    24,963"
江西省,"    4,219,182","    2,195,871","    2,023,31 1","    2,1 50,749",1134050,"    1,016,699","    2,068,433","    1,061,821","    1,006,612"
  南昌市区,"    1,061,497","    552,837","    508,660","    831,778","    434,438","    397,340","    229,719","    118,399","    111,320"
  景德镇市区,"    506,955","    268,346","    238,609","    268,761","    143,515","    125,246","    238,194","    124,831","    113,363"
  萍乡市区,"    1,224,749","    634,528","    590,221","    264,634","    139,703","    124,931","    960,115","    494,825","    465,290"
  九江市区,"    364,687","    188,600","    176,087","    183,753","    96,302","    87,451","    180,934","    92,298","    88,636"
  赣州市,"    328,928","    1 71,906","    157,022","    143,598","    78,538","    65,060","    185,330","    93,368","    91,962"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  (莓),,,,,,,,,
  宜春市,"    157,252","    81,874","    75,378","    82,180","    44,257","    37,923","    75,072","    37,617","    37,455"
  上饶市,"    136,924","    70,169","    66,755","    104,299","    53,307","    50,992","    32,625","    1 6,862","    15,763"
  鹰潭市,"    102,477","    54,109","    48,368","    53,644","    29,350","    24,294","    48,833","    24,759","    24,074"
  吉安市,"    174,207","    90,101","    84,106","    121,201","    64,146","    57,055","    53,006","    25,955","    27,051"
  抚州市,"    161,506","    83,401","    78,105","    96,901","    50,494","    46,407","    64,605","    32,907","    31,698"
山东省,"    8,690,330","    4,447,253","    4,243,077","    7,601,415","    3,901,684","    3,699,731","    1,088,91 5","    545,569","    543,346"
  济南市区,"    1,338,107","    689,746",648361,"    876,468","    452,387","    424,081","    461,639","    237,359","    224,280"
  青岛市区,"    1,173,872","    596,540","    577,332","    1,173,872","    596,540","    577,332",-,-,-
  淄博市区,"    2,231,519","    1,135,483","    1,096,036","    2,231,519","    1,135,483","    1,096，036",-,-,-
  枣庄市区,"    1,238,257","    637,755","    600,502","    1,238，257","    637,755","    600,502",-,-,-
  烟台市,"    384,336","    199,781","    184,555","    243,494","    128,539","    114,955","    140,842","    71,242","    69,600"
  威海市,"    210,41 5","    105,174","    105,241","    55,361","    29,625","    25,736","    155,054","    75,549","    79,505"
  潍坊市,"    371,992","    195,529","    176,463","    233,083","    128,933","    104,150","    138,909","    66,596","    72,313"
  德州市,"    260,724","    135,868","    124,856","    1 37,967","    75,593","    62,374","    122,757","    60,275","    62,482"
  泰安市,"    1,269,876","    641,978","    627,898","    1,269,876","    641,978","    627,898",-,-,-
  济宁市,"    211,232","    109,399","    101,833","    141,518","    74,851","    66,667","    69,714","    34,548","    35,166"
河南省,"    7,186,024","    3,773,189","    3,41 2,835","    4,467,568","    2,458,241","    2,009,327","    2,718,456","    1,314,948","    1,403,508"
  郑州市区,"    1,428,316","    746,441","    681,875","    900,398","    486,874","    413,524","    527,918","    259,567","    268,351"
  开封市区,"    604,229","    306,307","    297,922","    432,799","    223,321","    209,478","    171,430","    82,986","    88,444"
  洛阳市区,"    975,764","    507,352","    468,412","    606,378","    333,169","    273,209","    369,386","    1 74,183","    195,203"
  平顶山市区,"    475,946","    272,088","    203,858","    294,186","    184,062","    110,124","    181,760","    88,026","    93,734"
  安阳市区,"    504,297","    262,513","    241,784","    329,683","    180,219","    149,464","    1 74,614","    82,294","    92,320"
  鹤壁市区,"    315,870","    1 70,722","    145,148","    154,018","    91,851","    62,167","    161,852",78871,"    82,981"
  新乡市区,"    508,604","    265,1 83","    243,421","    424,064","    226,166","    197,898","    84,540","    39,01 7","    45,523"
  焦作市区,"    487,641","    258,746","    228,895","    304,524","    173,511","    131,01 3","    183,11 7",    85，235,"    97,882"
  商丘市,"    183,430","    94,653","    88,777","    122,778","    66,172","    56,606","    60,652",28481,"    32,171"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,  小计,    男,    女
  (续),,,,,,,,,
  三门峡市,"    140,408","    71,830","    68,578","    70,726","    37,944","    32,782","    69,682","    33,886","    35,796"
  义马市,"    78,153","    47,285","    30,868","    44,224","    31,317","    12,907","    33,929","    15,968","    17,961"
  许昌市,"    227,676","    119,401","    108,275","    150,533","    83,134","    67,399","    77,143","    36,267","    40,876"
  漯河市,"    1 52,104","    76,406","    75,698","    98,424","    51,621","    46,803","    53,680","    24,785","    28,895"
  铁山市,"    262,706","    140,615","    122,091","    32,811",19918,"    12,893","    229,895","    120,697","    109,198"
  周口市,"    206,568","    104,609","    101,959","    98,719","    52,674","    46,045","    107,849","    51,935","    55,914"
  驻马店市,"    141,973","    73,291","    68,682","    94,037","    50,682","    43,355","    47,936","    22,609","    25,327"
  南阳市,"    271,872","    143,467","    128,405","    165,400","    92,483","    72,917","    106,472","    50,984","    55,488"
  信阳市,"    220,467","    112,280","    108,187","    143,866","    73,123","    70,743","    76,601","    39,157","    37,444"
湖北省,"    5,474,998","    2,854,939","    2,620,059","    4,546,731","    2,397,663","    2,149,068","    928,267","    457,276","    470,991"
  武汉市区,"    3,251,591","    1,676,000","    1,575,591","    2,623,693","    1,366,983","    1,256,710","    627,898","    309,017","    318,881"
  黄石市区,"    431,583","    238,065","    193,518","    381,710","    214,858","    166,852","    49,873","    23,207","    26,666"
  十堰市,"    301,375","    160,852","    140,523","    301,375","    160,852","    140,523",-,-,-
  沙市市,"    243,791","    121,605","    122,1 86","    243,791","    121,605","    122,186",-,-,-
  宜昌市,"    363,579","    194,038","    169,541","    363,579","    194,038","    169,541",-,-,-
  襄樊市,"    316,007","    165,874","    150,133","    316,007","    165,874","    150,133",-,-,-
