24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
  郭家店镇,"    10,106","    35,934","    18,730","    17,204"
  榆树台镇,"    2,805","    9,41 7","    4,833","    4,584"
  石岭镇,"    2,539","    9,684","    4,979","    4,705"
  孤家子镇,"    3,088","    11,894","    6,160","    5,734"
  伊通镇,"    10,978","    39,881","    20,723","    19,158"
  东丰镇,"    12,588","    47,850","    24,715","    23,135"
  郑家屯镇,"    18,768","    73,873","    37,443","    36,430"
  茂林镇,2154,"    8,888","    4,523",4365
  山城镇,"    6,586","    26,276","    13,093","    13,183"
  红梅镇,"    9,614","    41,499","    22,251","    19,248"
  梅河口镇,"    20,420","    81,950","    41,812","    40,138"
  海龙镇,"    6,058","    23,067","    11,542","    11,525"
  快大茂镇,"    4,096","    16,779","    8,638","    8,141"
  马当镇,"    3,022","    12,694","    6,498","    6,196"
  七道沟镇,"    2,071","    8,697","    4,476","    4,221"
  柳河镇,"    11,336","    46,009","    23,699","    22,310"
  三源浦镇,"    1,676","    6,577","    3,350","    3,227"
  朝阳镇,"    13,961","    54,644","    28,135","    26,509"
  辉南镇,"    3,780","    14,926","    7,696","    7,230"
  杉松岗镇,"    4,757","    19,139","    10,377","    8,762"
  样子哨镇,"    1,743","    6,609","    3,330","    3,279"
  集安镇,"    5,849","    22,877","    11,728","    11,149"
  青石镇,    960,"    4,536","    2,341","    2,195"
  抚松镇,"    6,560","    27,323","    14,011","    13,312"
  松江河镇,"    11,605","    55,987","    28,540","    27,447"
  泉阳镇,"    9,254","    43,436","    22,268","    21,168"
  露水河镇,"    8,017","    37,750","    19,358","    18,392"
  靖宇镇,"    5,825","    25,515","    12,991","    12,524"
  三道湖镇,"    3,431","    16,258","    8,273","    7,985"
  长白镇,"    3,997","    1 7,672","    9,072",8600
  扶余镇,"    28,727","    106,513","    55,063","    51,450"
  长春岭镇,"    3,397",14591,"    7,493","    7,098"
  五家站镇,"    3,959","    1 7,926","    9,089","    8,837"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  陶赖昭镇,"    2,636","    10,431","    5,322","    5,109"
  三岔河镇,"    9,235","    33,658","    17,064","    16,594"
  洮南镇,"    18,256","    72,020","    37,091","    34,929"
  岭下镇,"    2,045","    7,648","    4,010","    3,638"
  万宝镇,"    6,180",23701,"    12,550","    11,151"
  长岭镇,"    8,780","    36,037","    18,511","    17,526"
  太平川镇,"    5,318","    22,930","    11,722","    11,208"
  前郭镇,"    18,711","    72,309","    37,308","    35,001"
  新庙镇,"    2,085","    8,631","    4,419","    4,212"
  长山镇,"    2,825","    10,783","    5,500","    5,283"
  大赉镇,"    19,419","    78,277","    38,925","    39,352"
  安广镇,"    6,054","    23,861",12186,"    11,675"
  镇赉镇,"    11,092","    42,519","    21,794","    20,725"
  通榆镇,"    10,465","    43,351","    21,785","    21,566"
  瞻榆镇,"    1,623","    7,522","    3,778","    3,744"
  乾安镇,"    8,878","    36,335","    18,524","    17,811"
  龙井镇,"    14,527","    59,970","    30,191","    29,779"
  朝阳川镇,"    4,364","    17,373","    8,632","    8,741"
  老头沟镇,"    2,839","    11,144","    5,535","    5,609"
  天宝山镇,"    3,356","    14,908","    7,526","    7,382"
  开山屯镇,"    4,628","    20,085","    9,996","    10,089"
  敦化镇,"    27,421","    118,774","    60,858",57916
  大石头镇,"    14,199","    63,426","    32,651","    30,775"
  黄泥河镇,"    11,963","    51,893","    26,770","    25,123"
  和龙镇,"    15,033","    65,082","    32,772","    32,310"
  八家子镇,"    7,409","    33,187","    16,637","    16,550"
  福洞镇,"    4,288","    19,028","    9,660","    9,368"
  汪清镇,"    15,448","    66,055","    33,241","    32,814"
  大兴沟镇,6004,"    26,688","    13,402","    13,286"
  天桥岭镇,"    6,398","    29,934","    15,144","    14,790"
  珲春镇,7879,"    32,082","    16,614","    15,468"
  松江镇,"    5,048","    23,443","    12,356","    11,087"
  明月镇,"    9,087","    39,594","    19,789","    19,805"
黑龙江省,"    1,027,503","    4,337,410","    2,196,390","    2,141,020"
  铁力镇,"    19,277","    83,749","    42,127","    41,622"
  双丰镇,"    8,141","    37,384","    18,860","    18,524"
  神树镇,"    5,155","    23,866",    12，165,"    11,701"
  朗乡镇,"    9,244","    44,719","    22,622","    22,097"
  朝阳镇,"    2,478","    11,026","    5,558",5468
  阿城镇,"    23,370","    94,958","    47,632","    47,326"
  玉泉镇,"    8,355","    38,993","    20,387","    18,606"
  宾州镇,"    10,869","    43,210","    21,707","    21,503"
  新甸镇,"    6,746","    32,419","    16,435","    15,984"
  松江镇,"    3,516","    16,360","    8,460","    7,900"
  呼兰镇,"    21,270","    83,668","    41,755","    41,913"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
(续),,,,
  康金镇,"    11,109","    46,937","    23,692","    23,245"
