,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和地区别,    合计,      男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    3 999 750,    2 921 656,    1 078 094,  32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续02),,,,,,,,,,,,表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径)(续07),,,,,,,,,,,,
    单位：人,,,,,,,,,,,,    单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
毕业,    325 551 337,    190 129 387,    135 421 950,    213 642,    184 299,    29 343,    934 584,    770 759,    163 825,,,毕业,    3 420 396,  2 562 164,    858 232,  26 101 076,  18 344 735,    7 756 341,    126 135 665,    79 822 544,    46 313 121,    168 745 974,    88 444 886,    80 301 088
北京市,    1 453 581,    774 970,    678 611,    3 538,    2 488,    1 050,    9 058,    6 248,    2 810,,,北京市,    24 866,    15 198,    9 668,    169 418,    83 959,    85 459,    825 712,    441 266,    384 446,    420 989,    225 811,    195 178
天津市,    1 290 666,    696 853,    593 813,    599,    453,    146,    4 285,    3 139,    1 146,,,天津市,    16 020,    10 418,    5 602,    114 314,    70 610,    43 704,    532 387,    306 910,    225 477,    623 061,    305 323,    317 738
河北省,    23 423 050,    13 255 745,    10 167 305,    6 259,    5 129,    1 130,    40 619,    32 370,    8 249,,,河北省,    160 718,    114 579,    46 139,    1 990 246,    1 314 434,    675 812,    9 640 411,    5 837 300,    3 803 111,    11 584 797,    5 951 933,    5 632 864
山西省,    10 404 786,    5 689 930,    4 714 856,    3 207,    2 761,    446,    23 075,    19 338,    3 737,,,山西省,    96 155,    70 471,    25 684,    766 435,    492 122,    274 313,    4 527 689,    2 637 058,    1 890 631,    4 988 225,    2 468 180,    2 520 045
内蒙古自治区,    4 957 567,    2 974 886,    1 982 681,    5 124,    4 264,    860,    16 343,    13 010,    3 333,,,内蒙古自治区,    71 827,    51 932,    19 895,    491 213,    336 031,    155 182,    1 910 400,    1 242 994,    667 406,    2 462 660,    1 326 655,    1 136 005
辽宁省,    9 818 368,    5 386 044,    4 432 324,    5 233,    4 529,    704,    29 044,    22 980,    6 064,,,,,,,,,,,,,,,
吉林省,    6 126 178,    3 415 482,    2 710 696,    5 021,    4 220,    801,    17 121,    13 479,    3 642,,,辽宁省,    108 827,    75 936,    32 891,    662 876,    435 750,    227 126,    3 967 002,    2 295 025,    1 671 977,    5 045 386,    2 551 824,    2 493 562
