,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续05),,,,,,,,,,,,
        单位：人,,,,,,,,,,,,        单位：人,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
      和地区别,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
云南省,    1 512 315,    891 865,    620 450,    25 558,    19 907,    5 651,    50 524,    37 664,    12 860,,,云南省,    143 541,    84 986,    58 555,    212 304,    116 645,    95 659,    611 394,    355 051,    256 343,    468 994,    277 612,    191 382
西藏自治区,    26 051,    16 866,    9 185,    815,    593,    222,    1 302,    958,    344,,,西藏自治区,    3 755,    2 134,    1 621,    3 073,    1 924,    1 149,    9 765,    6 505,    3 260,    7 341,    4 752,    2 589
陕西省,    1 370 039,    840 803,    529 236,    31 372,    26 016,    5 356,    60 956,    47 182,    13 774,,,陕西省,    139 453,    92 563,    46 890,  334 969,    187 343,    147 626,    594185,    365 152,    229 033,    209 104,    122 547,    86 557
甘肃省,    627 855,    383 514,    244 341,    1 1 004,    9 468,    1 536,    27 695,    22 408,    5 287,,,甘肃省,    64 981,    44 158,    20 823,    156 843,    88 071,    68 772,    254 630,    150 528,    104 102,    112 702,    68 881,    43 821
青海省,    187 935,    112 472,    75 463,    4 118,    3 210,    908,    7 594,    5 553,    2 041,,,青海省,    21 419,    12 916,    8 503,    36 617,    19 519,    17 098,    83 375,    50 008,    33 367,    34 812,    21 266,    13 546
宁夏回族自治区,    229 187,    133 746,    95 441,    6 194,    4 917,    1 277,    12 387,    9 232,    3 155,,,宁夏回族自治区,    27 193,    17 436,    9 757,    43 556,    23 154,    20 402,    101 587,    58 256,    43 331,    38 270,    20 751,    17 519
新疆维吾尔自治区,    625 286,    341 257,    284 029,    8 725,    6 499,    2 226,    22 538,    15 558,    6 980,,,新疆维吾尔自治区,    73 403,    40 512,    32 891,    128 531,    65 448,    63 083,    261 800,    146 985,    114 815,    130 289,    66 255,    64 034
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续03),,,,,,,,,,,,表5-3省、自治区、直辖市的镇分性别和学业完成状况的各种文化程度人口数(第二口径)(续08),,,,,,,,,,,,
